Time_Period,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.60539543769611,13.60539543769611
3,12.829447213694213,12.382584854798278
4,11.60663663079638,11.203977456441983
5,10.428029232440085,10.0402759041099
6,12.428029232440085,12.0402759041099
7,11.197029487379792,10.809276159049595
8,10.033327935048161,10.033327935047698
9,8.892185622564622,8.892185622564158
10,7.6671138460189905,8.10876251895462
11,9.667113846018987,8.10876251895462
12,8.447498573039995,6.883690742408989
13,7.297139385886817,5.733331555255811
14,6.100714064657786,4.513716282276838
15,6.937646628175897,3.3172909610478065
16,8.937646628175898,4.698420609742664
17,7.732924963765435,3.9171034985285176
18,9.590556580854448,3.9171034985285176
19,11.49278649574449,5.917103498528517
20,11.49278649574449,7.917103498528517
21,11.49278649574449,9.917103498528517
22,11.49278649574449,11.917103498528517
23,11.49278649574449,11.917103498528517
24,11.49278649574449,11.917103498528517
25,11.49278649574449,11.917103498528517
26,10.70936339213495,10.712381834118055
27,9.928046280920803,9.529870619392543
28,8.745535066195291,8.34802971543689
29,7.953454852757628,7.13990153883135
30,7.953454852757628,9.13990153883135
31,7.112338022033785,8.347821325393685
32,6.305829353409748,7.506704494669842
33,5.123988449454096,6.322516217861821
34,3.939800172646075,6.322516217861821
35,5.893957885650208,5.070267049823559
36,4.6858297090446674,7.070267049823559
37,3.433580541006405,6.263758381199522
38,5.398232603104927,8.263758381199523
39,7.294829862994479,10.263758381199523
40,9.195008954579238,12.263758381199523
41,11.094999528706357,14.263758381199523
42,13.094999528706357,14.8
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
