Metric,A1R,A2R
Total_Cost_USD,67.32,75.31
Total_Energy_Cost_USD,8.55,8.38
Total_CO2_Cost_USD,0.32,0.35
NC_demand_charge_USD,38.45,46.57
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.6,26.53
Total_CO2_Emissions_kg,6.32,7.1
NCD_Peak_kW,1.91,2.31
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,443.14,17519.43
