Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
1,08:00,0.0,0.0,4.7784182492155605,Digging,Traveling,0.0,0.0,4.7784182492155605,Digging,Idle,0.0
2,08:15,0.0,0.0,3.103792896007588,Loading/Swinging,Idle,0.0,0.0,4.89124233159133,Digging,Idle,0.0
3,08:30,0.0,0.0,4.89124233159133,Digging,Idle,0.0,0.0,4.7144295934251765,Digging,Traveling,0.0
4,08:45,0.0,0.0,4.7144295934251765,Digging,Idle,0.0,0.0,4.654806209328332,Digging,Idle,0.0
5,09:00,8.0,2.0,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,0.0
6,09:15,4.2421943983134123e-14,2.0000000000000107,4.923998980241216,Traveling,Idle,0.0,2.0,4.923998980241216,Traveling,Idle,-1.0658141036401503e-14
7,09:30,1.8136603330276557e-12,2.000000000000464,4.654806209328332,Digging,Idle,0.0,2.0,3.103792896007588,Loading/Swinging,Idle,-4.640732242933154e-13
8,09:45,0.0,2.000000000000464,4.564569249934158,Digging,Idle,0.0,2.0,4.564569249934158,Digging,Traveling,-4.640732242933154e-13
9,10:00,0.0,2.000000000000464,4.900287106182524,Digging,Idle,0.0,2.0,3.133692414438155,Loading/Swinging,Charging (grid),-4.640732242933154e-13
10,10:15,7.999999999999987,4.000000000000461,0.0,Charging,Serving CEV,0.0,2.0,0.0,Idle,Charging (grid),-2.000000000000461
11,10:30,-7.116546962229477e-14,4.000000000000443,4.878461091915892,Digging,Idle,0.0,2.0,4.900287106182524,Digging,Traveling,-2.000000000000443
12,10:45,0.0,4.000000000000443,4.601436748612714,Traveling,Idle,0.0,2.0,4.601436748612714,Traveling,Idle,-2.000000000000443
13,11:00,0.0,4.000000000000443,4.785701284916126,Digging,Idle,0.0,2.0,4.878461091915892,Digging,Idle,-2.000000000000443
14,11:15,3.347730254072446,4.8369325635185545,0.0,Charging,Serving CEV,0.0,2.0,4.785701284916126,Digging,Idle,-2.8369325635185545
15,11:30,8.0,6.8369325635185545,0.0,Charging,Serving CEV,5.5245185947794315,3.381129648694858,0.0,Charging,Serving CEV,-3.4558029148236966
16,11:45,0.0,6.8369325635185545,4.818886657641851,Digging,Idle,0.0,3.381129648694858,3.125268444856586,Loading/Swinging,Idle,-3.4558029148236966
17,12:00,7.430526468356056,8.694564180607568,0.0,Charging,Serving CEV,0.0,3.381129648694858,0.0,Idle,Idle,-5.31343453191271
18,12:15,7.608919659560163,10.596794095497609,0.0,Charging,Serving CEV,8.0,5.381129648694857,0.0,Charging,Serving CEV,-5.2156644468027515
19,12:30,0.0,10.596794095497609,0.0,Idle,Traveling,8.0,7.381129648694857,0.0,Charging,Serving CEV,-3.2156644468027515
20,12:45,0.0,10.596794095497609,0.0,Idle,Charging (grid),8.0,9.381129648694857,0.0,Charging,Serving CEV,-1.2156644468027515
21,13:00,0.0,10.596794095497609,0.0,Idle,Charging (grid),8.0,11.381129648694857,0.0,Charging,Serving CEV,0.7843355531972485
22,13:15,0.0,10.596794095497609,0.0,Idle,Charging (grid),0.0,11.381129648694857,0.0,Idle,Idle,0.7843355531972485
23,13:30,0.0,10.596794095497609,0.0,Idle,Charging (grid),0.0,11.381129648694857,0.0,Idle,Idle,0.7843355531972485
24,13:45,0.0,10.596794095497609,0.0,Idle,Charging (grid),0.0,11.381129648694857,0.0,Idle,Idle,0.7843355531972485
25,14:00,0.0,10.596794095497609,3.133692414438155,Loading/Swinging,Charging (grid),0.0,11.381129648694857,4.818886657641851,Digging,Idle,0.7843355531972485
26,14:15,0.0,10.596794095497609,3.125268444856586,Loading/Swinging,Charging (grid),0.0,11.381129648694857,4.730044858902048,Traveling,Idle,0.7843355531972485
27,14:30,0.0,10.596794095497609,4.730044858902048,Traveling,Charging (grid),0.0,11.381129648694857,4.7273636158226084,Digging,Idle,0.7843355531972485
28,14:45,0.0,10.596794095497609,3.1683208537506546,Loading/Swinging,Charging (grid),0.0,11.381129648694857,4.832512706422161,Digging,Idle,0.7843355531972485
29,15:00,0.0,10.596794095497609,0.0,Idle,Charging (grid),8.0,13.381129648694857,0.0,Charging,Serving CEV,2.7843355531972485
30,15:15,0.0,10.596794095497609,3.3644673228953734,Loading/Swinging,Charging (grid),0.0,13.381129648694857,3.1683208537506546,Loading/Swinging,Idle,2.7843355531972485
31,15:30,0.0,10.596794095497609,3.2260346744961486,Loading/Swinging,Charging (grid),0.0,13.381129648694857,3.3644673228953734,Loading/Swinging,Idle,2.7843355531972485
32,15:45,0.0,10.596794095497609,4.7273636158226084,Digging,Charging (grid),0.0,13.381129648694857,4.736753107232083,Traveling,Idle,2.7843355531972485
33,16:00,0.0,10.596794095497609,4.736753107232083,Traveling,Traveling,0.0,13.381129648694857,0.0,Idle,Idle,2.7843355531972485
34,16:15,7.816630852016532,12.550951808501742,0.0,Charging,Serving CEV,0.0,13.381129648694857,5.0089966721530494,Digging,Idle,0.8301778401931159
35,16:30,0.0,12.550951808501742,4.832512706422161,Digging,Idle,8.0,15.381129648694857,0.0,Charging,Serving CEV,2.830177840193116
36,16:45,0.0,12.550951808501742,5.0089966721530494,Digging,Idle,0.0,15.381129648694857,3.2260346744961486,Loading/Swinging,Idle,2.830177840193116
37,17:00,7.858608248394087,14.515603870600263,0.0,Charging,Serving CEV,8.0,17.38112964869486,0.0,Charging,Serving CEV,2.8655257780945966
