Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,248.6802391971107
4,248.6724376731308,248.6802391971107
5,248.6724376731308,248.6802391971107
6,246.56717451523605,246.57497603921595
7,246.56717451523605,246.57497603921595
8,246.56717451523605,246.57497603921595
9,244.4619113573413,244.46971288132121
10,244.4619113573413,244.46971288132121
11,244.78466066481974,244.46971288132121
12,245.2587824225634,244.46971288132121
13,245.73290418030706,242.74259678014744
14,246.20702593805072,242.74259678014744
15,246.68114769579438,242.74259678014744
16,247.15526945353804,242.74259678014744
17,247.6293912112817,242.74259678014744
18,248.10351296902536,240.6373336222527
19,248.57763472676902,238.5320704643581
20,249.05175648451268,238.5320704643581
21,249.52587824225634,238.9848218381173
22,250.0,239.43757321187653
23,250.0,239.89032458563574
24,247.89473684210526,240.34307595939495
25,245.78947368421052,240.79582733315416
26,245.78947368421052,241.24857870691338
27,245.78947368421052,241.7013300806726
28,245.78947368421052,242.1540814544318
29,243.68421052631578,242.60683282819102
30,243.68421052631578,243.05958420195023
31,243.68421052631578,243.51233557570944
32,243.68421052631578,243.96508694946866
33,243.68421052631578,244.41934631695946
34,241.57894736842104,244.41934631695946
35,241.57894736842104,242.5920405829092
36,241.57894736842104,242.5920405829092
37,241.57894736842104,242.5920405829092
38,239.4736842105263,242.5461041098674
39,237.36842105263156,240.44325866108014
40,235.26315789473682,238.44867157943736
41,235.26315789473682,236.44838668899752
42,233.15789473684208,234.4484016832312
43,231.05263157894734,232.34313852533646
44,231.05263157894734,230.45394106026598
45,229.13864265927918,230.45394106026598
46,229.13864265927918,230.45394106026598
47,229.13864265927918,230.45394106026598
48,229.13864265927918,230.45394106026598
49,229.13864265927918,230.45394106026598
50,229.13864265927918,230.45394106026598
51,229.13864265927918,230.45394106026598
52,229.13864265927918,230.45394106026598
53,229.13864265927918,230.45394106026598
54,229.61276441702285,230.90820042775678
55,230.0868861747665,231.3624597952476
56,230.56100793251017,231.8167191627384
57,231.03512969025383,232.2709785302292
58,231.50925144799749,232.72523789772
59,231.98337320574115,233.1794972652108
60,232.4574949634848,233.63375663270162
61,232.93161672122847,234.08801600019243
62,233.40573847897213,234.54227536768323
63,233.87986023671579,234.99653473517404
64,234.35398199445945,235.45079410266484
65,234.8281037522031,235.4637002402939
66,235.30222550994677,235.9179596077847
67,235.77634726769043,236.3722189752755
68,236.25046902543409,236.8264783427663
69,236.72459078317775,237.2807377102571
70,237.1987125409214,237.73499707774792
71,237.67283429866507,238.18925644523873
72,238.14695605640873,238.64351581272953
73,238.6210778141524,239.09777518022034
74,239.09519957189605,239.55203454771114
75,239.5693213296397,240.00629391520195
76,240.04344308738337,240.46055328269276
77,240.51756484512703,240.91481265018356
78,240.9916866028707,241.36907201767437
79,241.46580836061435,241.82333138516518
80,241.939930118358,242.27759075265598
81,242.41405187610167,242.7318501201468
82,242.88817363384533,243.1861094876376
83,243.362295391589,243.6403688551284
84,243.83641714933265,244.0946282226192
85,244.3105389070763,244.54888759011
86,244.78466066481997,245.00314695760082
87,245.25878242256363,245.45740632509163
88,245.7329041803073,245.91166569258243
89,246.20702593805095,246.36592506007324
90,246.6811476957946,246.8201844275643
91,247.15526945353827,247.2744437950537
92,247.62939121128193,247.72870316254475
93,248.1035129690256,248.1829625300358
94,248.57763472676925,248.63722189752684
95,249.0517564845129,249.0914812650179
96,249.52587824225634,249.54574063250894
97,250.0,250.0
