Metric,A0,A1R,A2R
Total_Cost_USD,69.02,67.42,77.38
Total_Energy_Cost_USD,8.51,8.61,8.63
Total_CO2_Cost_USD,0.34,0.32,0.32
NC_demand_charge_USD,40.17,38.48,38.42
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,30.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,26.77,26.64
Total_CO2_Emissions_kg,6.84,6.37,6.43
NCD_Peak_kW,2.0,1.91,1.91
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.5
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,41.03,438.8,17900.04
