Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.30264233159133,Digging,Traveling,0.0,0.0,5.30264233159133,Digging,Traveling,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,5.341593790671668,Digging,Idle,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.341593790671668,Digging,Idle,-1.0467506848088126e-14,-2.6168767120220314e-15,5.311687106182523,Digging,Idle,-1.2611842105257645
4,08:45,0.0,1.2611842105257618,5.311687106182523,Digging,Idle,8.000000000000004,1.9999999999999982,0.0,Charging,Serving CEV,0.7388157894742364
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,0.0,1.9999999999999982,4.374301284916125,Digging,Idle,-1.2611842105257631
6,09:15,0.0,3.2611842105257614,4.374301284916125,Digging,Idle,0.0,1.9999999999999982,3.857620293545859,Traveling,Idle,-1.2611842105257631
7,09:30,0.0,3.2611842105257614,3.857620293545859,Traveling,Idle,7.999999999999894,3.9999999999999716,0.0,Charging,Serving CEV,0.7388157894742102
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,3.799731375692251,4.949932843923034,0.0,Charging,Serving CEV,-0.31125136660272723
9,10:00,0.0,5.261184210525761,4.315963615822609,Digging,Traveling,0.0,4.949932843923034,4.315963615822609,Digging,Idle,-0.31125136660272723
10,10:15,0.0,5.261184210525761,4.164603327846952,Digging,Charging (grid),0.0,4.949932843923034,4.164603327846952,Digging,Idle,-0.31125136660272723
11,10:30,0.0,5.261184210525761,4.102980436264462,Digging,Charging (grid),6.357487635748265e-14,4.94993284392305,4.102980436264462,Digging,Idle,-0.31125136660271124
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,4.94993284392305,5.455984629626272,Digging,Idle,-0.31125136660271124
13,11:00,0.0,5.261184210525761,5.455984629626272,Digging,Charging (grid),7.999999999999999,6.94993284392305,0.0,Charging,Serving CEV,1.6887486333972888
14,11:15,0.0,5.261184210525761,3.741275989570092,Traveling,Charging (grid),0.0,6.94993284392305,3.741275989570092,Traveling,Idle,1.6887486333972888
15,11:30,0.0,5.261184210525761,4.21946122882601,Digging,Charging (grid),0.0,6.94993284392305,4.21946122882601,Digging,Idle,1.6887486333972888
16,11:45,0.0,5.261184210525761,4.362990937563483,Digging,Charging (grid),0.0,6.94993284392305,4.362990937563483,Digging,Idle,1.6887486333972888
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.9999999999948415,8.949932843921761,0.0,Charging,Serving CEV,3.688748633396
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.999999999999999,10.949932843921761,0.0,Charging,Serving CEV,5.688748633396
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Traveling,5.688748633396
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Charging (grid),5.688748633396
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.949932843921761,0.0,Idle,Charging (grid),5.688748633396
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,0.0,10.949932843921761,0.0,Idle,Charging (grid),5.688748633396
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,0.0,10.949932843921761,0.0,Idle,Charging (grid),3.688748633396
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,0.0,10.949932843921761,0.0,Idle,Charging (grid),1.6887486333959991
25,14:00,0.0,9.261184210525762,5.30203181398743,Digging,Idle,0.0,10.949932843921761,2.7338097051905867,Loading/Swinging,Charging (grid),1.6887486333959991
26,14:15,0.0,9.261184210525762,5.4084382806022235,Digging,Idle,0.0,10.949932843921761,3.6272776557423447,Loading/Swinging,Charging (grid),1.6887486333959991
27,14:30,0.0,9.261184210525762,3.8782987938909828,Traveling,Idle,0.0,10.949932843921761,3.8782987938909828,Traveling,Charging (grid),1.6887486333959991
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,10.949932843921761,3.5352622121302737,Loading/Swinging,Charging (grid),-0.3112513666040009
29,15:00,0.0,11.261184210525762,2.7338097051905867,Loading/Swinging,Idle,0.0,10.949932843921761,0.0,Idle,Charging (grid),-0.3112513666040009
30,15:15,0.0,11.261184210525762,3.6272776557423447,Loading/Swinging,Idle,0.0,10.949932843921761,2.746977635304883,Loading/Swinging,Charging (grid),-0.3112513666040009
31,15:30,0.0,11.261184210525762,3.5352622121302737,Loading/Swinging,Idle,0.0,10.949932843921761,3.759022198884322,Loading/Swinging,Charging (grid),-0.3112513666040009
32,15:45,0.0,11.261184210525762,2.746977635304883,Loading/Swinging,Idle,0.0,10.949932843921761,3.546957681900019,Loading/Swinging,Charging (grid),-0.3112513666040009
33,16:00,8.0,13.261184210525762,0.0,Charging,Serving CEV,0.0,10.949932843921761,3.771173457559929,Traveling,Traveling,-2.311251366604001
34,16:15,0.0,13.261184210525762,3.771173457559929,Traveling,Idle,2.45805572351967,11.564446774801679,0.0,Charging,Serving CEV,-1.6967374357240832
35,16:30,0.0,13.261184210525762,3.759022198884322,Loading/Swinging,Idle,0.0,11.564446774801679,5.30203181398743,Digging,Idle,-1.6967374357240832
36,16:45,0.0,13.261184210525762,3.546957681900019,Loading/Swinging,Idle,0.0,11.564446774801679,5.4084382806022235,Digging,Idle,-1.6967374357240832
37,17:00,8.0,15.261184210525762,0.0,Charging,Serving CEV,1.0553340088564918,11.828280277015802,0.0,Charging,Serving CEV,-3.4329039335099605
38,17:15,8.0,17.261184210525762,0.0,Charging,Serving CEV,7.9444561047970295,13.814394303215058,0.0,Charging,Serving CEV,-3.446789907310704
39,17:30,8.0,19.261184210525762,0.0,Charging,Serving CEV,7.581870731326469,15.709861986046675,0.0,Charging,Serving CEV,-3.5513222244790867
