Time_Period,Clock,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A2R_Discharge_kW,A2R_Discharge_cum_kWh,A2R_Work_kW,A2R_CEV1_Activity,A2R_MCS_Status,A2R_minus_A1R_cum_kWh
1,08:00,0.0,0.0,5.30264233159133,Digging,Traveling,0.0,0.0,5.30264233159133,Digging,Idle,0.0
2,08:15,0.0,0.0,5.341593790671668,Digging,Idle,0.0,0.0,5.341593790671668,Digging,Traveling,0.0
3,08:30,-1.0467506848088126e-14,-2.6168767120220314e-15,5.311687106182523,Digging,Idle,0.0,0.0,5.311687106182523,Digging,Idle,2.6168767120220314e-15
4,08:45,8.000000000000004,1.9999999999999982,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,1.7763568394002505e-15
5,09:00,0.0,1.9999999999999982,4.374301284916125,Digging,Idle,0.0,2.0,4.374301284916125,Digging,Idle,1.7763568394002505e-15
6,09:15,0.0,1.9999999999999982,3.857620293545859,Traveling,Idle,5.64095826096656,3.41023956524164,0.0,Charging,Serving CEV,1.4102395652416417
7,09:30,7.999999999999894,3.9999999999999716,0.0,Charging,Serving CEV,0.0,3.41023956524164,3.857620293545859,Traveling,Traveling,-0.5897604347583316
8,09:45,3.799731375692251,4.949932843923034,0.0,Charging,Serving CEV,0.0,3.41023956524164,4.315963615822609,Digging,Idle,-1.5396932786813942
9,10:00,0.0,4.949932843923034,4.315963615822609,Digging,Idle,0.0,3.41023956524164,4.164603327846952,Digging,Charging (grid),-1.5396932786813942
10,10:15,0.0,4.949932843923034,4.164603327846952,Digging,Idle,0.0,3.41023956524164,4.102980436264462,Digging,Traveling,-1.5396932786813942
11,10:30,6.357487635748265e-14,4.94993284392305,4.102980436264462,Digging,Idle,8.0,5.41023956524164,0.0,Charging,Serving CEV,0.46030672131858985
12,10:45,0.0,4.94993284392305,5.455984629626272,Digging,Idle,0.0,5.41023956524164,5.455984629626272,Digging,Idle,0.46030672131858985
13,11:00,7.999999999999999,6.94993284392305,0.0,Charging,Serving CEV,0.0,5.41023956524164,3.741275989570092,Traveling,Idle,-1.5396932786814101
14,11:15,0.0,6.94993284392305,3.741275989570092,Traveling,Idle,0.0,5.41023956524164,4.21946122882601,Digging,Idle,-1.5396932786814101
15,11:30,0.0,6.94993284392305,4.21946122882601,Digging,Idle,8.0,7.41023956524164,0.0,Charging,Serving CEV,0.46030672131858985
16,11:45,0.0,6.94993284392305,4.362990937563483,Digging,Idle,0.0,7.41023956524164,4.362990937563483,Digging,Idle,0.46030672131858985
17,12:00,7.9999999999948415,8.949932843921761,0.0,Charging,Serving CEV,8.0,9.410239565241639,0.0,Charging,Serving CEV,0.4603067213198777
18,12:15,7.999999999999999,10.949932843921761,0.0,Charging,Serving CEV,8.0,11.410239565241639,0.0,Charging,Serving CEV,0.4603067213198777
19,12:30,0.0,10.949932843921761,0.0,Idle,Traveling,8.0,13.410239565241639,0.0,Charging,Serving CEV,2.4603067213198777
20,12:45,0.0,10.949932843921761,0.0,Idle,Charging (grid),0.9580491699587625,13.64975185773133,0.0,Charging,Serving CEV,2.6998190138095683
21,13:00,0.0,10.949932843921761,0.0,Idle,Charging (grid),0.0,13.64975185773133,0.0,Idle,Idle,2.6998190138095683
