Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,5.21798175078444,Digging,Traveling,0.0,0.0,5.21798175078444,Digging,Idle,0.0
2,08:15,0.0,0.0,3.6444160734769153,Loading/Swinging,Idle,0.0,0.0,5.30264233159133,Digging,Idle,0.0
3,08:30,-1.6011851880944246e-12,-4.0029629702360615e-13,5.30264233159133,Digging,Idle,0.0,0.0,5.281970406574824,Digging,Idle,4.0029629702360615e-13
4,08:45,0.0,-4.0029629702360615e-13,5.281970406574824,Digging,Idle,0.0,0.0,5.341593790671668,Digging,Traveling,4.0029629702360615e-13
5,09:00,8.0,1.9999999999995997,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,4.0034642267983145e-13
6,09:15,0.0,1.9999999999995997,5.626241715849725,Traveling,Idle,0.0,2.0,5.626241715849725,Traveling,Traveling,4.0034642267983145e-13
7,09:30,-6.981082378842984e-13,1.9999999999994251,5.341593790671668,Digging,Idle,0.0,2.0,5.431830750065842,Digging,Charging (grid),5.748734821509061e-13
8,09:45,1.0036416142611415e-13,1.9999999999994502,5.431830750065842,Digging,Idle,0.0,2.0,3.6444160734769153,Loading/Swinging,Traveling,5.497824417943775e-13
9,10:00,8.0,3.99999999999945,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,5.497824417943775e-13
10,10:15,0.0,3.99999999999945,5.311687106182523,Digging,Idle,8.0,6.0,0.0,Charging,Serving CEV,2.00000000000055
11,10:30,8.0,5.99999999999945,0.0,Charging,Serving CEV,0.0,6.0,5.311687106182523,Digging,Idle,5.497824417943775e-13
12,10:45,8.0,7.99999999999945,0.0,Charging,Serving CEV,0.0,6.0,5.289861091915892,Digging,Idle,-1.9999999999994502
13,11:00,0.0,7.99999999999945,5.289861091915892,Digging,Idle,8.0,8.0,0.0,Charging,Serving CEV,5.497824417943775e-13
14,11:15,0.0,7.99999999999945,5.675357505477218,Traveling,Idle,0.0,8.0,5.675357505477218,Traveling,Idle,5.497824417943775e-13
15,11:30,0.0,7.99999999999945,5.2106987150838755,Digging,Idle,0.0,8.0,3.56838368814545,Loading/Swinging,Idle,5.497824417943775e-13
16,11:45,0.0,7.99999999999945,5.230286657641851,Digging,Idle,0.0,8.0,5.2106987150838755,Digging,Idle,5.497824417943775e-13
17,12:00,8.000000000000002,9.999999999999451,0.0,Charging,Serving CEV,8.0,10.0,0.0,Charging,Serving CEV,5.488942633746774e-13
18,12:15,8.0,11.999999999999451,0.0,Charging,Serving CEV,8.000000000000009,12.000000000000002,0.0,Charging,Serving CEV,5.506706202140776e-13
19,12:30,0.0,11.999999999999451,0.0,Idle,Traveling,0.0,12.000000000000002,0.0,Idle,Traveling,5.506706202140776e-13
20,12:45,0.0,11.999999999999451,0.0,Idle,Charging (grid),0.0,12.000000000000002,0.0,Idle,Charging (grid),5.506706202140776e-13
21,13:00,0.0,11.999999999999451,0.0,Idle,Charging (grid),0.0,12.000000000000002,0.0,Idle,Charging (grid),5.506706202140776e-13
22,13:15,0.0,11.999999999999451,0.0,Idle,Charging (grid),0.0,12.000000000000002,0.0,Idle,Charging (grid),5.506706202140776e-13
23,13:30,0.0,11.999999999999451,0.0,Idle,Charging (grid),0.0,12.000000000000002,0.0,Idle,Charging (grid),5.506706202140776e-13
24,13:45,0.0,11.999999999999451,0.0,Idle,Charging (grid),0.0,12.000000000000002,0.0,Idle,Charging (grid),5.506706202140776e-13
25,14:00,0.0,11.999999999999451,3.56838368814545,Loading/Swinging,Charging (grid),0.0,12.000000000000002,5.230286657641851,Digging,Charging (grid),5.506706202140776e-13
26,14:15,0.0,11.999999999999451,3.5404716877782647,Loading/Swinging,Charging (grid),0.0,12.000000000000002,3.5404716877782647,Loading/Swinging,Charging (grid),5.506706202140776e-13
27,14:30,0.0,11.999999999999451,5.622940769663888,Traveling,Charging (grid),0.0,12.000000000000002,5.622940769663888,Traveling,Charging (grid),5.506706202140776e-13
28,14:45,0.0,11.999999999999451,3.687868701727832,Loading/Swinging,Traveling,0.0,12.000000000000002,3.687868701727832,Loading/Swinging,Traveling,5.506706202140776e-13
29,15:00,3.3568765711933906,12.839219142797798,0.0,Charging,Serving CEV,8.0,14.000000000000002,0.0,Charging,Serving CEV,1.1607808572022034
30,15:15,0.0,12.839219142797798,5.269036384177392,Digging,Idle,0.0,14.000000000000002,5.269036384177392,Digging,Idle,1.1607808572022034
31,15:30,0.0,12.839219142797798,5.243912706422161,Digging,Idle,0.0,14.000000000000002,5.243912706422161,Digging,Idle,1.1607808572022034
32,15:45,8.0,14.839219142797798,0.0,Charging,Serving CEV,0.0,14.000000000000002,5.420396672153049,Digging,Idle,-0.8392191427977966
33,16:00,0.0,14.839219142797798,5.420396672153049,Digging,Idle,0.0,14.000000000000002,5.544536774965614,Traveling,Idle,-0.8392191427977966
34,16:15,0.0,14.839219142797798,5.544536774965614,Traveling,Idle,8.0,16.0,0.0,Charging,Serving CEV,1.1607808572022016
35,16:30,6.593514430693209,16.4875977504711,0.0,Charging,Serving CEV,0.0,16.0,3.5677150152845662,Loading/Swinging,Idle,-0.48759775047109954
36,16:45,0.0,16.4875977504711,3.5677150152845662,Loading/Swinging,Idle,0.0,16.0,3.6294087928005747,Loading/Swinging,Idle,-0.48759775047109954
37,17:00,0.0836203092104283,16.508502827773707,0.0,Charging,Serving CEV,8.0,18.0,0.0,Charging,Serving CEV,1.4914971722262926
38,17:15,8.0,18.508502827773707,0.0,Charging,Serving CEV,8.0,20.0,0.0,Charging,Serving CEV,1.4914971722262926
39,17:30,8.0,20.508502827773707,0.0,Charging,Serving CEV,8.0,22.0,0.0,Charging,Serving CEV,1.4914971722262926
40,17:45,7.153493667936298,22.296876244757783,0.0,Charging,Serving CEV,8.0,24.0,0.0,Charging,Serving CEV,1.703123755242217
41,18:00,8.0,24.296876244757783,0.0,Charging,Serving CEV,8.0,26.0,0.0,Charging,Serving CEV,1.703123755242217
42,18:15,7.2024477016875625,26.097488170179673,0.0,Charging,Serving CEV,3.85183061940513,26.962957654851284,0.0,Charging,Serving CEV,0.8654694846716104
43,18:30,0.0,26.097488170179673,0.0,Idle,Traveling,0.0,26.962957654851284,0.0,Idle,Traveling,0.8654694846716104
44,18:45,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
45,19:00,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
46,19:15,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
47,19:30,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
48,19:45,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
49,20:00,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
50,20:15,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
51,20:30,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
52,20:45,0.0,26.097488170179673,0.0,Idle,Idle,0.0,26.962957654851284,0.0,Idle,Idle,0.8654694846716104
53,21:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
54,21:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
55,21:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
56,21:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
57,22:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
58,22:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
59,22:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
60,22:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
61,23:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
62,23:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
63,23:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
64,23:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
65,00:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
66,00:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
67,00:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
68,00:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
69,01:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
70,01:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
71,01:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
72,01:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
73,02:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
74,02:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
75,02:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
76,02:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
77,03:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
78,03:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
79,03:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
80,03:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
81,04:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
82,04:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
83,04:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
84,04:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
85,05:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
86,05:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
87,05:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
88,05:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
89,06:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
90,06:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
91,06:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
92,06:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
93,07:00,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
94,07:15,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
95,07:30,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
96,07:45,0.0,26.097488170179673,0.0,Idle,Charging (grid),0.0,26.962957654851284,0.0,Idle,Charging (grid),0.8654694846716104
