Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.7784182492155605,Digging,Traveling,0.0,0.0,4.7784182492155605,Digging,Idle,0.0
2,08:15,0.0,0.0,4.89124233159133,Digging,Idle,0.0,0.0,4.89124233159133,Digging,Idle,0.0
3,08:30,0.0,0.0,4.7144295934251765,Digging,Idle,0.0,0.0,4.7144295934251765,Digging,Idle,0.0
4,08:45,0.0,0.0,4.654806209328332,Digging,Idle,0.0,0.0,4.654806209328332,Digging,Idle,0.0
5,09:00,8.00000000000006,2.000000000000015,0.0,Charging,Serving CEV,0.0,0.0,0.0,Idle,Idle,-2.000000000000015
6,09:15,0.0,2.000000000000015,4.852241715849725,Traveling,Idle,0.0,0.0,4.852241715849725,Traveling,Idle,-2.000000000000015
7,09:30,0.0,2.000000000000015,4.564569249934158,Digging,Idle,0.0,0.0,4.564569249934158,Digging,Idle,-2.000000000000015
8,09:45,7.99999999999999,4.000000000000012,0.0,Charging,Serving CEV,0.0,0.0,4.900287106182524,Digging,Traveling,-4.000000000000012
9,10:00,8.000000000000119,6.000000000000043,0.0,Charging,Serving CEV,0.0,0.0,4.878461091915892,Digging,Idle,-6.000000000000043
10,10:15,0.0,6.000000000000043,4.900287106182524,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,-4.000000000000043
11,10:30,0.0,6.000000000000043,4.878461091915892,Digging,Idle,0.0,2.0,4.785701284916126,Digging,Idle,-4.000000000000043
12,10:45,8.000000000023462,8.000000000005908,0.0,Charging,Serving CEV,0.0,2.0,4.518842494522781,Traveling,Idle,-6.000000000005908
13,11:00,0.0,8.000000000005908,4.785701284916126,Digging,Idle,8.0,4.0,0.0,Charging,Serving CEV,-4.000000000005908
14,11:15,0.0,8.000000000005908,4.518842494522781,Traveling,Idle,8.0,6.0,0.0,Charging,Serving CEV,-2.000000000005908
15,11:30,0.0,8.000000000005908,4.818886657641851,Digging,Idle,0.0,6.0,4.818886657641851,Digging,Idle,-2.000000000005908
16,11:45,0.0,8.000000000005908,4.7273636158226084,Digging,Idle,0.0,6.0,4.7273636158226084,Digging,Idle,-2.000000000005908
17,12:00,7.9999999999999964,10.000000000005908,0.0,Charging,Serving CEV,8.0,8.0,0.0,Charging,Serving CEV,-2.000000000005908
18,12:15,1.9389995792867865,10.484749894827605,0.0,Charging,Serving CEV,8.0,10.0,0.0,Charging,Serving CEV,-0.4847498948276048
19,12:30,0.0,10.484749894827605,0.0,Idle,Traveling,8.0,12.0,0.0,Charging,Serving CEV,1.5152501051723952
20,12:45,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Traveling,1.5152501051723952
21,13:00,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Charging (grid),1.5152501051723952
22,13:15,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Charging (grid),1.5152501051723952
23,13:30,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Charging (grid),1.5152501051723952
24,13:45,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Charging (grid),1.5152501051723952
25,14:00,0.0,10.484749894827605,4.832512706422161,Digging,Charging (grid),0.0,12.0,3.0399839265230844,Loading/Swinging,Charging (grid),1.5152501051723952
26,14:15,0.0,10.484749894827605,3.0399839265230844,Loading/Swinging,Charging (grid),0.0,12.0,4.832512706422161,Digging,Charging (grid),1.5152501051723952
27,14:30,0.0,10.484749894827605,4.5712592303361115,Traveling,Charging (grid),0.0,12.0,4.5712592303361115,Traveling,Charging (grid),1.5152501051723952
28,14:45,0.0,10.484749894827605,3.20118368814545,Loading/Swinging,Charging (grid),0.0,12.0,3.20118368814545,Loading/Swinging,Charging (grid),1.5152501051723952
29,15:00,0.0,10.484749894827605,0.0,Idle,Charging (grid),0.0,12.0,0.0,Idle,Charging (grid),1.5152501051723952
30,15:15,0.0,10.484749894827605,3.1732716877782643,Loading/Swinging,Charging (grid),0.0,12.0,3.1732716877782643,Loading/Swinging,Charging (grid),1.5152501051723952
31,15:30,0.0,10.484749894827605,3.3206687017278322,Loading/Swinging,Charging (grid),0.0,12.0,3.3206687017278322,Loading/Swinging,Charging (grid),1.5152501051723952
32,15:45,0.0,10.484749894827605,3.2005150152845663,Loading/Swinging,Charging (grid),0.0,12.0,3.2005150152845663,Loading/Swinging,Charging (grid),1.5152501051723952
33,16:00,0.0,10.484749894827605,4.649663225034385,Traveling,Traveling,0.0,12.0,4.649663225034385,Traveling,Traveling,1.5152501051723952
34,16:15,7.8804296866183865,12.454857316482201,0.0,Charging,Serving CEV,1.5237347045288256,12.380933676132207,0.0,Charging,Serving CEV,-0.0739236403499941
35,16:30,0.0,12.454857316482201,5.0089966721530494,Digging,Idle,0.0,12.380933676132207,3.054991207199425,Loading/Swinging,Idle,-0.0739236403499941
36,16:45,0.0,12.454857316482201,3.054991207199425,Loading/Swinging,Idle,0.0,12.380933676132207,5.0089966721530494,Digging,Idle,-0.0739236403499941
37,17:00,8.0,14.454857316482201,0.0,Charging,Serving CEV,0.015327322549019959,12.384765506769462,0.0,Charging,Serving CEV,-2.070091809712739
38,17:15,7.2830172579174635,16.275611630961567,0.0,Charging,Serving CEV,8.0,14.384765506769462,0.0,Charging,Serving CEV,-1.8908461241921053
39,17:30,7.6166833022148674,18.179782456515284,0.0,Charging,Serving CEV,8.0,16.38476550676946,0.0,Charging,Serving CEV,-1.795016949745822
40,17:45,8.0,20.179782456515284,0.0,Charging,Serving CEV,8.0,18.38476550676946,0.0,Charging,Serving CEV,-1.795016949745822
41,18:00,8.0,22.179782456515284,0.0,Charging,Serving CEV,8.0,20.38476550676946,0.0,Charging,Serving CEV,-1.795016949745822
42,18:15,6.75701666830448,23.869036623591406,0.0,Charging,Serving CEV,8.0,22.38476550676946,0.0,Charging,Serving CEV,-1.4842711168219438
43,18:30,0.0,23.869036623591406,0.0,Idle,Traveling,5.893930140918475,23.85824804199908,0.0,Charging,Serving CEV,-0.010788581592326096
44,18:45,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
45,19:00,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Traveling,-0.010788581592326096
46,19:15,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
47,19:30,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
48,19:45,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
49,20:00,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
50,20:15,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
51,20:30,0.0,23.869036623591406,0.0,Idle,Idle,0.0,23.85824804199908,0.0,Idle,Idle,-0.010788581592326096
