Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Traveling,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,5.015091050980127,1.2537727627450317,0.0,Charging,Serving CEV,0.0,0.0,2.921367853046169,Loading/Swinging,Idle,-0.007411447781260794,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,4.989984663182659,Digging,Idle,0.0,1.2537727627450317,4.989984663182659,Digging,Idle,0.0,0.0,3.2437673762908994,Loading/Swinging,Idle,-0.007411447780730107,-1.2611842105257618
4,08:45,0.0,1.2611842105257618,4.6363591868503535,Digging,Idle,-1.3491430195244902e-12,1.2537727627446944,4.6363591868503535,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,-0.007411447781067393,-1.2611842105257618
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,8.000000000000375,3.253772762744788,0.0,Charging,Serving CEV,0.0,0.0,0.0,Idle,Traveling,-0.007411447780973468,-3.2611842105257614
6,09:15,0.0,3.2611842105257614,4.517112418656664,Digging,Idle,0.0,3.253772762744788,4.517112418656664,Digging,Idle,0.0,0.0,4.9943834316994495,Traveling,Idle,-0.007411447780973468,-3.2611842105257614
7,09:30,0.0,3.2611842105257614,4.9943834316994495,Traveling,Idle,0.0,3.253772762744788,4.9943834316994495,Traveling,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,-0.007411447780973468,-3.2611842105257614
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,7.99999999999356,5.253772762743178,0.0,Charging,Serving CEV,0.0,0.0,4.517112418656664,Digging,Idle,-0.0074114477825837355,-5.261184210525761
9,10:00,0.0,5.261184210525761,4.336638499868317,Digging,Traveling,0.0,5.253772762743178,4.336638499868317,Digging,Idle,0.0,0.0,4.336638499868317,Digging,Idle,-0.0074114477825837355,-5.261184210525761
10,10:15,0.0,5.261184210525761,5.008074212365046,Digging,Charging (grid),-9.450218385609332e-13,5.253772762742941,5.008074212365046,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,-0.007411447782819991,-3.2611842105257614
11,10:30,0.0,5.261184210525761,4.9644221838317835,Digging,Charging (grid),0.0,5.253772762742941,4.9644221838317835,Digging,Idle,0.0,2.0,5.008074212365046,Digging,Idle,-0.007411447782819991,-3.2611842105257614
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.000000000002016,7.253772762743445,0.0,Charging,Serving CEV,0.0,2.0,4.327584989045563,Traveling,Idle,1.9925885522176836,-3.2611842105257614
13,11:00,0.0,5.261184210525761,4.778902569832251,Digging,Charging (grid),0.0,7.253772762743445,4.778902569832251,Digging,Idle,0.0,2.0,4.9644221838317835,Digging,Idle,1.9925885522176836,-3.2611842105257614
14,11:15,0.0,5.261184210525761,4.327584989045563,Traveling,Charging (grid),0.0,7.253772762743445,4.327584989045563,Traveling,Idle,0.0,2.0,4.778902569832251,Digging,Idle,1.9925885522176836,-3.2611842105257614
15,11:30,0.0,5.261184210525761,4.845273315283702,Digging,Charging (grid),0.0,7.253772762743445,4.845273315283702,Digging,Idle,7.999999999999981,3.9999999999999956,0.0,Charging,Serving CEV,1.9925885522176836,-1.2611842105257658
16,11:45,0.0,5.261184210525761,4.6622272316452165,Digging,Charging (grid),0.0,7.253772762743445,4.6622272316452165,Digging,Idle,8.000000000001542,6.000000000000381,0.0,Charging,Serving CEV,1.9925885522176836,0.7388157894746197
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),5.492381791860362,8.626868210708535,0.0,Charging,Serving CEV,6.7430246117079236,7.685756152927362,0.0,Charging,Serving CEV,3.3656840001827737,2.4245719424016006
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),7.71092727411244,10.554600029236646,0.0,Charging,Serving CEV,7.970263483116756,9.678322023706551,0.0,Charging,Serving CEV,5.293415818710884,4.41713781318079
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.554600029236646,0.0,Idle,Traveling,0.0,9.678322023706551,0.0,Idle,Traveling,5.293415818710884,4.41713781318079
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,9.678322023706551,0.0,Idle,Charging (grid),5.293415818710884,4.41713781318079
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,9.678322023706551,0.0,Idle,Charging (grid),5.293415818710884,4.41713781318079
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,9.678322023706551,0.0,Idle,Charging (grid),5.293415818710884,4.41713781318079
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,9.678322023706551,0.0,Idle,Charging (grid),3.2934158187108844,2.4171378131807897
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,0.0,10.554600029236646,0.0,Idle,Charging (grid),0.0,9.678322023706551,0.0,Idle,Charging (grid),1.2934158187108835,0.4171378131807888
25,14:00,0.0,9.261184210525762,4.872525412844321,Digging,Idle,0.0,10.554600029236646,2.921367853046169,Loading/Swinging,Charging (grid),0.0,9.678322023706551,4.845273315283702,Digging,Charging (grid),1.2934158187108835,0.4171378131807888
26,14:15,0.0,9.261184210525762,5.2254933443060985,Digging,Idle,0.0,10.554600029236646,3.2437673762908994,Loading/Swinging,Charging (grid),0.0,9.678322023706551,4.6622272316452165,Digging,Charging (grid),1.2934158187108835,0.4171378131807888
27,14:30,0.0,9.261184210525762,4.432418460672224,Traveling,Idle,0.0,10.554600029236646,4.432418460672224,Traveling,Charging (grid),0.0,9.678322023706551,4.432418460672224,Traveling,Charging (grid),1.2934158187108835,0.4171378131807888
28,14:45,8.0,11.261184210525762,0.0,Charging,Serving CEV,0.0,10.554600029236646,3.187943375556529,Loading/Swinging,Charging (grid),0.0,9.678322023706551,4.872525412844321,Digging,Traveling,-0.7065841812891165,-1.5828621868192112
29,15:00,0.0,11.261184210525762,2.921367853046169,Loading/Swinging,Idle,0.0,10.554600029236646,0.0,Idle,Charging (grid),8.0,11.678322023706551,0.0,Charging,Serving CEV,-0.7065841812891165,0.4171378131807888
