Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,247.89473684210526
7,246.56717451523605,247.89473684210526
8,246.56717451523605,245.78947368420788
9,244.4619113573413,243.68421052631314
10,244.4619113573413,243.68421052631314
11,244.78466066481974,244.12317403381758
12,245.2587824225634,244.56213754132202
13,245.73290418030706,245.00110104882646
14,246.20702593805072,245.4400645563309
15,246.68114769579438,245.89442406960214
16,247.15526945353804,246.34878358287338
17,247.6293912112817,246.80314309614462
18,248.10351296902536,247.25750260941587
19,248.57763472676902,247.72295513266317
20,249.05175648451268,248.18840765591048
21,249.52587824225634,248.6538601791578
22,250.0,249.1193127024051
23,250.0,249.1193127024051
24,247.89473684210526,247.01404954451036
25,245.78947368421052,244.90878638661562
26,245.78947368421052,244.90878638661562
27,245.78947368421052,244.90878638661562
28,245.78947368421052,244.90878638661562
29,243.68421052631578,244.90878638661562
30,243.68421052631578,243.95246354203587
31,243.68421052631578,243.95246354203587
32,243.68421052631578,243.95246354203587
33,243.68421052631578,243.95246354203587
34,241.57894736842104,241.86837094811304
35,241.57894736842104,241.86837094811304
36,241.57894736842104,241.86837094811304
37,241.57894736842104,241.86837094811304
38,239.4736842105263,239.7631077902183
39,237.36842105263156,237.65784463232356
40,235.26315789473682,235.55258147442882
41,235.26315789473682,233.44731831653408
42,233.15789473684208,231.34205515863934
43,231.05263157894734,230.49407246673223
44,231.05263157894734,230.49407246673223
45,229.13864265927918,230.49407246673223
46,229.13864265927918,230.49407246673223
47,229.13864265927918,230.49407246673223
48,229.13864265927918,230.49407246673223
49,229.13864265927918,230.49407246673223
50,229.13864265927918,230.49407246673223
51,229.13864265927918,230.49407246673223
52,229.13864265927918,230.49407246673223
53,229.13864265927918,230.49407246673223
54,229.61276441702285,230.95952498997954
55,230.0868861747665,231.42497751322685
56,230.56100793251017,231.89043003647416
57,231.03512969025383,232.35588255972146
58,231.50925144799749,232.82133508296877
59,231.98337320574115,233.28678760621608
60,232.4574949634848,233.7522401294634
61,232.93161672122847,234.2176926527107
62,233.40573847897213,234.2176926527107
63,233.87986023671579,234.683145175958
64,234.35398199445945,235.10551925608647
65,234.8281037522031,235.10551925608647
66,235.30222550994677,235.57097177933377
67,235.77634726769043,236.03642430258108
68,236.25046902543409,236.5018768258284
69,236.72459078317775,236.9673293490757
70,237.1987125409214,237.432781872323
71,237.67283429866507,237.8982343955703
72,238.14695605640873,238.36368691881762
73,238.6210778141524,238.82913944206493
74,239.09519957189605,239.29459196531224
75,239.5693213296397,239.76004448855954
76,240.04344308738337,240.22549701180685
77,240.51756484512703,240.69094953505416
78,240.9916866028707,241.15640205830147
79,241.46580836061435,241.62185458154877
80,241.939930118358,242.08730710479608
81,242.41405187610167,242.5527596280434
82,242.88817363384533,243.0182121512907
83,243.362295391589,243.483664674538
84,243.83641714933265,243.9491171977853
85,244.3105389070763,244.41456972103262
86,244.78466066481997,244.88002224427993
87,245.25878242256363,245.34547476752724
88,245.7329041803073,245.81092729077454
89,246.20702593805095,246.27637981402185
90,246.6811476957946,246.7418323372689
91,247.15526945353827,247.2072848605162
92,247.62939121128193,247.67273738376346
93,248.1035129690256,248.13818990701077
94,248.57763472676925,248.60364243025808
95,249.0517564845129,249.06909495350538
96,249.52587824225634,249.5345474767527
97,250.0,250.0
