Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Traveling,0.0,0.0,4.989984663182659,Digging,Idle,0.0
3,08:30,8.000000000000007,2.0000000000000018,0.0,Charging,Serving CEV,0.0,0.0,4.6363591868503535,Digging,Idle,-2.0000000000000018
4,08:45,0.0,2.0000000000000018,4.6363591868503535,Digging,Idle,3.854095671205498e-13,9.635239178013745e-14,4.517112418656664,Digging,Idle,-1.9999999999999054
5,09:00,0.0,2.0000000000000018,4.517112418656664,Digging,Idle,8.0,2.0000000000000964,0.0,Charging,Serving CEV,9.459100169806334e-14
6,09:15,0.0,2.0000000000000018,0.0,Idle,Idle,0.0,2.0000000000000964,5.137897960482434,Traveling,Idle,9.459100169806334e-14
7,09:30,8.0,4.000000000000002,0.0,Charging,Serving CEV,0.0,2.0000000000000964,4.336638499868317,Digging,Idle,-1.9999999999999054
8,09:45,0.0,4.000000000000002,5.137897960482434,Traveling,Idle,0.0,2.0000000000000964,5.008074212365046,Digging,Idle,-1.9999999999999054
9,10:00,0.0,4.000000000000002,4.336638499868317,Digging,Idle,0.0,2.0000000000000964,4.9644221838317835,Digging,Idle,-1.9999999999999054
10,10:15,0.0,4.000000000000002,5.008074212365046,Digging,Idle,3.704218410422145,2.9260546026056327,0.0,Charging,Serving CEV,-1.0739453973943691
11,10:30,0.0,4.000000000000002,4.9644221838317835,Digging,Idle,-2.4268160814244767e-10,2.926054602544962,4.778902569832251,Digging,Idle,-1.0739453974550397
12,10:45,8.0,6.000000000000002,0.0,Charging,Serving CEV,0.0,2.926054602544962,4.4927734972254285,Traveling,Idle,-3.0739453974550397
13,11:00,0.0,6.000000000000002,4.778902569832251,Digging,Idle,0.0,2.926054602544962,4.845273315283702,Digging,Idle,-3.0739453974550397
14,11:15,0.0,6.000000000000002,4.4927734972254285,Traveling,Idle,0.0,2.926054602544962,4.6622272316452165,Digging,Idle,-3.0739453974550397
15,11:30,0.0,6.000000000000002,4.845273315283702,Digging,Idle,3.1361174466321913,3.71008396420301,0.0,Charging,Serving CEV,-2.289916035796992
16,11:45,0.0,6.000000000000002,4.6622272316452165,Digging,Idle,0.0,3.71008396420301,3.0489857920151766,Loading/Swinging,Idle,-2.289916035796992
17,12:00,8.0,8.000000000000002,0.0,Charging,Serving CEV,0.0,3.71008396420301,0.0,Idle,Idle,-4.289916035796992
18,12:15,8.0,10.000000000000002,0.0,Charging,Serving CEV,8.0,5.71008396420301,0.0,Charging,Serving CEV,-4.289916035796992
19,12:30,0.0,10.000000000000002,0.0,Idle,Idle,8.0,7.71008396420301,0.0,Charging,Serving CEV,-2.289916035796992
20,12:45,0.0,10.000000000000002,0.0,Idle,Idle,0.0,7.71008396420301,0.0,Idle,Idle,-2.289916035796992
21,13:00,8.0,12.000000000000002,0.0,Charging,Serving CEV,8.0,9.71008396420301,0.0,Charging,Serving CEV,-2.289916035796992
22,13:15,0.0,12.000000000000002,0.0,Idle,Idle,3.1103720777967263,10.487676983652191,0.0,Charging,Serving CEV,-1.5123230163478105
23,13:30,8.0,14.000000000000002,0.0,Charging,Serving CEV,8.0,12.487676983652191,0.0,Charging,Serving CEV,-1.5123230163478105
24,13:45,0.0,14.000000000000002,0.0,Idle,Idle,8.0,14.487676983652191,0.0,Charging,Serving CEV,0.4876769836521895
25,14:00,0.0,14.000000000000002,4.872525412844321,Digging,Idle,0.0,14.487676983652191,4.872525412844321,Digging,Idle,0.4876769836521895
26,14:15,0.0,14.000000000000002,5.2254933443060985,Digging,Idle,0.0,14.487676983652191,4.749989717804096,Traveling,Idle,0.4876769836521895
27,14:30,8.0,16.0,0.0,Charging,Serving CEV,0.0,14.487676983652191,5.2254933443060985,Digging,Idle,-1.5123230163478087
28,14:45,0.0,16.0,4.749989717804096,Traveling,Idle,0.0,14.487676983652191,3.10878482887631,Loading/Swinging,Idle,-1.5123230163478087
29,15:00,0.0,16.0,3.0489857920151766,Loading/Swinging,Idle,8.0,16.487676983652193,0.0,Charging,Serving CEV,0.48767698365219303
30,15:15,0.0,16.0,3.10878482887631,Loading/Swinging,Idle,0.0,16.487676983652193,3.091936889713172,Loading/Swinging,Idle,0.48767698365219303
31,15:30,0.0,16.0,3.091936889713172,Loading/Swinging,Idle,0.0,16.487676983652193,3.178041707501309,Loading/Swinging,Idle,0.48767698365219303
32,15:45,7.417618223214151,17.854404555803537,0.0,Charging,Serving CEV,0.0,16.487676983652193,4.763406214464165,Traveling,Idle,-1.366727572151344
33,16:00,0.0,17.854404555803537,3.178041707501309,Loading/Swinging,Idle,0.0,16.487676983652193,3.5703346457907466,Loading/Swinging,Idle,-1.366727572151344
34,16:15,0.0,17.854404555803537,4.763406214464165,Traveling,Idle,8.0,18.487676983652193,0.0,Charging,Serving CEV,0.6332724278486559
35,16:30,0.0,17.854404555803537,3.5703346457907466,Loading/Swinging,Idle,8.0,20.487676983652193,0.0,Charging,Serving CEV,2.633272427848656
36,16:45,0.0,17.854404555803537,3.293469348992297,Loading/Swinging,Idle,0.0,20.487676983652193,3.293469348992297,Loading/Swinging,Idle,2.633272427848656
37,17:00,8.0,19.854404555803537,0.0,Charging,Serving CEV,8.0,22.487676983652193,0.0,Charging,Serving CEV,2.633272427848656
38,17:15,8.0,21.854404555803537,0.0,Charging,Serving CEV,6.08626220535389,24.009242534990666,0.0,Charging,Serving CEV,2.1548379791871284
39,17:30,8.0,23.854404555803537,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Traveling,0.15483797918712838
40,17:45,0.6193519167485135,24.009242534990666,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Idle,0.0
41,18:00,0.0,24.009242534990666,0.0,Idle,Traveling,0.0,24.009242534990666,0.0,Idle,Idle,0.0
42,18:15,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
43,18:30,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
44,18:45,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
45,19:00,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
46,19:15,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
47,19:30,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
48,19:45,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
49,20:00,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
50,20:15,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
51,20:30,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
52,20:45,0.0,24.009242534990666,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.0
53,21:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
54,21:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
55,21:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
56,21:45,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
57,22:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
58,22:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
59,22:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
60,22:45,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
61,23:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
62,23:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
63,23:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
64,23:45,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
65,00:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
66,00:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
67,00:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
68,00:45,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
69,01:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
70,01:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
71,01:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
72,01:45,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
73,02:00,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
74,02:15,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
75,02:30,0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.0
