Time_Period,CEV_1_A0_kWh,CEV_1_A1R_kWh
1,14.8,14.8
2,13.495504562303891,13.495504562303891
3,14.756688772830184,14.652210286194636
4,13.431028189931821,13.326549703296804
5,12.110535588288116,12.006057101653099
6,14.110535588288116,14.006057101653099
7,12.775137140620199,12.670658653985182
8,11.350637395559895,14.670658653985182
9,13.350637395559895,13.246158908924873
10,11.992679708043434,11.888201221408412
11,10.664757931497803,10.56027944486278
12,9.34229265851883,9.237814171883809
13,9.34229265851883,11.237814171883809
14,8.03961797974786,10.342662395885705
15,6.641427166901038,8.944471583038883
16,5.333855502490575,7.641796904267914
17,4.016596406446228,6.334225239857451
18,4.016596406446228,7.664172355797185
19,4.016596406446228,9.664172355797195
20,4.016596406446228,11.664172355797195
21,4.016596406446228,11.664172355797195
22,4.016596406446228,11.664172355797195
23,4.016596406446228,11.664172355797195
24,6.016596406446228,11.664172355797195
25,8.016596406446228,11.664172355797195
26,6.705618229840687,10.776495459406734
27,5.350519061802425,9.88671257062088
28,3.9745078470769126,8.510701355895367
29,5.974507847076913,7.626821142457704
30,5.079356071078809,7.626821142457704
31,4.191679174688348,6.693904311733861
32,3.3018962859024947,5.795595643109824
33,2.96,4.478336547065476
34,4.96,3.1006482702574556
35,3.5823117231919794,4.676939564723293
36,2.96,6.5939768650145645
37,2.96,5.282998688409024
38,4.96,5.300894805873211
39,6.96,7.299952904954043
40,8.96,9.194739320791893
41,8.96,11.095013719958322
42,10.96,13.095013719958322
43,12.96,14.8
44,12.96,14.8
45,14.778289473684762,14.8
46,14.778289473684762,14.8
47,14.778289473684762,14.8
48,14.778289473684762,14.8
49,14.778289473684762,14.8
50,14.778289473684762,14.8
51,14.778289473684762,14.8
52,14.778289473684762,14.8
53,14.778289473684762,14.8
54,14.778289473684762,14.8
55,14.778289473684762,14.8
56,14.778289473684762,14.8
57,14.778289473684762,14.8
58,14.778289473684762,14.8
59,14.778289473684762,14.8
60,14.778289473684762,14.8
61,14.778289473684762,14.8
62,14.778289473684762,14.8
63,14.778289473684762,14.8
64,14.778289473684762,14.8
65,14.778289473684762,14.8
66,14.778289473684762,14.8
67,14.778289473684762,14.8
68,14.778289473684762,14.8
69,14.778289473684762,14.8
70,14.778289473684762,14.8
71,14.778289473684762,14.8
72,14.778289473684762,14.8
73,14.778289473684762,14.8
74,14.778289473684762,14.8
75,14.778289473684762,14.8
76,14.778289473684762,14.8
77,14.778289473684762,14.8
78,14.778289473684762,14.8
79,14.778289473684762,14.8
80,14.778289473684762,14.8
81,14.778289473684762,14.8
82,14.778289473684762,14.8
83,14.778289473684762,14.8
84,14.778289473684762,14.8
85,14.778289473684762,14.8
86,14.778289473684762,14.8
87,14.778289473684762,14.8
88,14.778289473684762,14.8
89,14.778289473684762,14.8
90,14.778289473684762,14.8
91,14.778289473684762,14.8
92,14.778289473684762,14.8
93,14.778289473684762,14.8
94,14.778289473684762,14.8
95,14.778289473684762,14.8
96,14.778289473684762,14.8
97,14.778289473684762,14.8
