Metric,A0,A1R
Total_Cost_USD,1052.0,572.39
Total_Energy_Cost_USD,8.51,9.1
Total_CO2_Cost_USD,0.34,0.34
NC_demand_charge_USD,40.17,42.96
OP_demand_charge_USD,-0.0,0.0
Missed_Work_Penalty_USD,973.06,500.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,9.91,0.0
Total_Grid_Energy_kWh,27.79,28.35
Total_CO2_Emissions_kg,6.84,6.76
NCD_Peak_kW,2.0,2.13
OPD_Peak_kW,-0.0,0.0
Missed_Work_hour,0.49,0.25
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.022,0.0
Infeasible_windows,0,0
Solve_time_s,28.55,329.25
