Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1R_Discharge_kW,A1R_Discharge_cum_kWh,A1R_Work_kW,A1R_CEV1_Activity,A1R_MCS_Status,A1R_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.21798175078444,Digging,Traveling,0.0,0.0,5.21798175078444,Digging,Traveling,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,4.626822895562981,1.1567057238907452,0.0,Charging,Serving CEV,-0.10447848663554726
3,08:30,-2.1227464230832993e-12,1.2611842105257618,5.30264233159133,Digging,Idle,0.0,1.1567057238907452,5.30264233159133,Digging,Idle,-0.10447848663501658
4,08:45,0.0,1.2611842105257618,5.281970406574824,Digging,Idle,0.0,1.1567057238907452,5.281970406574824,Digging,Idle,-0.10447848663501658
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,8.0,3.156705723890745,0.0,Charging,Serving CEV,-0.10447848663501613
6,09:15,0.0,3.2611842105257614,5.341593790671668,Digging,Idle,0.0,3.156705723890745,5.341593790671668,Digging,Idle,-0.10447848663501613
7,09:30,0.0,3.2611842105257614,5.697998980241216,Traveling,Idle,8.0,5.156705723890745,0.0,Charging,Serving CEV,1.8955215133649839
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,-1.8259586355899638e-14,5.156705723890741,5.697998980241216,Traveling,Idle,-0.10447848663502057
9,10:00,0.0,5.261184210525761,5.431830750065842,Digging,Traveling,0.0,5.156705723890741,5.431830750065842,Digging,Idle,-0.10447848663502057
10,10:15,0.0,5.261184210525761,5.311687106182523,Digging,Charging (grid),0.0,5.156705723890741,5.311687106182523,Digging,Idle,-0.10447848663502057
11,10:30,0.0,5.261184210525761,5.289861091915892,Digging,Charging (grid),0.0,5.156705723890741,5.289861091915892,Digging,Idle,-0.10447848663502057
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,7.156705723890741,0.0,Charging,Serving CEV,1.8955215133649794
13,11:00,0.0,5.261184210525761,5.2106987150838755,Digging,Charging (grid),0.0,7.156705723890741,3.5806071039924117,Loading/Swinging,Idle,1.8955215133649794
14,11:15,0.0,5.261184210525761,5.592763251387286,Traveling,Charging (grid),0.0,7.156705723890741,5.592763251387286,Traveling,Idle,1.8955215133649794
15,11:30,0.0,5.261184210525761,5.230286657641851,Digging,Charging (grid),0.0,7.156705723890741,5.2106987150838755,Digging,Idle,1.8955215133649794
16,11:45,0.0,5.261184210525761,5.269036384177392,Digging,Charging (grid),0.0,7.156705723890741,5.230286657641851,Digging,Idle,1.8955215133649794
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),5.319788463758937,8.486652839830475,0.0,Charging,Serving CEV,3.2254686293047135
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.000000000000036,10.486652839830484,0.0,Charging,Serving CEV,5.225468629304722
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,12.486652839830484,0.0,Charging,Serving CEV,7.225468629304722
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,12.486652839830484,0.0,Idle,Traveling,7.225468629304722
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,12.486652839830484,0.0,Idle,Charging (grid),7.225468629304722
