Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,250.0
6,246.56717451523605,247.89473684210526
7,246.56717451523605,247.89473684210526
8,246.56717451523605,247.89473684210478
9,244.4619113573413,247.89473684210478
10,244.4619113573413,247.89473684210478
11,244.78466066481974,245.78947368421004
12,245.2587824225634,245.78947368421007
13,245.73290418030706,245.78947368421007
14,246.20702593805072,245.78947368421007
15,246.68114769579438,244.90849203840153
16,247.15526945353804,242.8032288805068
17,247.6293912112817,242.8032288805068
18,248.10351296902536,240.84782717830782
19,248.57763472676902,238.8454798994762
20,249.05175648451268,238.8454798994762
21,249.52587824225634,239.297865434685
22,250.0,239.7502509698938
23,250.0,240.20263650510262
24,247.89473684210526,240.65502204031142
25,245.78947368421052,241.10740757552023
26,245.78947368421052,241.55979311072903
27,245.78947368421052,242.01217864593784
28,245.78947368421052,242.46456418114664
29,243.68421052631578,242.91694971635545
30,243.68421052631578,243.36933525156425
31,243.68421052631578,243.82172078677306
32,243.68421052631578,244.2751739715955
33,243.68421052631578,244.7290422667565
34,241.57894736842104,244.7290422667565
35,241.57894736842104,242.67203414780477
36,241.57894736842104,242.67203414780477
37,241.57894736842104,242.67203414780477
38,239.4736842105263,240.6039793455958
39,237.36842105263156,238.60756117729102
40,235.26315789473682,236.60737265983337
41,235.26315789473682,234.60738258180484
42,233.15789473684208,232.5021194239101
43,231.05263157894734,230.6129222258008
44,231.05263157894734,230.6129222258008
45,229.13864265927918,230.6129222258008
46,229.13864265927918,230.6129222258008
47,229.13864265927918,230.6129222258008
48,229.13864265927918,230.6129222258008
49,229.13864265927918,230.6129222258008
50,229.13864265927918,230.6129222258008
51,229.13864265927918,230.6129222258008
52,229.13864265927918,230.6129222258008
53,229.13864265927918,230.6129222258008
54,229.61276441702285,231.06679052096177
55,230.0868861747665,231.52065881612276
56,230.56100793251017,231.97452711128375
57,231.03512969025383,232.42839540644474
58,231.50925144799749,232.88226370160572
59,231.98337320574115,233.3361319967667
60,232.4574949634848,233.7900002919277
61,232.93161672122847,234.24386858708868
62,233.40573847897213,234.56847796452666
63,233.87986023671579,235.02234625968765
64,234.35398199445945,235.47621455484864
65,234.8281037522031,235.47621455484864
66,235.30222550994677,235.93008285000963
67,235.77634726769043,236.3839511451706
68,236.25046902543409,236.8378194403316
69,236.72459078317775,237.2916877354926
70,237.1987125409214,237.74555603065357
71,237.67283429866507,238.19942432581456
72,238.14695605640873,238.65329262097555
73,238.6210778141524,239.10716091613654
74,239.09519957189605,239.56102921129752
75,239.5693213296397,240.0148975064585
76,240.04344308738337,240.4687658016195
77,240.51756484512703,240.92263409678048
78,240.9916866028707,241.37650239194147
79,241.46580836061435,241.83037068710246
80,241.939930118358,242.28423898226345
81,242.41405187610167,242.73810727742443
82,242.88817363384533,243.19197557258542
83,243.362295391589,243.6458438677464
84,243.83641714933265,244.0997121629074
85,244.3105389070763,244.55358045806838
86,244.78466066481997,245.00744875322937
87,245.25878242256363,245.46131704839036
88,245.7329041803073,245.91518534355134
89,246.20702593805095,246.36905363871233
90,246.6811476957946,246.8229219338731
91,247.15526945353827,247.27679022903408
92,247.62939121128193,247.73065852419506
93,248.1035129690256,248.18452681935605
94,248.57763472676925,248.63839511451704
95,249.0517564845129,249.09226340967803
96,249.52587824225634,249.546131704839
97,250.0,250.0
