Time_Period,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8
2,13.60891587539222,13.60891587539222
3,14.8,12.846669427388427
4,13.552503834204336,11.599173261592762
5,12.393414037491734,10.440083464880173
6,14.393414037491734,10.440083464880173
7,13.264135932827568,9.155608974759565
8,11.97966144270696,8.026330870095398
9,13.97966144270696,10.026330870095398
10,12.89550181773988,8.94217124512832
11,11.64348326464862,7.690152692037058
12,10.402377718690673,6.449047146079113
13,12.043138014805754,8.449047146079112
14,10.848412372347692,7.3258537717727545
15,9.725218998041335,6.548657564553677
16,8.513900669220408,5.353931922095614
17,7.348343861309104,7.353931922095614
18,9.348343861309104,9.353931922095615
19,11.34834386130896,11.123825473669482
20,11.34834386130896,12.69387009673509
21,11.34834386130896,12.69387009673509
22,11.34834386130896,12.69387009673509
23,11.34834386130896,12.69387009673509
24,11.34834386130896,12.69387009673509
25,11.34834386130896,12.69387009673509
26,10.586097413305167,11.482551767914163
27,9.80890120608609,10.316994960002859
28,8.621403776635065,9.129497530551834
29,7.848419554206772,8.35651330812354
30,7.848419554206772,8.35651330812354
31,7.053909127331445,7.562002881248214
32,6.161325465883758,6.343871528037133
33,5.337958128635684,5.0374981919606086
34,4.1471065750196425,3.846646638344567
35,5.883047022367387,5.846646638344567
36,4.664915669156307,4.95406297689688
37,3.3585423330797823,4.130695639648806
38,3.4021819824694854,6.130695639648806
39,5.399885158817396,8.130695639648806
40,7.2947428863780335,10.130695639648806
41,9.195013532295894,12.130695639648806
42,11.094999287773902,14.130695639648806
43,13.094999287773902,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
