Time_Period,MCS_1_A0_kWh,MCS_1_A1R_kWh,MCS_1_A2R_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,248.67243767313022,250.0,250.0
4,248.6724376731308,250.0,250.0
5,248.6724376731308,247.89473684210526,247.89473684210526
6,246.56717451523605,247.89473684210526,247.89473684210526
7,246.56717451523605,247.89473684210526,246.4102741418509
8,246.56717451523605,245.78947368421055,246.4102741418509
9,244.4619113573413,244.78954437481786,246.4102741418509
10,244.4619113573413,244.78954437481786,246.85385722412732
11,244.78466066481974,244.78954437481786,246.85385722412732
12,245.2587824225634,244.78954437481784,244.74859406623258
13,245.73290418030706,244.78954437481784,244.74859406623258
14,246.20702593805072,242.6842812169231,244.74859406623258
15,246.68114769579438,242.6842812169231,244.74859406623258
16,247.15526945353804,242.6842812169231,242.64333090833784
17,247.6293912112817,242.6842812169231,242.64333090833784
18,248.10351296902536,240.57901805902972,240.5380677504431
19,248.57763472676902,238.47375490113498,238.43280459254837
20,249.05175648451268,238.47375490113498,236.32754143465363
21,249.52587824225634,238.91268146187582,236.0754232320329
22,250.0,239.35160802261666,236.0754232320329
23,250.0,239.7905345833575,236.0754232320329
24,247.89473684210526,240.22946114409834,236.0754232320329
25,245.78947368421052,240.66838770483918,236.0754232320329
26,245.78947368421052,241.10731426558002,236.0754232320329
27,245.78947368421052,241.54624082632085,236.0754232320329
28,245.78947368421052,241.98541053033557,236.0754232320329
29,243.68421052631578,242.4245802343503,236.0754232320329
30,243.68421052631578,242.863749938365,233.97016007413816
31,243.68421052631578,243.30291964237972,233.97016007413816
32,243.68421052631578,243.74208934639444,233.97016007413816
33,243.68421052631578,244.18125905040915,231.86489691624342
34,241.57894736842104,244.18125905040915,231.86489691624342
35,241.57894736842104,243.53440228106186,231.86489691624342
36,241.57894736842104,243.53440228106186,231.86489691624342
37,241.57894736842104,243.53440228106186,231.86489691624342
38,239.4736842105263,243.25668280504698,229.75963375834868
39,237.36842105263156,241.16603646167934,227.65437060045394
40,235.26315789473682,239.17080732185659,225.90665607546973
41,235.26315789473682,237.17055622395253,225.90665607546973
42,233.15789473684208,235.1705694396317,225.90665607546973
43,231.05263157894734,233.06530628173695,225.90665607546973
44,231.05263157894734,231.17610891027462,225.90665607546973
45,229.13864265927918,231.17610891027462,225.90665607546973
46,229.13864265927918,231.17610891027462,225.90665607546973
47,229.13864265927918,231.17610891027462,225.90665607546973
48,229.13864265927918,231.17610891027462,225.90665607546973
49,229.13864265927918,231.17610891027462,225.90665607546973
50,229.13864265927918,231.17610891027462,225.90665607546973
51,229.13864265927918,231.17610891027462,225.90665607546973
52,229.13864265927918,231.17610891027462,225.90665607546973
53,229.13864265927918,231.17610891027462,225.90665607546973
54,229.61276441702285,231.61527861428934,226.4542320737545
55,230.0868861747665,232.05444831830405,227.00180807203927
56,230.56100793251017,232.49361802231877,227.54938407032404
57,231.03512969025383,232.9327877263335,228.0969600686088
58,231.50925144799749,233.3719574303482,228.64453606689358
59,231.98337320574115,233.81112713436292,229.19211206517835
60,232.4574949634848,234.25029683837764,229.73968806346312
61,232.93161672122847,234.68946654239235,230.2872640617479
62,233.40573847897213,235.06823006349993,230.83484006003266
63,233.87986023671579,235.50739976751464,231.38241605831743
64,234.35398199445945,235.94656947152933,231.9299920566022
65,234.8281037522031,235.94656947152933,232.4775680548871
66,235.30222550994677,236.38573917554405,233.02514405317197
67,235.77634726769043,236.82490887955876,233.57272005145686
68,236.25046902543409,237.26407858357348,234.12029604974174
69,236.72459078317775,237.7032482875882,234.66787204802662
70,237.1987125409214,238.1424179916029,235.2154480463115
71,237.67283429866507,238.58158769561763,235.7630240445964
72,238.14695605640873,239.02075739963234,236.31060004288128
73,238.6210778141524,239.45992710364706,236.85817604116616
74,239.09519957189605,239.89909680766178,237.40575203945104
75,239.5693213296397,240.3382665116765,237.95332803773593
76,240.04344308738337,240.7774362156912,238.5009040360208
77,240.51756484512703,241.21660591970593,239.0484800343057
78,240.9916866028707,241.65577562372064,239.59605603259058
79,241.46580836061435,242.09494532773536,240.14363203087547
80,241.939930118358,242.53411503175008,240.69120802916035
81,242.41405187610167,242.9732847357648,241.23878402744523
82,242.88817363384533,243.4124544397795,241.78636002573012
83,243.362295391589,243.85162414379423,242.333936024015
84,243.83641714933265,244.29079384780894,242.8815120222999
85,244.3105389070763,244.72996355182366,243.42908802058477
86,244.78466066481997,245.16913325583837,243.97666401886966
87,245.25878242256363,245.6083029598531,244.52424001715454
88,245.7329041803073,246.0474726638678,245.07181601543942
89,246.20702593805095,246.48664236788252,245.6193920137243
90,246.6811476957946,246.92581207189704,246.1669680120059
91,247.15526945353827,247.36498177591176,246.71454401029075
92,247.62939121128193,247.80415147992645,247.26212000857564
93,248.1035129690256,248.24332118394116,247.80969600686046
94,248.57763472676925,248.68249088795585,248.35727200514535
95,249.0517564845129,249.12166059197057,248.9048480034302
96,249.52587824225634,249.56083029598528,249.45242400171512
97,250.0,250.0,250.0
