Metric,A0,A1R,A2R
Total_Cost_USD,69.02,65.82,74.93
Total_Energy_Cost_USD,8.51,8.3,8.19
Total_CO2_Cost_USD,0.34,0.31,0.35
NC_demand_charge_USD,40.17,37.2,46.39
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,0.0
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,27.79,25.82,25.83
Total_CO2_Emissions_kg,6.84,6.14,6.97
NCD_Peak_kW,2.0,1.85,2.31
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.0
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,34.08,412.93,15377.23
