day,step,clock,cev,p_dig_kW,p_load_kW,p_trav_kW,p_idle_kW,activity_executed,soe_cev_kWh,soe_mcs_kWh,infeasible_flag
1,1,08:00,1,4.7809,0.0,0.0,0.0,Digging,13.604775,250.0,false
1,2,08:15,1,4.2582,0.0,0.0,0.0,Digging,12.540225,250.0,false
1,3,08:30,1,4.7425,0.0,0.0,0.0,Digging,11.354599999999959,250.00000000000003,false
1,4,08:45,1,4.8905,0.0,0.0,0.0,Digging,10.131974999999985,250.0,false
1,5,09:00,1,0.0,0.0,0.0,1.3131,Charging,11.803699999999985,247.89473684210526,false
1,6,09:15,1,0.0,0.0,4.5506,0.0,Traveling,10.666049999999984,247.89473684210526,false
1,7,09:30,1,0.0,0.0,0.0,0.0,Charging,12.66605000000001,245.7894736842105,false
1,8,09:45,1,0.0,0.0,0.0,0.0,Charging,14.66605000000001,243.68421052631575,false
1,9,10:00,1,4.78,0.0,0.0,0.0,Digging,13.471050000000009,243.68421052631575,false
1,10,10:15,1,4.78,0.0,0.0,0.0,Digging,12.276050000000009,244.1528749505342,false
1,11,10:30,1,0.0,3.4361,0.0,0.0,Loading/Swinging,11.417025000000008,244.62153937475264,false
1,12,10:45,1,4.7425,0.0,0.0,0.0,Digging,10.231400000000008,245.0915631916047,false
1,13,11:00,1,0.0,0.0,0.0,0.7188,Idle,10.051700000000007,245.56158700845677,false
1,14,11:15,1,0.0,0.0,6.1076,0.0,Traveling,8.524800000000008,246.03517357834528,false
1,15,11:30,1,4.7809,0.0,0.0,0.0,Digging,7.329575000000008,246.51635071908817,false
1,16,11:45,1,4.9634,0.0,0.0,0.0,Digging,6.088725000000008,246.99752785983105,false
1,17,12:00,1,0.0,0.0,0.0,0.0,,6.088725000000008,247.47960556024375,false
1,18,12:15,1,0.0,0.0,0.0,0.0,,6.088725000000008,247.96168326065646,false
1,19,12:30,1,0.0,0.0,0.0,0.0,,6.088725000000008,248.44376096106916,false
1,20,12:45,1,0.0,0.0,0.0,0.0,,6.088725000000008,248.92583866148186,false
1,21,13:00,1,0.0,0.0,0.0,0.0,,6.088725000000008,249.40791636189456,false
1,22,13:15,1,0.0,0.0,0.0,0.0,,6.088725000000008,249.40791636189456,false
1,23,13:30,1,0.0,0.0,0.0,0.0,Charging,7.677093421052633,247.7359496028918,false
1,24,13:45,1,0.0,0.0,0.0,0.0,Charging,9.593495083102495,245.7186846954709,false
1,25,14:00,1,4.6773,0.0,0.0,0.0,Digging,8.424170083102494,245.7186846954709,false
1,26,14:15,1,0.0,2.2047,0.0,0.0,Loading/Swinging,7.872995083102494,245.7186846954709,false
1,27,14:30,1,0.0,0.0,0.0,0.1325,Charging,9.457664732468292,244.01574295929638,false
1,28,14:45,1,0.0,0.0,4.5117,0.0,Traveling,8.329739732468292,244.01574295929638,false
1,29,15:00,1,0.0,2.4016,0.0,0.0,Loading/Swinging,7.729339732468292,244.01574295929638,false
1,30,15:15,1,4.8544,0.0,0.0,0.0,Digging,6.515739732468292,244.01574295929638,false
1,31,15:30,1,0.0,2.8,0.0,0.0,Loading/Swinging,5.815739732468292,244.01574295929638,false
1,32,15:45,1,0.0,0.0,0.0,0.0,Charging,7.4359610667121965,242.310246817987,false
1,33,16:00,1,0.0,3.7992,0.0,0.0,Loading/Swinging,6.486161066712197,242.310246817987,false
1,34,16:15,1,0.0,0.0,5.3956,0.0,Traveling,5.137261066712197,242.310246817987,false
1,35,16:30,1,4.2582,0.0,0.0,0.0,Digging,4.072711066712197,242.310246817987,false
1,36,16:45,1,0.0,4.3319,0.0,0.0,Loading/Swinging,2.9897360667121964,242.310246817987,false
1,37,17:00,1,0.0,0.0,0.0,0.0,Charging,3.4215928385940946,241.85566074232185,false
1,38,17:15,1,0.0,0.0,0.0,0.0,Charging,5.421592838594094,239.7503975844271,false
1,39,17:30,1,0.0,0.0,0.0,0.0,Charging,7.421592838594094,237.64513442653237,false
