day,step,clock,cev,p_dig_kW,p_load_kW,p_trav_kW,p_idle_kW,activity_executed,soe_cev_kWh,soe_mcs_kWh,infeasible_flag
1,1,08:00,1,4.899042353336453,0.0,0.0,0.0,Digging,13.575239411665887,250.0,false
1,2,08:15,1,4.910401982412056,0.0,0.0,0.0,Digging,12.347638916062873,250.0,false
1,3,08:30,1,4.927906012966569,0.0,0.0,0.0,Digging,11.115662412821232,250.0,false
1,4,08:45,1,0.0,0.0,0.0,0.0,Charging,13.115662412816036,247.89473684211075,false
1,5,09:00,1,0.0,0.0,0.0,0.0,Charging,14.149833557221301,246.80613563747363,false
1,6,09:15,1,4.713269694748631,0.0,0.0,0.0,Digging,12.971516133534143,246.80613563747363,false
1,7,09:30,1,0.0,0.0,4.678730537219639,0.0,Traveling,11.801833499229232,246.80613563747363,false
1,8,09:45,1,0.0,0.0,0.0,0.0,Charging,13.753035078987873,244.7522392377277,false
1,9,10:00,1,4.8357243990114105,0.0,0.0,0.0,Digging,12.54410397923502,244.7522392377277,false
1,10,10:15,1,5.151635139359664,0.0,0.0,0.0,Digging,11.256195194395104,244.7522392377277,false
1,11,10:30,1,4.5928271189872705,0.0,0.0,0.0,Digging,10.107988414648286,244.7522392377277,false
1,12,10:45,1,0.0,0.0,0.0,0.0,Charging,12.107988414648286,242.64697607983297,false
1,13,11:00,1,4.472718462316289,0.0,0.0,0.0,Digging,10.989808799069214,242.64697607983297,false
1,14,11:15,1,0.0,0.0,4.570241019355841,0.0,Traveling,9.847248544230254,242.64697607983297,false
1,15,11:30,1,5.090605307990513,0.0,0.0,0.0,Digging,8.574597217232625,242.64697607983297,false
1,16,11:45,1,4.562876861895047,0.0,0.0,0.0,Digging,7.433878001758863,242.64697607983297,false
1,17,12:00,1,0.0,0.0,0.0,0.0,Charging,9.17632221043374,240.81282428122782,false
1,18,12:15,1,0.0,0.0,0.0,0.0,Charging,11.17632221043374,238.70756112333308,false
1,19,12:30,1,0.0,0.0,0.0,0.0,,11.17632221043374,238.70756112333308,false
1,20,12:45,1,0.0,0.0,0.0,0.0,,11.17632221043374,239.1605776733794,false
1,21,13:00,1,0.0,0.0,0.0,0.0,,11.17632221043374,239.61359422342574,false
1,22,13:15,1,0.0,0.0,0.0,0.0,,11.17632221043374,240.06661077347206,false
1,23,13:30,1,0.0,0.0,0.0,0.0,,11.17632221043374,240.5196273235184,false
1,24,13:45,1,0.0,0.0,0.0,0.0,,11.17632221043374,240.97264387356472,false
1,25,14:00,1,0.0,3.175993434385425,0.0,0.0,Loading/Swinging,10.382323851837384,241.42566042361105,false
1,26,14:15,1,0.0,3.1732935107630613,0.0,0.0,Loading/Swinging,9.58900047414662,241.8787714467136,false
1,27,14:30,1,0.0,0.0,4.7839654011034165,0.0,Traveling,8.393009123870765,242.33196387430795,false
1,28,14:45,1,0.0,2.97234547316779,0.0,0.0,Loading/Swinging,7.649922755578817,242.78557388006445,false
1,29,15:00,1,0.0,0.0,0.0,0.0,Idle,7.649922755578817,243.23918388582095,false
1,30,15:15,1,4.71214534602571,0.0,0.0,0.0,Digging,6.47188641907239,243.69279389157745,false
1,31,15:30,1,4.638338683779483,0.0,0.0,0.0,Digging,5.312301748127519,244.14640389733395,false
1,32,15:45,1,0.0,2.9270148736422716,0.0,0.0,Loading/Swinging,4.580548029716951,244.60001390309046,false
1,33,16:00,1,0.0,0.0,4.673653190061761,0.0,Traveling,3.412134732201511,244.60001390309046,false
1,34,16:15,1,0.0,0.0,0.0,0.0,Charging,5.061782382515711,242.8635426922334,false
1,35,16:30,1,0.0,3.2462430800697804,0.0,0.0,Loading/Swinging,4.250221612498265,242.8635426922334,false
1,36,16:45,1,0.0,3.120632975701961,0.0,0.0,Loading/Swinging,3.470063368572775,242.8635426922334,false
1,37,17:00,1,0.0,0.0,0.0,0.0,Charging,5.4700633685727755,240.75827953433867,false
1,38,17:15,1,0.0,0.0,0.0,0.0,Charging,7.2910492963909075,238.84145224189854,false
1,39,17:30,1,0.0,0.0,0.0,0.0,Charging,9.291049296390907,236.7361890840038,false
1,40,17:45,1,0.0,0.0,0.0,0.0,Charging,11.089944773874164,234.84261489717932,false
1,41,18:00,1,0.0,0.0,0.0,0.0,Charging,13.089944773874164,232.73735173928458,false
1,42,18:15,1,0.0,0.0,0.0,0.0,Charging,14.8,230.8425537047961,false
1,43,18:30,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,44,18:45,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,45,19:00,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,46,19:15,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,47,19:30,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,48,19:45,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,49,20:00,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,50,20:15,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,51,20:30,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,52,20:45,1,0.0,0.0,0.0,0.0,,14.8,230.8425537047961,false
1,53,21:00,1,0.0,0.0,0.0,0.0,,14.8,231.2961637105526,false
1,54,21:15,1,0.0,0.0,0.0,0.0,,14.8,231.7497737163091,false
1,55,21:30,1,0.0,0.0,0.0,0.0,,14.8,232.2033837220656,false
1,56,21:45,1,0.0,0.0,0.0,0.0,,14.8,232.6569937278221,false
1,57,22:00,1,0.0,0.0,0.0,0.0,,14.8,233.1106037335786,false
1,58,22:15,1,0.0,0.0,0.0,0.0,,14.8,233.56421373933512,false
1,59,22:30,1,0.0,0.0,0.0,0.0,,14.8,234.01782374509162,false
1,60,22:45,1,0.0,0.0,0.0,0.0,,14.8,234.47143375084812,false
1,61,23:00,1,0.0,0.0,0.0,0.0,,14.8,234.5772598042794,false
1,62,23:15,1,0.0,0.0,0.0,0.0,,14.8,235.0308698100359,false
1,63,23:30,1,0.0,0.0,0.0,0.0,,14.8,235.48447981579238,false
1,64,23:45,1,0.0,0.0,0.0,0.0,,14.8,235.48447981579238,false
1,65,00:00,1,0.0,0.0,0.0,0.0,,14.8,235.93808982154889,false
1,66,00:15,1,0.0,0.0,0.0,0.0,,14.8,236.3916998273054,false
1,67,00:30,1,0.0,0.0,0.0,0.0,,14.8,236.8453098330619,false
1,68,00:45,1,0.0,0.0,0.0,0.0,,14.8,237.2989198388184,false
1,69,01:00,1,0.0,0.0,0.0,0.0,,14.8,237.7525298445749,false
1,70,01:15,1,0.0,0.0,0.0,0.0,,14.8,238.2061398503314,false
1,71,01:30,1,0.0,0.0,0.0,0.0,,14.8,238.6597498560879,false
1,72,01:45,1,0.0,0.0,0.0,0.0,,14.8,239.1133598618444,false
1,73,02:00,1,0.0,0.0,0.0,0.0,,14.8,239.5669698676009,false
1,74,02:15,1,0.0,0.0,0.0,0.0,,14.8,240.0205798733574,false
1,75,02:30,1,0.0,0.0,0.0,0.0,,14.8,240.4741898791139,false
1,76,02:45,1,0.0,0.0,0.0,0.0,,14.8,240.9277998848704,false
1,77,03:00,1,0.0,0.0,0.0,0.0,,14.8,241.3814098906269,false
1,78,03:15,1,0.0,0.0,0.0,0.0,,14.8,241.83501989638341,false
1,79,03:30,1,0.0,0.0,0.0,0.0,,14.8,242.28862990213992,false
1,80,03:45,1,0.0,0.0,0.0,0.0,,14.8,242.74223990789642,false
1,81,04:00,1,0.0,0.0,0.0,0.0,,14.8,243.19584991365292,false
1,82,04:15,1,0.0,0.0,0.0,0.0,,14.8,243.64945991940942,false
1,83,04:30,1,0.0,0.0,0.0,0.0,,14.8,244.10306992516593,false
1,84,04:45,1,0.0,0.0,0.0,0.0,,14.8,244.55667993092243,false
1,85,05:00,1,0.0,0.0,0.0,0.0,,14.8,245.01028993667893,false
1,86,05:15,1,0.0,0.0,0.0,0.0,,14.8,245.46389994243543,false
1,87,05:30,1,0.0,0.0,0.0,0.0,,14.8,245.91750994819193,false
1,88,05:45,1,0.0,0.0,0.0,0.0,,14.8,246.37111995394844,false
1,89,06:00,1,0.0,0.0,0.0,0.0,,14.8,246.82472995970457,false
1,90,06:15,1,0.0,0.0,0.0,0.0,,14.8,247.27833996546107,false
1,91,06:30,1,0.0,0.0,0.0,0.0,,14.8,247.7319499712175,false
1,92,06:45,1,0.0,0.0,0.0,0.0,,14.8,248.185559976974,false
1,93,07:00,1,0.0,0.0,0.0,0.0,,14.8,248.6391699827305,false
1,94,07:15,1,0.0,0.0,0.0,0.0,,14.8,249.092779988487,false
1,95,07:30,1,0.0,0.0,0.0,0.0,,14.8,249.5463899942435,false
1,96,07:45,1,0.0,0.0,0.0,0.0,,14.8,250.0,false
