Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.3659,Digging,Traveling,0.0,0.0,4.7809,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.6773,Digging,Idle,0.0,0.0,4.2582,Digging,Idle,0.0
3,08:30,8.0,2.0,0.0,Charging,Serving CEV,-1.616484723854228e-13,-4.04121180963557e-14,4.7425,Digging,Idle,-2.0000000000000404
4,08:45,0.0,2.0,4.9634,Digging,Idle,1.0658141036401503e-13,-1.3766765505351941e-14,4.8905,Digging,Idle,-2.0000000000000138
5,09:00,0.0,2.0,4.5629,Digging,Idle,8.0,1.9999999999999862,1.3131,Charging,Serving CEV,-1.3766765505351941e-14
6,09:15,0.0,2.0,4.2765,Traveling,Idle,0.0,1.9999999999999862,4.5506,Traveling,Idle,-1.3766765505351941e-14
7,09:30,8.0,4.0,0.1325,Charging,Serving CEV,8.000000000000096,4.000000000000011,0.0,Charging,Serving CEV,1.0658141036401503e-14
8,09:45,7.999999999999972,5.999999999999993,0.061,Charging,Serving CEV,8.0,6.000000000000011,0.0,Charging,Serving CEV,1.7763568394002505e-14
9,10:00,0.0,5.999999999999993,4.7653,Digging,Idle,0.0,6.000000000000011,4.78,Digging,Traveling,1.7763568394002505e-14
10,10:15,0.0,5.999999999999993,4.7843,Digging,Idle,0.0,6.000000000000011,4.78,Digging,Charging (grid),1.7763568394002505e-14
11,10:30,0.0,5.999999999999993,4.7809,Digging,Idle,0.0,6.000000000000011,3.4361,Loading/Swinging,Charging (grid),1.7763568394002505e-14
12,10:45,8.0,7.999999999999993,0.0,Charging,Serving CEV,0.0,6.000000000000011,4.7425,Digging,Charging (grid),-1.9999999999999822
13,11:00,0.0,7.999999999999993,5.1226,Digging,Idle,0.0,6.000000000000011,0.7188,Idle,Charging (grid),-1.9999999999999822
14,11:15,0.0,7.999999999999993,5.3364,Traveling,Idle,0.0,6.000000000000011,6.1076,Traveling,Charging (grid),-1.9999999999999822
15,11:30,0.0,7.999999999999993,4.2907,Digging,Idle,0.0,6.000000000000011,4.7809,Digging,Charging (grid),-1.9999999999999822
16,11:45,0.0,7.999999999999993,4.2582,Digging,Idle,0.0,6.000000000000011,4.9634,Digging,Charging (grid),-1.9999999999999822
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,0.0,6.000000000000011,0.0,,Charging (grid),-3.9999999999999822
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,0.0,6.000000000000011,0.0,,Charging (grid),-5.999999999999982
19,12:30,0.0,11.999999999999993,0.0,,Traveling,0.0,6.000000000000011,0.0,,Charging (grid),-5.999999999999982
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,6.000000000000011,0.0,,Charging (grid),-5.999999999999982
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,6.000000000000011,0.0,,Charging (grid),-5.999999999999982
22,13:15,0.0,11.999999999999993,0.0,,Charging (grid),0.0,6.000000000000011,0.0,,Traveling,-5.999999999999982
23,13:30,0.0,11.999999999999993,0.0,,Charging (grid),6.353473684210498,7.588368421052635,0.0,Charging,Serving CEV,-4.4116315789473575
24,13:45,0.0,11.999999999999993,0.0,,Charging (grid),7.6656066481994465,9.504770083102496,0.0,Charging,Serving CEV,-2.4952299168974967
25,14:00,0.0,11.999999999999993,4.78,Digging,Charging (grid),0.0,9.504770083102496,4.6773,Digging,Idle,-2.4952299168974967
26,14:15,0.0,11.999999999999993,4.78,Digging,Charging (grid),0.0,9.504770083102496,2.2047,Loading/Swinging,Idle,-2.4952299168974967
27,14:30,0.0,11.999999999999993,5.3956,Traveling,Charging (grid),6.4711785974631875,11.122564732468293,0.1325,Charging,Serving CEV,-0.8774352675317001
28,14:45,0.0,11.999999999999993,3.7658,Loading/Swinging,Charging (grid),0.0,11.122564732468293,4.5117,Traveling,Idle,-0.8774352675317001
29,15:00,0.0,11.999999999999993,0.0,Idle,Charging (grid),0.0,11.122564732468293,2.4016,Loading/Swinging,Idle,-0.8774352675317001
30,15:15,0.0,11.999999999999993,2.4016,Loading/Swinging,Charging (grid),0.0,11.122564732468293,4.8544,Digging,Idle,-0.8774352675317001
31,15:30,0.0,11.999999999999993,2.2701,Loading/Swinging,Charging (grid),0.0,11.122564732468293,2.8,Loading/Swinging,Idle,-0.8774352675317001
32,15:45,0.0,11.999999999999993,3.4361,Loading/Swinging,Charging (grid),6.480885336975619,12.742786066712197,0.0,Charging,Serving CEV,0.7427860667122044
33,16:00,0.0,11.999999999999993,4.617,Traveling,Traveling,0.0,12.742786066712197,3.7992,Loading/Swinging,Idle,0.7427860667122044
34,16:15,8.0,13.999999999999993,0.0,Charging,Serving CEV,0.0,12.742786066712197,5.3956,Traveling,Idle,-1.2572139332877956
35,16:30,0.0,13.999999999999993,2.9903,Loading/Swinging,Idle,0.0,12.742786066712197,4.2582,Digging,Idle,-1.2572139332877956
36,16:45,0.0,13.999999999999993,3.0004,Loading/Swinging,Idle,0.0,12.742786066712197,4.3319,Loading/Swinging,Idle,-1.2572139332877956
37,17:00,5.799411961722543,15.449852990430628,0.0,Charging,Serving CEV,1.727427087527592,13.174642838594096,0.0,Charging,Serving CEV,-2.275210151836532
38,17:15,0.0,15.449852990430628,0.0,,Idle,8.0,15.174642838594096,0.0,Charging,Serving CEV,-0.2752101518365322
39,17:30,0.0,15.449852990430628,0.0,,Idle,8.0,17.174642838594096,0.0,Charging,Serving CEV,1.7247898481634678
40,17:45,8.0,17.449852990430628,0.0,Charging,Serving CEV,8.0,19.174642838594096,0.0,Charging,Serving CEV,1.7247898481634678
41,18:00,8.0,19.449852990430628,0.0,Charging,Serving CEV,6.645924890130134,20.83612406112663,0.0,Charging,Serving CEV,1.3862710706960009
42,18:15,8.0,21.449852990430628,0.0,Charging,Serving CEV,8.0,22.83612406112663,0.0,Charging,Serving CEV,1.3862710706960009
43,18:30,8.0,23.449852990430628,0.0,Charging,Serving CEV,7.229161847887888,24.643414523098603,0.0,Charging,Serving CEV,1.1935615326679745
44,18:45,8.0,25.449852990430628,0.0,Charging,Serving CEV,0.0,24.643414523098603,0.0,,Traveling,-0.8064384673320255
45,19:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
46,19:15,0.0,25.449852990430628,0.0,,Traveling,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
47,19:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
48,19:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
49,20:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
50,20:15,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
51,20:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
52,20:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
53,21:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
54,21:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
55,21:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
56,21:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
57,22:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
58,22:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
59,22:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
60,22:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
61,23:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
62,23:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
63,23:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
64,23:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Idle,-0.8064384673320255
65,00:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
66,00:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
67,00:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
68,00:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.643414523098603,0.0,,Charging (grid),-0.8064384673320255
