Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.74935,13.677025
3,14.8,12.482025
4,13.49755,11.1473
5,12.162825,9.805824999999999
6,14.03635,11.477549999999999
7,13.16555,13.360325
8,12.096425,14.8
9,14.081175,13.637925000000001
10,13.030525,12.44185
11,11.8236,11.369175
12,10.355450000000001,10.619075
13,11.950398684210537,12.501850000000001
14,10.736798684210537,11.306625
15,9.572823684210537,10.1636
16,8.238098684210536,8.822125
17,6.8778236842105365,7.626049999999999
18,8.877823684210536,9.62605
19,10.877823684210536,11.448321940149656
20,12.877823684210536,11.448321940149656
21,12.877823684210536,11.448321940149656
22,12.877823684210536,11.448321940149656
23,12.877823684210536,11.448321940149656
24,12.877823684210536,11.448321940149656
25,12.877823684210536,11.448321940149656
26,11.794848684210537,10.241396940149656
27,10.326698684210537,9.690221940149655
28,9.175048684210537,8.512846940149656
29,8.005723684210537,7.305921940149656
30,8.005723684210537,7.305921940149656
31,6.764873684210537,6.364471940149656
32,6.119973684210537,5.5052469401496555
33,5.269123684210537,4.937721940149656
34,4.141198684210536,3.7856469401496557
35,5.453384279778392,5.7236219401496555
36,4.111909279778392,4.973521940149656
37,3.3111592797783924,3.782196940149656
38,3.404675827380085,5.782196940149656
39,5.399753903822102,7.782196940149656
40,7.29474979453568,9.782196940149657
41,9.19501316870865,11.782196940149657
42,11.19501316870865,13.782196940149655
43,13.19501316870865,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
