Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,5.328569885385958,Digging,Traveling,0.0,0.0,5.328569885385958,Digging,Traveling,0.0
2,08:15,4.7432314583010164,1.1858078645752541,0.0,Charging,Serving CEV,0.0,0.0,5.378490118906024,Digging,Idle,-1.1858078645752541
3,08:30,0.0,1.1858078645752541,5.378490118906024,Digging,Idle,0.0,0.0,5.278549842661512,Digging,Idle,-1.1858078645752541
4,08:45,0.0,1.1858078645752541,5.278549842661512,Digging,Idle,0.0,0.0,5.258147622549963,Digging,Idle,-1.1858078645752541
5,09:00,8.000000000008018,3.1858078645772587,0.0,Charging,Serving CEV,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,-1.185807864577259
6,09:15,0.0,3.1858078645772587,3.5729865471146276,Loading/Swinging,Idle,8.0,4.0,0.0,Charging,Serving CEV,0.8141921354227413
7,09:30,0.0,3.1858078645772587,5.506560554013657,Traveling,Idle,5.519744704740481,5.3799361761851205,0.0,Charging,Serving CEV,2.194128311607862
8,09:45,7.99999999999999,5.1858078645772565,0.0,Charging,Serving CEV,0.0,5.3799361761851205,5.506560554013657,Traveling,Traveling,0.19412831160786403
9,10:00,0.0,5.1858078645772565,3.7007499442306773,Loading/Swinging,Traveling,0.0,5.3799361761851205,5.278709701279284,Digging,Charging (grid),0.19412831160786403
10,10:15,0.0,5.1858078645772565,5.258147622549963,Digging,Charging (grid),0.0,5.3799361761851205,5.265874015638951,Digging,Charging (grid),0.19412831160786403
11,10:30,0.0,5.1858078645772565,5.278709701279284,Digging,Charging (grid),0.0,5.3799361761851205,5.208376182518275,Digging,Charging (grid),0.19412831160786403
12,10:45,0.0,5.1858078645772565,5.265874015638951,Digging,Charging (grid),0.0,5.3799361761851205,0.0,Idle,Charging (grid),0.19412831160786403
13,11:00,0.0,5.1858078645772565,0.0,Idle,Charging (grid),0.0,5.3799361761851205,5.2920586347139835,Digging,Charging (grid),0.19412831160786403
14,11:15,0.0,5.1858078645772565,5.716584457594605,Traveling,Charging (grid),0.0,5.3799361761851205,5.716584457594605,Traveling,Charging (grid),0.19412831160786403
15,11:30,0.0,5.1858078645772565,5.208376182518275,Digging,Charging (grid),0.0,5.3799361761851205,3.5729865471146276,Loading/Swinging,Charging (grid),0.19412831160786403
16,11:45,0.0,5.1858078645772565,5.2920586347139835,Digging,Charging (grid),0.0,5.3799361761851205,5.218623882839006,Digging,Charging (grid),0.19412831160786403
17,12:00,0.0,5.1858078645772565,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160786403
18,12:15,0.0,5.1858078645772565,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160786403
19,12:30,0.0,5.1858078645772565,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160786403
20,12:45,0.0,5.1858078645772565,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160786403
21,13:00,0.0,5.1858078645772565,0.0,,Traveling,0.0,5.3799361761851205,0.0,,Traveling,0.19412831160786403
22,13:15,5.5442379455773505,6.571867350971594,0.0,Charging,Serving CEV,8.0,7.3799361761851205,0.0,Charging,Serving CEV,0.8080688252135264
23,13:30,7.708198002864352,8.498916851687682,0.0,Charging,Serving CEV,8.0,9.37993617618512,0.0,Charging,Serving CEV,0.8810193244974389
24,13:45,7.594305368270301,10.397493193755256,0.0,Charging,Serving CEV,8.0,11.37993617618512,0.0,Charging,Serving CEV,0.9824429824298644
25,14:00,0.0,10.397493193755256,5.218623882839006,Digging,Idle,0.0,11.37993617618512,5.244114316883,Digging,Idle,0.9824429824298644
26,14:15,0.0,10.397493193755256,3.5937026025518977,Loading/Swinging,Idle,0.0,11.37993617618512,5.4437960883034835,Digging,Idle,0.9824429824298644
27,14:30,8.0,12.397493193755256,0.0,Charging,Serving CEV,0.0,11.37993617618512,5.729408881847093,Traveling,Idle,-1.0175570175701356
28,14:45,0.0,12.397493193755256,5.729408881847093,Traveling,Idle,0.0,11.37993617618512,5.265931432668581,Digging,Idle,-1.0175570175701356
29,15:00,0.0,12.397493193755256,5.244114316883,Digging,Idle,8.0,13.37993617618512,0.0,Charging,Serving CEV,0.9824429824298644
30,15:15,0.0,12.397493193755256,3.6093911736113498,Loading/Swinging,Idle,0.0,13.37993617618512,3.7007499442306773,Loading/Swinging,Idle,0.9824429824298644
31,15:30,5.063921672967195,13.663473611997055,0.0,Charging,Serving CEV,0.0,13.37993617618512,3.5937026025518977,Loading/Swinging,Idle,-0.2835374358119349
32,15:45,7.733477806685936,15.59684306366854,0.0,Charging,Serving CEV,6.361439164354328,14.970295967273703,0.0,Charging,Serving CEV,-0.6265470963948374
33,16:00,0.0,15.59684306366854,3.62932391761613,Loading/Swinging,Idle,0.0,14.970295967273703,3.6093911736113498,Loading/Swinging,Idle,-0.6265470963948374
34,16:15,0.0,15.59684306366854,5.4437960883034835,Digging,Idle,0.0,14.970295967273703,5.678089638792849,Traveling,Idle,-0.6265470963948374
35,16:30,0.0,15.59684306366854,5.678089638792849,Traveling,Idle,0.0,14.970295967273703,3.62932391761613,Loading/Swinging,Idle,-0.6265470963948374
