Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.485707205832945,13.485707205832945
3,12.169994458031438,14.687462778640757
4,14.169994458031438,13.37175003083925
5,12.852093706410617,12.05384927921843
6,11.541214918254196,14.053849279218353
7,13.541214918254196,12.742970491061932
8,14.585951760359483,14.742970491061337
9,13.211005577511939,13.368024308213792
10,12.327381398213761,12.061646258337365
11,11.021003348337334,10.715779365917408
12,9.675136455917377,9.389845255790817
13,11.675136455917377,11.389845255790817
14,10.349202345790786,10.048897563580352
15,8.960694973210266,8.660390190999832
16,7.619747280999802,7.322152027501018
17,6.281509117500988,5.992474135237899
18,8.281509117500988,7.992474135237917
19,10.281509117500988,9.146922413934838
20,10.281509117500988,11.146922413934838
21,10.281509117500988,11.146922413934838
22,10.281509117500988,11.146922413934838
23,10.281509117500988,11.146922413934838
24,10.281509117500988,11.146922413934838
25,10.281509117500988,11.146922413934838
26,8.95183122523787,10.263298234636661
27,7.640811893491083,9.380011545791278
28,6.260553718353156,7.999753370653352
29,4.9403085538255915,6.688734038906565
30,4.9403085538255915,6.688734038906565
31,4.057021864980209,5.784002223052539
32,3.152290049126183,4.873604082257823
33,2.96,3.5533589177302582
34,2.96,5.462639004329987
35,4.959999999999993,7.362150578719476
36,4.06759461499127,5.986569727477196
37,3.1813987369540153,5.094164342468473
38,3.1813987369540153,7.094164342468473
39,3.1813987369540153,9.094164342468474
40,3.1813987369540153,9.100307139870083
41,3.1813987369540153,11.09998383474368
42,3.1813987369540153,13.09998383474368
43,3.1813987369540153,14.8
44,3.1813987369540153,14.8
45,5.181398736954016,14.8
46,7.181398736954016,14.8
47,7.181398736954016,14.8
48,9.181398736954016,14.8
49,11.181398736954016,14.8
50,11.2161355790593,14.8
51,13.2161355790593,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
