Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.257171176668226,Digging,Traveling,0.0,0.0,5.257171176668226,Digging,Traveling,0.0,0.0,5.257171176668226,Digging,Idle,0.0,0.0
2,08:15,0.0,0.0,5.262850991206029,Digging,Idle,4.807022291231248,1.201755572807812,0.0,Charging,Serving CEV,0.0,0.0,5.262850991206029,Digging,Traveling,1.201755572807812,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,0.0,1.201755572807812,5.262850991206029,Digging,Idle,-8.952838470577262e-13,-2.2382096176443156e-13,5.271603006483285,Digging,Idle,-0.7982444271921878,-2.000000000000224
4,08:45,0.0,1.9999999999999998,5.271603006483285,Digging,Idle,0.0,1.201755572807812,5.271603006483285,Digging,Idle,8.0,1.9999999999997762,0.0,Charging,Serving CEV,-0.7982444271921878,-2.2359891715950653e-13
5,09:00,0.0,1.9999999999999998,5.243515152625685,Digging,Idle,7.999999999999697,3.2017555728077363,0.0,Charging,Serving CEV,0.0,1.9999999999997762,5.243515152625685,Digging,Idle,1.2017555728077365,-2.2359891715950653e-13
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.2017555728077363,5.243515152625685,Digging,Idle,8.0,3.999999999999776,0.0,Charging,Serving CEV,-0.7982444271922637,-2.2382096176443156e-13
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,7.999999999997618,5.201755572807141,0.0,Charging,Serving CEV,0.0,3.999999999999776,5.49978473139018,Traveling,Idle,0.15701873070185357,-1.044736842105511
8,09:45,0.0,5.044736842105287,5.49978473139018,Traveling,Idle,0.0,5.201755572807141,5.49978473139018,Traveling,Idle,8.0,5.999999999999776,0.0,Charging,Serving CEV,0.15701873070185357,0.955263157894489
9,10:00,0.0,5.044736842105287,3.5344967171927126,Loading/Swinging,Idle,0.0,5.201755572807141,5.2255121995057054,Digging,Idle,0.0,5.999999999999776,5.2255121995057054,Digging,Idle,0.15701873070185357,0.955263157894489
10,10:15,0.0,5.044736842105287,5.2255121995057054,Digging,Idle,0.0,5.201755572807141,5.383467569679832,Digging,Idle,0.0,5.999999999999776,5.383467569679832,Digging,Idle,0.15701873070185357,0.955263157894489
11,10:30,0.0,5.044736842105287,5.383467569679832,Digging,Idle,0.0,5.201755572807141,5.303736440506365,Digging,Idle,0.0,5.999999999999776,5.303736440506365,Digging,Idle,0.15701873070185357,0.955263157894489
