Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.3278288233317745,Digging,Traveling,0.0,0.0,4.3278288233317745,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.322149008793972,Digging,Idle,0.0,0.0,2.782703282807287,Loading/Swinging,Idle,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,0.0,0.0,4.322149008793972,Digging,Idle,-1.9999999999999998
4,08:45,0.0,1.9999999999999998,4.313396993516716,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,2.220446049250313e-16
5,09:00,0.0,1.9999999999999998,4.341484847374316,Digging,Idle,0.0,2.0,4.313396993516716,Digging,Idle,2.220446049250313e-16
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,2.0,3.9204152686098195,Traveling,Idle,-2.0
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,7.999999999997994,3.999999999999498,0.0,Charging,Serving CEV,-1.044736842105789
8,09:45,0.0,5.044736842105287,3.9204152686098195,Traveling,Idle,0.0,3.999999999999498,4.341484847374316,Digging,Idle,-1.044736842105789
9,10:00,0.0,5.044736842105287,2.782703282807287,Loading/Swinging,Idle,8.0,5.999999999999498,0.0,Charging,Serving CEV,0.955263157894211
10,10:15,0.0,5.044736842105287,4.359487800494295,Digging,Idle,0.0,5.999999999999498,2.784053244618469,Loading/Swinging,Idle,0.955263157894211
11,10:30,0.0,5.044736842105287,4.201532430320169,Digging,Idle,0.0,5.999999999999498,4.359487800494295,Digging,Idle,0.955263157894211
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,7.527915020577627,7.881978755143905,0.0,Charging,Serving CEV,0.8372419130386177
13,11:00,0.0,7.044736842105287,4.2812635594936355,Digging,Idle,0.0,7.881978755143905,4.201532430320169,Digging,Traveling,0.8372419130386177
14,11:15,0.0,7.044736842105287,3.86617050967792,Traveling,Idle,0.0,7.881978755143905,3.86617050967792,Traveling,Charging (grid),0.8372419130386177
15,11:30,0.0,7.044736842105287,4.221209231158144,Digging,Idle,0.0,7.881978755143905,4.2812635594936355,Digging,Charging (grid),0.8372419130386177
16,11:45,0.0,7.044736842105287,4.232047346004744,Digging,Idle,0.0,7.881978755143905,4.221209231158144,Digging,Charging (grid),0.8372419130386177
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,0.0,7.881978755143905,0.0,,Charging (grid),-1.1627580869613823
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
23,13:30,0.0,11.044736842105287,0.0,,Charging (grid),0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
24,13:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,7.881978755143905,0.0,,Charging (grid),-3.1627580869613823
25,14:00,0.0,11.044736842105287,4.266288430947524,Digging,Charging (grid),0.0,7.881978755143905,4.232047346004744,Digging,Charging (grid),-3.1627580869613823
26,14:15,0.0,11.044736842105287,4.340922673012855,Digging,Charging (grid),0.0,7.881978755143905,4.266288430947524,Digging,Charging (grid),-3.1627580869613823
27,14:30,0.0,11.044736842105287,3.8991672994482913,Traveling,Charging (grid),0.0,7.881978755143905,3.8991672994482913,Traveling,Charging (grid),-3.1627580869613823
28,14:45,0.0,11.044736842105287,4.304019341889742,Digging,Charging (grid),0.0,7.881978755143905,4.340922673012855,Digging,Traveling,-3.1627580869613823
29,15:00,0.0,11.044736842105287,0.0,Idle,Charging (grid),2.363791031645564,8.472926513055295,0.0,Charging,Serving CEV,-2.571810329049992
30,15:15,0.0,11.044736842105287,2.784053244618469,Loading/Swinging,Charging (grid),0.0,8.472926513055295,4.304019341889742,Digging,Idle,-2.571810329049992
31,15:30,0.0,11.044736842105287,2.698272736583895,Loading/Swinging,Charging (grid),0.0,8.472926513055295,2.698272736583895,Loading/Swinging,Idle,-2.571810329049992
32,15:45,0.0,11.044736842105287,2.6756074368211356,Loading/Swinging,Charging (grid),6.876844765148795,10.192137704342494,0.0,Charging,Serving CEV,-0.8525991377627928
33,16:00,0.0,11.044736842105287,3.9178765950308803,Traveling,Traveling,0.0,10.192137704342494,2.6756074368211356,Loading/Swinging,Idle,-0.8525991377627928
34,16:15,7.999999999999972,13.04473684210528,0.0,Charging,Serving CEV,0.0,10.192137704342494,3.9178765950308803,Traveling,Idle,-2.8525991377627857
35,16:30,0.0,13.04473684210528,2.7475784599651094,Loading/Swinging,Idle,0.0,10.192137704342494,2.7475784599651094,Loading/Swinging,Idle,-2.8525991377627857
36,16:45,0.0,13.04473684210528,2.7724164878509807,Loading/Swinging,Idle,0.0,10.192137704342494,2.7724164878509807,Loading/Swinging,Idle,-2.8525991377627857
37,17:00,0.0,13.04473684210528,0.0,,Idle,8.0,12.192137704342494,0.0,Charging,Serving CEV,-0.8525991377627857
