Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.718042794167058,13.718042794167058
3,12.637505541968565,12.637505541968565
4,14.637505541968565,14.637505541968565
5,13.559156293589385,13.559156293589385
6,12.473785081745806,12.473785081745806
7,14.473785081745806,11.49368126459335
8,14.8,10.403809314469777
9,13.819896182847545,12.403809314469777
10,13.124220362145723,11.353426206889734
11,12.03434841202215,10.283110317016325
12,10.983965304442107,12.283110317016325
13,12.983965304442107,14.283110317016325
14,11.913649414568697,13.22780800922679
15,10.947106787149217,12.26126538180731
16,9.891804479359681,11.203253545306124
17,8.833792642858496,10.136681437569242
18,10.833792642858496,10.136681437569242
19,12.833792642858496,10.136681437569242
20,12.833792642858496,10.136681437569242
21,12.833792642858496,10.136681437569242
22,12.833792642858496,10.136681437569242
23,12.833792642858496,10.136681437569242
24,12.833792642858496,10.136681437569242
25,12.833792642858496,10.136681437569242
26,11.767220535121615,9.44100561686742
27,10.6819898668684,8.355774948614206
28,9.707198042006327,7.3809831237521335
29,8.631193206533892,6.684969812597516
30,8.631193206533892,8.684969812597515
31,7.9351798953792745,8.010401628451541
32,7.260611711233301,6.934396792979106
33,6.591709852028017,6.265494933773822
34,5.612240703270297,8.265494933773823
35,7.61224070327029,7.286025785016103
36,6.925346088279013,6.599131170024826
37,6.232241966316268,5.9060270480620805
38,6.232241966316268,7.9060270480620805
39,6.232241966316268,9.90602704806208
40,6.232241966316268,11.90602704806208
41,6.232241966316268,13.90602704806208
42,6.232241966316268,14.8
43,6.232241966316268,14.8
44,6.232241966316268,14.8
45,8.232241966316268,14.8
46,10.232241966316268,14.8
47,10.232241966316268,14.8
48,12.232241966316268,14.8
49,14.232241966316268,14.8
50,14.266978808421552,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
