Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.3278288233317745,Digging,Traveling,0.0,0.0,4.3278288233317745,Digging,Idle,0.0
2,08:15,0.0,0.0,2.782703282807287,Loading/Swinging,Idle,0.0,0.0,4.322149008793972,Digging,Traveling,0.0
3,08:30,0.0,0.0,4.322149008793972,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,2.0
4,08:45,8.0,2.0,0.0,Charging,Serving CEV,0.0,2.0,4.313396993516716,Digging,Idle,0.0
5,09:00,0.0,2.0,4.313396993516716,Digging,Idle,0.0,2.0,4.341484847374316,Digging,Idle,0.0
6,09:15,0.0,2.0,3.9204152686098195,Traveling,Idle,0.0,2.0,3.9204152686098195,Traveling,Idle,0.0
7,09:30,7.999999999997994,3.999999999999498,0.0,Charging,Serving CEV,0.0,2.0,4.359487800494295,Digging,Idle,-1.9999999999994982
8,09:45,0.0,3.999999999999498,4.341484847374316,Digging,Idle,8.0,4.0,0.0,Charging,Serving CEV,5.018208071305708e-13
9,10:00,8.0,5.999999999999498,0.0,Charging,Serving CEV,0.0,4.0,4.201532430320169,Digging,Idle,-1.9999999999994982
10,10:15,0.0,5.999999999999498,2.784053244618469,Loading/Swinging,Idle,0.0,4.0,4.2812635594936355,Digging,Idle,-1.9999999999994982
11,10:30,0.0,5.999999999999498,4.359487800494295,Digging,Idle,8.0,6.0,0.0,Charging,Serving CEV,5.018208071305708e-13
12,10:45,7.527915020577627,7.881978755143905,0.0,Charging,Serving CEV,8.0,8.0,0.0,Charging,Serving CEV,0.11802124485609511
13,11:00,0.0,7.881978755143905,4.201532430320169,Digging,Traveling,0.0,8.0,4.221209231158144,Digging,Traveling,0.11802124485609511
14,11:15,0.0,7.881978755143905,3.86617050967792,Traveling,Charging (grid),0.0,8.0,3.86617050967792,Traveling,Charging (grid),0.11802124485609511
15,11:30,0.0,7.881978755143905,4.2812635594936355,Digging,Charging (grid),0.0,8.0,4.232047346004744,Digging,Charging (grid),0.11802124485609511
16,11:45,0.0,7.881978755143905,4.221209231158144,Digging,Charging (grid),0.0,8.0,4.266288430947524,Digging,Charging (grid),0.11802124485609511
17,12:00,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
18,12:15,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
19,12:30,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
20,12:45,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
21,13:00,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
22,13:15,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
23,13:30,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
24,13:45,0.0,7.881978755143905,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),0.11802124485609511
25,14:00,0.0,7.881978755143905,4.232047346004744,Digging,Charging (grid),0.0,8.0,2.782703282807287,Loading/Swinging,Charging (grid),0.11802124485609511
