Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.8947368421053,250.0
6,247.8947368421053,247.89473684210523
7,245.78947368421055,247.89473684210523
8,244.68975069252076,247.89473684210523
9,244.68975069252076,247.8947368421033
10,244.68975069252076,245.78947368420856
11,244.68975069252076,243.68421052631382
12,244.68975069252076,243.68421052631382
13,242.58448753462602,241.57894736841908
14,242.58448753462602,241.57894736841908
15,242.58448753462602,242.00569551383276
16,242.58448753462602,242.44350720170243
17,242.58448753462602,242.8813188895721
18,240.47922437673128,243.31913057744177
19,238.37396121883654,243.75694226531144
20,238.37396121883654,244.1947539531811
21,238.83710939398355,244.63256564105077
22,239.30025756913057,245.07037732892044
23,239.76340574427758,245.5081890167901
24,240.2265539194246,245.5081890167901
25,240.6897020945716,243.40292585889537
26,241.1528502697186,243.40292585889537
27,241.61599844486562,243.40292585889537
28,242.07914662001264,243.40292585889537
29,242.54229479515965,243.40292585889537
30,243.00544297030666,241.29766270100063
31,243.46859114545367,241.29766270100063
32,243.93173932060068,241.29766270100063
33,244.3948874957477,241.29766270100063
34,244.3948874957477,241.29766270100063
35,242.28962433785296,239.1923995431059
36,242.28962433785296,239.1923995431059
37,242.28962433785296,239.1923995431059
38,242.28962433785296,237.08713638521115
39,242.28962433785296,234.9818732273164
40,242.28962433785296,232.87661006942167
41,242.28962433785296,230.77134691152693
42,242.28962433785296,228.83976082065138
43,242.28962433785296,228.83976082065138
44,242.28962433785296,228.83976082065138
45,240.18436117995822,228.83976082065138
46,238.07909802206348,228.83976082065138
47,238.07909802206348,228.83976082065138
48,235.97383486416874,228.83976082065138
49,233.868571706274,228.83976082065138
50,233.83200660932107,228.83976082065138
51,231.72674345142633,228.83976082065138
52,229.6214802935316,228.83976082065138
53,229.6214802935316,228.83976082065138
54,230.0846284686786,229.32067534745477
55,230.5477766438256,229.80158987425816
56,231.01092481897263,230.28250440106154
57,231.47407299411964,230.76341892786493
58,231.93722116926665,231.24433345466832
59,232.40036934441366,231.7252479814717
60,232.86351751956067,232.2061625082751
61,233.32666569470769,232.6870770350785
62,233.7898138698547,233.16799156188188
63,234.2529620450017,233.64890608868527
64,234.71611022014872,234.12982061548865
65,235.17925839529573,234.6107351422919
66,235.64240657044274,235.0916496690953
67,236.10555474558976,235.57256419589868
68,236.56870292073677,236.05347872270207
69,237.03185109588378,236.53439324950546
70,237.4949992710308,237.01530777630884
71,237.9581474461778,237.49622230311223
72,238.42129562132482,237.97713682991562
73,238.88444379647183,238.458051356719
74,239.34759197161884,238.9389658835224
75,239.81074014676585,239.4198804103258
76,240.27388832191286,239.90079493712918
77,240.73703649705988,240.38170946393257
78,241.2001846722069,240.86262399073595
79,241.6633328473539,241.34353851753934
80,242.1264810225009,241.82445304434273
81,242.58962919764792,242.30536757114612
82,243.05277737279494,242.7862820979495
83,243.51592554794195,243.2671966247529
84,243.97907372308896,243.7481111515563
85,244.44222189823597,244.22902567835968
86,244.90537007338298,244.70994020516306
87,245.36851824853,245.19085473196645
88,245.831666423677,245.67176925876984
89,246.29481459882402,246.15268378557323
90,246.75796277397103,246.63359831237636
91,247.22111094911804,247.11451283917972
92,247.68425912426505,247.5954273659831
93,248.14740729941207,248.07634189278644
94,248.61055547455908,248.55725641958983
95,249.0737036497061,249.03817094639322
96,249.536851824853,249.5190854731966
97,250.0,250.0
