Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.64905909968863,13.64905909968863
3,12.472403174625416,12.472403174625416
4,14.472403174625416,11.211319279501426
5,13.211319279501373,10.023249426956326
6,12.023249426956273,12.023249426956324
7,14.023249426956273,14.023249426956324
8,14.8,12.865796758521814
9,13.64254733156549,11.670689701805474
10,12.877652069266967,10.506172575666737
11,11.682545012550626,12.506172575666737
12,10.518027886413282,11.307068213199152
13,12.518027886413282,10.096222046714292
14,11.318923523945697,12.096222046714292
15,10.164880636033882,10.942179158802476
16,8.954034469549022,9.72829966270418
17,7.740154973450725,8.542775930664144
18,9.740154973450725,10.542775930664144
19,11.740154973450725,12.542775930664144
20,11.740154973450725,12.542775930664144
21,11.740154973450725,12.542775930664144
22,11.740154973450725,12.542775930664144
23,11.740154973450725,12.542775930664144
24,11.740154973450725,12.542775930664144
25,11.740154973450725,12.542775930664144
26,10.55463124141069,11.77788066836562
27,9.332597446109824,10.555846873064755
28,8.082773404211064,9.306022831165995
29,6.910148422388059,8.51074324906438
30,6.910148422388059,8.51074324906438
31,6.114868840286443,7.3381182672413745
32,5.3306435759873905,6.553893002942322
33,4.522420663075202,5.745670090030134
34,3.285322083955271,4.508571510910203
35,5.285322083955264,6.508571510910203
36,4.477963917001493,5.701213343956432
37,3.6680420765532324,4.891291503508171
38,3.6680420765532324,5.321510973499571
39,3.6680420765532324,7.298867843500024
40,3.6680420765532324,9.298867843500023
41,3.6680420765532324,11.089533271394737
42,3.6680420765532324,12.995287722558173
43,3.6680420765532324,14.8
44,3.6680420765532324,14.8
45,5.668042076553233,14.8
46,7.668042076553233,14.8
47,7.668042076553233,14.8
48,9.668042076553233,14.8
49,11.668042076553233,14.8
50,11.702778918658517,14.8
51,13.702778918658517,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
