Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.0,250.0
4,247.89473684210526,249.99999999999994,250.0
5,247.8947368421053,249.99999999999994,250.0
6,247.8947368421053,247.8947368421052,247.89473684210526
7,245.78947368421055,245.78947368421046,245.78947368421052
8,244.68975069252076,245.78947368421046,245.78947368421052
9,244.68975069252076,245.78947368421046,243.68421052631578
10,244.68975069252076,245.78947368421194,243.68421052631578
11,244.68975069252076,243.6842105263172,243.68421052631578
12,244.68975069252076,243.6842105263172,243.68421052631578
13,242.58448753462602,243.6842105263172,241.57894736842104
14,242.58448753462602,241.57894736842246,241.57894736842104
15,242.58448753462602,241.57894736842246,242.0071636707966
16,242.58448753462602,241.57894736842246,242.43684403414792
17,242.58448753462602,241.57894736842246,242.86806302508052
18,240.47922437673128,239.47368421052772,243.2992820160131
19,238.37396121883654,237.36842105263298,243.7305010069457
20,238.37396121883654,237.36842105263298,244.16337221596223
21,238.83710939398355,237.8183685487565,244.59624342497875
22,239.30025756913057,238.26831604488,245.02911463399533
23,239.76340574427758,238.71826354100352,245.46198584301192
24,240.2265539194246,239.16821103712704,245.46198584301192
25,240.6897020945716,239.61815853325055,243.35672268511718
26,241.1528502697186,240.06810602937406,243.35672268511718
27,241.61599844486562,240.51805352549758,243.35672268511718
28,242.07914662001264,240.9680010216211,243.35672268511718
29,242.54229479515965,241.4195642812021,243.35672268511718
30,243.00544297030666,241.87125749420187,241.25145952722244
31,243.46859114545367,242.32295070720164,241.25145952722244
32,243.93173932060068,242.7746439202014,241.25145952722244
33,244.3948874957477,243.22633713320118,239.1461963693277
34,244.3948874957477,243.22633713320118,239.1461963693277
35,242.28962433785296,241.12107397530644,239.1461963693277
36,242.28962433785296,241.12107397530644,239.1461963693277
37,242.28962433785296,241.12107397530644,239.1461963693277
38,242.28962433785296,240.6682113753155,237.04093321143296
39,242.28962433785296,238.5867830911045,234.93567005353822
40,242.28962433785296,236.48151993320977,232.83040689564348
41,242.28962433785296,234.5966089564785,230.72514373774874
42,242.28962433785296,232.59055163946434,228.619880579854
43,242.28962433785296,230.59087044562298,228.619880579854
44,242.28962433785296,230.59087044562298,228.619880579854
45,240.18436117995822,230.59087044562298,228.619880579854
46,238.07909802206348,230.59087044562298,228.619880579854
47,238.07909802206348,230.59087044562298,228.619880579854
48,235.97383486416874,230.59087044562298,228.619880579854
49,233.868571706274,230.59087044562298,228.619880579854
50,233.83200660932107,230.59087044562298,228.619880579854
51,231.72674345142633,230.59087044562298,228.619880579854
52,229.6214802935316,230.59087044562298,228.619880579854
53,229.6214802935316,230.59087044562298,228.619880579854
54,230.0846284686786,231.04256365862275,229.10579238485732
55,230.5477766438256,231.49425687162253,229.59170418986065
56,231.01092481897263,231.9459500846223,230.07761599486398
57,231.47407299411964,232.39764329762207,230.5635277998673
58,231.93722116926665,232.84933651062184,231.04943960487063
59,232.40036934441366,233.3010297236216,231.53535140987395
60,232.86351751956067,233.75272293662138,232.02126321487728
61,233.32666569470769,234.20441614962115,232.5071750198806
62,233.7898138698547,234.6424307580073,232.99308682488393
63,234.2529620450017,235.09412397100706,233.47899862988726
64,234.71611022014872,235.54581718400686,233.96491043489058
65,235.17925839529573,235.54581718400686,234.4508222398938
66,235.64240657044274,235.99751039700666,234.93673404489712
67,236.10555474558976,236.44920361000646,235.42264584990045
68,236.56870292073677,236.90089682300626,235.90855765490377
69,237.03185109588378,237.35259003600606,236.3944694599071
70,237.4949992710308,237.80428324900586,236.88038126491043
71,237.9581474461778,238.25597646200566,237.36629306991375
72,238.42129562132482,238.70766967500546,237.85220487491708
73,238.88444379647183,239.15936288800526,238.3381166799204
74,239.34759197161884,239.61105610100506,238.82402848492373
75,239.81074014676585,240.06274931400486,239.30994028992706
76,240.27388832191286,240.51444252700466,239.79585209493038
77,240.73703649705988,240.96613574000446,240.2817638999337
78,241.2001846722069,241.41782895300426,240.76767570493703
79,241.6633328473539,241.86952216600406,241.25358750994036
80,242.1264810225009,242.32121537900386,241.73949931494369
81,242.58962919764792,242.77290859200366,242.225411119947
82,243.05277737279494,243.22460180500346,242.71132292495034
83,243.51592554794195,243.67629501800326,243.19723472995366
84,243.97907372308896,244.12798823100306,243.683146534957
85,244.44222189823597,244.57968144400286,244.16905833996032
86,244.90537007338298,245.03137465700266,244.65497014496364
87,245.36851824853,245.48306787000246,245.14088194996697
88,245.831666423677,245.93476108300226,245.6267937549703
89,246.29481459882402,246.38645429600206,246.11270555997362
90,246.75796277397103,246.8381475090014,246.59861736497677
91,247.22111094911804,247.2898407220012,247.0845291699801
92,247.68425912426505,247.741533935001,247.5704409749834
93,248.14740729941207,248.1932271480008,248.05635277998672
94,248.61055547455908,248.6449203610006,248.54226458499002
95,249.0737036497061,249.0966135740004,249.02817638999335
96,249.536851824853,249.5483067870002,249.51408819499667
97,250.0,250.0,250.0
