Time_Period,Clock,Site_2_A0_kW,Site_2_A2S_kW
1,08:00,4.603763601245482,4.603763601245482
2,08:15,4.7066237002528535,4.7066237002528535
3,08:30,0.0,5.044335580496177
4,08:45,5.044335580496177,4.752279410180398
5,09:00,4.752279410180398,0.0
6,09:15,0.0,0.0
7,09:30,0.0,4.629810673738044
8,09:45,4.629810673738044,0.0
9,10:00,3.059581049194092,4.7804282268653635
10,10:15,4.7804282268653635,4.658068504549374
11,10:30,4.658068504549374,4.796417449870341
12,10:45,0.0,0.0
13,11:00,4.796417449870341,4.843384665939441
14,11:15,4.61617155164726,4.61617155164726
15,11:30,4.843384665939441,4.85551798439319
16,11:45,4.85551798439319,4.742094928160141
17,12:00,0.0,0.0
18,12:15,0.0,0.0
19,12:30,0.0,0.0
20,12:45,0.0,0.0
21,13:00,0.0,0.0
22,13:15,0.0,0.0
23,13:30,0.0,0.0
24,13:45,0.0,0.0
25,14:00,4.742094928160141,4.888135181203461
26,14:15,4.888135181203461,3.059581049194092
27,14:30,4.999296167595042,4.999296167595042
28,14:45,4.69049992729202,3.1811183284064657
29,15:00,0.0,0.0
30,15:15,3.1811183284064657,3.1369010571962073
31,15:30,3.1369010571962073,4.69049992729202
32,15:45,3.2328916516487545,0.0
33,16:00,4.948394316479724,3.2328916516487545
34,16:15,0.0,4.948394316479724
35,16:30,3.2294326678150833,3.2294326678150833
36,16:45,3.239687361793044,3.239687361793044
37,17:00,0.0,0.0
38,17:15,0.0,0.0
39,17:30,0.0,0.0
40,17:45,0.0,0.0
41,18:00,0.0,0.0
42,18:15,0.0,0.0
43,18:30,0.0,0.0
44,18:45,0.0,0.0
45,19:00,0.0,0.0
46,19:15,0.0,0.0
47,19:30,0.0,0.0
48,19:45,0.0,0.0
49,20:00,0.0,0.0
50,20:15,0.0,0.0
51,20:30,0.0,0.0
52,20:45,0.0,0.0
53,21:00,0.0,0.0
54,21:15,0.0,0.0
55,21:30,0.0,0.0
56,21:45,0.0,0.0
57,22:00,0.0,0.0
58,22:15,0.0,0.0
59,22:30,0.0,0.0
60,22:45,0.0,0.0
61,23:00,0.0,0.0
62,23:15,0.0,0.0
63,23:30,0.0,0.0
64,23:45,0.0,0.0
65,00:00,0.0,0.0
66,00:15,0.0,0.0
67,00:30,0.0,0.0
68,00:45,0.0,0.0
69,01:00,0.0,0.0
70,01:15,0.0,0.0
71,01:30,0.0,0.0
72,01:45,0.0,0.0
73,02:00,0.0,0.0
74,02:15,0.0,0.0
75,02:30,0.0,0.0
76,02:45,0.0,0.0
77,03:00,0.0,0.0
78,03:15,0.0,0.0
79,03:30,0.0,0.0
80,03:45,0.0,0.0
81,04:00,0.0,0.0
82,04:15,0.0,0.0
83,04:30,0.0,0.0
84,04:45,0.0,0.0
85,05:00,0.0,0.0
86,05:15,0.0,0.0
87,05:30,0.0,0.0
88,05:45,0.0,0.0
89,06:00,0.0,0.0
90,06:15,0.0,0.0
91,06:30,0.0,0.0
92,06:45,0.0,0.0
93,07:00,0.0,0.0
94,07:15,0.0,0.0
95,07:30,0.0,0.0
96,07:45,0.0,0.0
