Time_Period,Clock,Site_2_A0_kW,Site_2_A1S_kW
1,08:00,4.899042353336453,4.899042353336453
2,08:15,4.910401982412056,4.910401982412056
3,08:30,0.0,4.927906012966569
4,08:45,4.927906012966569,0.0
5,09:00,4.713269694748631,0.0
6,09:15,0.0,4.713269694748631
7,09:30,0.0,4.678730537219639
8,09:45,4.678730537219639,0.0
9,10:00,3.175993434385425,4.8357243990114105
10,10:15,4.8357243990114105,5.151635139359664
11,10:30,5.151635139359664,4.5928271189872705
12,10:45,0.0,0.0
13,11:00,4.5928271189872705,4.472718462316289
14,11:15,4.570241019355841,4.570241019355841
15,11:30,4.472718462316289,5.090605307990513
16,11:45,5.090605307990513,4.562876861895047
17,12:00,0.0,0.0
18,12:15,0.0,0.0
19,12:30,0.0,0.0
20,12:45,0.0,0.0
21,13:00,0.0,0.0
22,13:15,0.0,0.0
23,13:30,0.0,0.0
24,13:45,0.0,0.0
25,14:00,4.562876861895047,3.175993434385425
26,14:15,4.71214534602571,3.1732935107630613
27,14:30,4.7839654011034165,4.7839654011034165
28,14:45,4.638338683779483,2.97234547316779
29,15:00,0.0,0.0
30,15:15,3.1732935107630613,4.71214534602571
31,15:30,2.97234547316779,4.638338683779483
32,15:45,2.9270148736422716,2.9270148736422716
33,16:00,4.673653190061761,4.673653190061761
34,16:15,0.0,0.0
35,16:30,3.2462430800697804,3.2462430800697804
36,16:45,3.120632975701961,3.120632975701961
37,17:00,0.0,0.0
38,17:15,0.0,0.0
39,17:30,0.0,0.0
40,17:45,0.0,0.0
41,18:00,0.0,0.0
42,18:15,0.0,0.0
43,18:30,0.0,0.0
44,18:45,0.0,0.0
45,19:00,0.0,0.0
46,19:15,0.0,0.0
47,19:30,0.0,0.0
48,19:45,0.0,0.0
49,20:00,0.0,0.0
50,20:15,0.0,0.0
51,20:30,0.0,0.0
52,20:45,0.0,0.0
53,21:00,0.0,0.0
54,21:15,0.0,0.0
55,21:30,0.0,0.0
56,21:45,0.0,0.0
57,22:00,0.0,0.0
58,22:15,0.0,0.0
59,22:30,0.0,0.0
60,22:45,0.0,0.0
61,23:00,0.0,0.0
62,23:15,0.0,0.0
63,23:30,0.0,0.0
64,23:45,0.0,0.0
65,00:00,0.0,0.0
66,00:15,0.0,0.0
67,00:30,0.0,0.0
68,00:45,0.0,0.0
69,01:00,0.0,0.0
70,01:15,0.0,0.0
71,01:30,0.0,0.0
72,01:45,0.0,0.0
73,02:00,0.0,0.0
74,02:15,0.0,0.0
75,02:30,0.0,0.0
76,02:45,0.0,0.0
77,03:00,0.0,0.0
78,03:15,0.0,0.0
79,03:30,0.0,0.0
80,03:45,0.0,0.0
81,04:00,0.0,0.0
82,04:15,0.0,0.0
83,04:30,0.0,0.0
84,04:45,0.0,0.0
85,05:00,0.0,0.0
86,05:15,0.0,0.0
87,05:30,0.0,0.0
88,05:45,0.0,0.0
89,06:00,0.0,0.0
90,06:15,0.0,0.0
91,06:30,0.0,0.0
92,06:45,0.0,0.0
93,07:00,0.0,0.0
94,07:15,0.0,0.0
95,07:30,0.0,0.0
96,07:45,0.0,0.0
