Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.69624319937726,13.69624319937726
3,12.541056349250834,12.541056349250834
4,11.217013559002707,11.217013558997524
5,10.038998853912508,13.217013558997524
6,12.038998853912508,12.038998853907325
7,10.901618517043486,14.038998853907867
8,12.901618517043486,12.901618517038845
9,14.8,14.8
10,13.60791088656732,13.60791088656732
11,12.477001634292632,12.477001634292632
12,11.276917909357461,11.276917909357461
13,10.053350576387741,10.053350576387741
14,10.053350576387741,10.053350576387741
15,8.92278980056411,8.92278980056411
16,7.693155808367516,7.693155808367516
17,6.520233344287446,6.520233344287446
18,6.520233344287446,6.520233344287446
19,6.520233344287446,6.520233344287446
20,6.520233344287446,6.520233344287446
21,6.520233344287446,6.520233344287446
22,6.520233344287446,6.520233344287446
23,6.520233344287446,6.520233344287446
24,7.224408771353292,8.520233344287446
25,9.18734690677088,10.29640425229394
26,7.94140431616915,9.050461661692209
27,6.79427935252314,8.310321137095162
28,8.687616876182993,6.988198053297641
29,7.365493792385472,6.1872888890944076
30,6.625353267788426,8.187288889094408
31,5.824444103585193,7.408488360496304
32,5.045643574987089,6.581692534671927
33,7.045643574987089,5.434567571025917
34,6.218847749162712,4.1378954127860545
35,4.9221755909228495,6.1378954127860545
36,4.097109257015308,5.312829078878513
37,3.2669155761187865,4.4826353979819915
38,3.4070044433621685,6.4826353979819915
39,5.407004443362169,8.48263539798199
40,7.407004443362169,10.48263539798199
41,9.18910502929673,12.48263539798199
42,11.18910502929673,14.48263539798199
43,13.18910502929673,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
