Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.415027202490963,Digging,Traveling,0.0,0.0,4.415027202490963,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.620747400505706,Digging,Idle,0.0,0.0,4.620747400505706,Digging,Idle,0.0
3,08:30,-1.5631940186722204e-13,-3.907985046680551e-14,5.296171160992352,Digging,Idle,-2.0889956431346945e-11,-5.222489107836736e-12,5.296171160992352,Digging,Idle,-5.183409257369931e-12
4,08:45,0.0,-3.907985046680551e-14,4.712058820360794,Digging,Idle,8.0,1.9999999999947775,0.0,Charging,Serving CEV,1.9999999999948166
5,09:00,8.0,1.999999999999961,0.0,Charging,Serving CEV,0.0,1.9999999999947775,4.712058820360794,Digging,Idle,-5.183409257369931e-12
6,09:15,0.0,1.999999999999961,4.549521347476088,Traveling,Idle,8.00000000000217,3.99999999999532,0.0,Charging,Serving CEV,1.9999999999953593
7,09:30,8.000000000000002,3.9999999999999614,0.0,Charging,Serving CEV,0.0,3.99999999999532,4.549521347476088,Traveling,Idle,-4.641176332143004e-12
8,09:45,7.993185191395943,5.998296297848947,0.0,Charging,Serving CEV,7.993185191415429,5.998296297849177,0.0,Charging,Serving CEV,2.3003821070233244e-13
9,10:00,0.0,5.998296297848947,4.7683564537307275,Digging,Traveling,0.0,5.998296297849177,4.7683564537307275,Digging,Traveling,2.3003821070233244e-13
10,10:15,0.0,5.998296297848947,4.523637009098747,Digging,Charging (grid),0.0,5.998296297849177,4.523637009098747,Digging,Charging (grid),2.3003821070233244e-13
11,10:30,0.0,5.998296297848947,4.800334899740681,Digging,Charging (grid),0.0,5.998296297849177,4.800334899740681,Digging,Charging (grid),2.3003821070233244e-13
12,10:45,0.0,5.998296297848947,4.89426933187888,Digging,Charging (grid),0.0,5.998296297849177,4.89426933187888,Digging,Charging (grid),2.3003821070233244e-13
13,11:00,0.0,5.998296297848947,0.0,Idle,Charging (grid),0.0,5.998296297849177,0.0,Idle,Charging (grid),2.3003821070233244e-13
14,11:15,0.0,5.998296297848947,4.52224310329452,Traveling,Charging (grid),0.0,5.998296297849177,4.52224310329452,Traveling,Charging (grid),2.3003821070233244e-13
15,11:30,0.0,5.998296297848947,4.91853596878638,Digging,Charging (grid),0.0,5.998296297849177,4.91853596878638,Digging,Charging (grid),2.3003821070233244e-13
16,11:45,0.0,5.998296297848947,4.6916898563202825,Digging,Charging (grid),0.0,5.998296297849177,4.6916898563202825,Digging,Charging (grid),2.3003821070233244e-13
17,12:00,0.0,5.998296297848947,0.0,,Charging (grid),0.0,5.998296297849177,0.0,,Charging (grid),2.3003821070233244e-13
18,12:15,0.0,5.998296297848947,0.0,,Charging (grid),0.0,5.998296297849177,0.0,,Charging (grid),2.3003821070233244e-13
19,12:30,0.0,5.998296297848947,0.0,,Charging (grid),0.0,5.998296297849177,0.0,,Charging (grid),2.3003821070233244e-13
20,12:45,0.0,5.998296297848947,0.0,,Charging (grid),0.0,5.998296297849177,0.0,,Charging (grid),2.3003821070233244e-13
21,13:00,0.0,5.998296297848947,0.0,,Charging (grid),0.0,5.998296297849177,0.0,,Charging (grid),2.3003821070233244e-13
22,13:15,0.0,5.998296297848947,0.0,,Traveling,0.0,5.998296297849177,0.0,,Traveling,2.3003821070233244e-13
23,13:30,2.8167017082633845,6.702471724914793,0.0,Charging,Serving CEV,8.0,7.998296297849177,0.0,Charging,Serving CEV,1.295824572934384
24,13:45,7.851752541670352,8.665409860332382,0.0,Charging,Serving CEV,7.1046836320259725,9.77446720585567,0.0,Charging,Serving CEV,1.1090573455232882
25,14:00,0.0,8.665409860332382,4.983770362406921,Digging,Idle,0.0,9.77446720585567,4.983770362406921,Digging,Idle,1.1090573455232882
26,14:15,0.0,8.665409860332382,4.58849985458404,Digging,Idle,0.0,9.77446720585567,2.960562098388184,Loading/Swinging,Idle,1.1090573455232882
27,14:30,7.573350094639415,10.558747383992236,0.0,Charging,Serving CEV,0.0,9.77446720585567,5.288492335190083,Traveling,Idle,-0.7842801781365658
28,14:45,0.0,10.558747383992236,5.288492335190083,Traveling,Idle,0.0,9.77446720585567,3.203636656812932,Loading/Swinging,Idle,-0.7842801781365658
