Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.46785752865351,13.46785752865351,13.46785752865351
3,12.123234998927005,14.653665393228765,12.123234998927005
4,14.123234998927005,13.30904286350226,10.803597538261627
5,12.803597538261627,11.989405402836882,9.489060632624136
6,11.489060632624136,13.989405402838887,11.489060632624136
7,13.489060632624136,13.067288047570548,13.489060632624136
8,14.533797474729424,11.660846592865395,14.8
9,13.127356020023976,13.660846592865395,13.393558545294553
10,12.205238664755637,12.346309687227905,12.073881119974732
11,10.885561239435816,11.026632261908084,10.757412616064995
12,9.569092735526079,9.710163757998346,9.455318570435427
13,11.569092735526079,8.408069712368778,9.455318570435427
14,10.26699868989651,8.408069712368778,8.132303911756932
15,8.845937698347687,6.987008720819954,6.711242920208107
16,7.522923039669191,5.663994062141459,5.406586949498356
17,6.21826706895944,4.359338091431708,4.095558370277606
18,8.21826706895944,4.359338091431708,4.095558370277606
19,10.21826706895944,4.359338091431708,4.095558370277606
20,10.21826706895944,4.359338091431708,4.095558370277606
21,10.21826706895944,4.359338091431708,4.095558370277606
22,10.21826706895944,4.359338091431708,4.095558370277606
23,10.21826706895944,5.768113784661488,6.095558370277606
24,10.21826706895944,7.693967695544134,8.095558370277606
25,10.21826706895944,9.592606963392416,10.095558370277606
26,8.90723848973869,8.281578384171667,8.734609348201735
27,7.546289467662819,6.920629362095796,7.8124919929333965
28,6.123300315532505,8.647782665152853,6.3895028408030825
29,4.80681745736536,7.224793513022538,5.0730199826359375
30,4.80681745736536,6.318439987347324,7.0730199826359375
31,3.9004639316901457,7.8107400006659295,6.166666456960723
32,3.001951743615174,6.912227812590958,5.268154268885751
33,2.96,6.948277483547844,6.882173450042723
34,2.96,6.037653323015097,5.971549289509976
35,4.959999999999993,5.151306833046563,4.57564791023392
36,4.073653510031459,3.755405453770507,3.689301420265387
37,3.18904434565672,2.96,5.689301420265387
38,3.18904434565672,3.4231578947368417,7.689301420265387
39,3.18904434565672,5.423157894736842,9.689301420265387
40,3.18904434565672,7.293518005540166,11.689301420265387
41,3.18904434565672,9.293518005540166,13.689301420265387
42,3.18904434565672,11.089814841813677,14.8
43,3.18904434565672,13.089814841813677,14.8
44,3.18904434565672,14.8,14.8
45,5.18904434565672,14.8,14.8
46,7.18904434565672,14.8,14.8
47,7.18904434565672,14.8,14.8
48,9.18904434565672,14.8,14.8
49,11.18904434565672,14.8,14.8
50,11.223781187762004,14.8,14.8
51,13.223781187762004,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
