Time_Period,Clock,A1S_Charging_kW,A1S_Discharging_kW,A2S_Charging_kW,A2S_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0
2,08:15,0.0,4.7432314583010164,0.0,0.0
3,08:30,0.0,0.0,0.0,0.0
4,08:45,0.0,0.0,0.0,0.0
5,09:00,0.0,8.000000000008018,0.0,7.999999999999999
6,09:15,0.0,0.0,0.0,8.0
7,09:30,0.0,1.1794483848997576e-12,0.0,5.519744704740481
8,09:45,0.0,8.0,0.0,0.0
9,10:00,0.0,0.0,1.855559086979677,0.0
10,10:15,2.0736472294977175,0.0,1.9126500266399915,0.0
11,10:30,2.08414891587417,0.0,1.4166371687408694,0.0
12,10:45,2.095127701308341,0.0,1.9384726573881812,0.0
13,11:00,2.1061517356233956,0.0,1.9464656916943435,0.0
14,11:15,1.9882039854629678,0.0,1.9662472473032888,0.0
15,11:30,1.977038829396188,0.0,2.016683260020489,0.0
16,11:45,2.145216603306414,0.0,2.0301846137011137,0.0
17,12:00,2.1565122833774684,0.0,2.0443287041525084,0.0
18,12:15,2.045118130905529,0.0,2.0443287041525084,0.0
19,12:30,2.156512283377233,0.0,2.0460929670090007,0.0
20,12:45,2.1565122833776753,0.0,2.0460929670090007,0.0
21,13:00,0.0,0.0,0.0,0.0
22,13:15,0.0,5.635102772919123,0.0,8.0
23,13:30,0.0,7.703415643530582,0.0,8.0
24,13:45,0.0,7.594557071393126,0.0,8.0
25,14:00,0.0,0.0,0.0,0.0
26,14:15,0.0,0.0,0.0,0.0
27,14:30,0.0,6.908613212228227,0.0,0.0
28,14:45,0.0,0.0,0.0,0.0
29,15:00,0.0,0.0,0.0,8.0
30,15:15,0.0,5.969200053274425,0.0,0.0
31,15:30,0.0,0.0,0.0,0.0
32,15:45,0.0,0.14419868382754425,0.0,6.456076724627889
33,16:00,0.0,0.0,0.0,0.0
34,16:15,0.0,0.0,0.0,0.0
35,16:30,0.0,0.0,0.0,0.0
36,16:45,0.0,0.0,0.0,8.0
37,17:00,0.0,1.8526315789473664,0.0,8.0
38,17:15,0.0,8.0,0.0,8.0
39,17:30,0.0,7.481440443213299,0.0,8.0
40,17:45,0.0,8.0,0.0,8.0
41,18:00,0.0,7.1851873450940404,0.0,4.676625598882583
42,18:15,0.0,8.0,0.0,0.0
43,18:30,0.0,7.2007796134161,0.0,0.0
44,18:45,0.0,0.0,-0.0,0.0
