Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.917169885385958,Digging,Traveling,0.0,0.0,4.917169885385958,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.967090118906024,Digging,Idle,5.175968300406273,1.2939920751015683,0.0,Charging,Serving CEV,1.2939920751015683
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,0.0,1.2939920751015683,4.967090118906024,Digging,Idle,-0.7060079248984314
4,08:45,0.0,1.9999999999999998,4.8671498426615125,Digging,Idle,0.0,1.2939920751015683,4.8671498426615125,Digging,Idle,-0.7060079248984314
5,09:00,0.0,1.9999999999999998,4.846747622549963,Digging,Idle,0.0,1.2939920751015683,4.846747622549963,Digging,Idle,-0.7060079248984314
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,1.2939920751015683,4.568434181178208,Traveling,Idle,-2.7060079248984317
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,8.0,3.2939920751015683,0.0,Charging,Serving CEV,-1.7507447670037188
8,09:45,0.0,5.044736842105287,4.568434181178208,Traveling,Idle,7.999999999999712,5.293992075101496,0.0,Charging,Serving CEV,0.24925523299620878
9,10:00,0.0,5.044736842105287,3.3212694210733544,Loading/Swinging,Idle,0.0,5.293992075101496,4.717690298720717,Digging,Traveling,0.24925523299620878
10,10:15,0.0,5.044736842105287,4.717690298720717,Digging,Idle,0.0,5.293992075101496,4.7305259843610505,Digging,Charging (grid),0.24925523299620878
11,10:30,0.0,5.044736842105287,4.7305259843610505,Digging,Idle,0.0,5.293992075101496,4.788023817481726,Digging,Charging (grid),0.24925523299620878
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,0.0,5.293992075101496,4.880658634713983,Digging,Charging (grid),-1.7507447670037912
13,11:00,0.0,7.044736842105287,4.788023817481726,Digging,Idle,0.0,5.293992075101496,0.0,Idle,Charging (grid),-1.7507447670037912
14,11:15,0.0,7.044736842105287,4.910243966195298,Traveling,Idle,0.0,5.293992075101496,4.910243966195298,Traveling,Charging (grid),-1.7507447670037912
15,11:30,0.0,7.044736842105287,4.880658634713983,Digging,Idle,0.0,5.293992075101496,3.3212694210733544,Loading/Swinging,Charging (grid),-1.7507447670037912
16,11:45,0.0,7.044736842105287,4.777776117160995,Digging,Idle,0.0,5.293992075101496,4.777776117160995,Digging,Charging (grid),-1.7507447670037912
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,0.0,5.293992075101496,0.0,,Charging (grid),-3.7507447670037912
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,0.0,5.293992075101496,0.0,,Charging (grid),-5.750744767003791
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,5.293992075101496,0.0,,Charging (grid),-5.750744767003791
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.293992075101496,0.0,,Charging (grid),-5.750744767003791
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.293992075101496,0.0,,Charging (grid),-5.750744767003791
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.293992075101496,0.0,,Traveling,-5.750744767003791
