Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.57070752865351,13.57070752865351
3,12.328934998927005,12.328934998927005
4,14.328934998927005,11.112147538261627
5,13.112147538261627,9.900460632624137
6,11.900460632624137,11.900460632624155
7,13.900460632624137,10.758352087329602
8,14.8,9.578929512649422
9,13.65789145470545,11.578929512649422
10,12.827574099437111,13.578929512649422
11,11.648151524756932,12.39629801655916
12,10.465520028666669,11.199292062188729
13,12.465520028666669,9.979127403510233
14,11.268514074296238,11.97912740351039
15,10.040953082747414,10.751566411961566
16,8.820788424068919,9.557122382671317
17,7.62634439477867,8.369050961892066
18,9.62634439477867,10.237932797625515
19,11.62634439477867,11.608942377423194
20,11.62634439477867,11.608942377423194
21,11.62634439477867,11.608942377423194
22,11.62634439477867,11.608942377423194
23,11.62634439477867,11.608942377423194
24,11.62634439477867,11.608942377423194
25,11.62634439477867,11.608942377423194
26,10.43827297399942,10.470791399499065
27,9.30012199607529,9.640474044230727
28,8.070632843944976,8.410984892100412
29,6.888015702112121,7.596431366425198
30,6.888015702112121,7.596431366425198
31,6.073462176436906,6.789719178350226
32,5.266749988361934,5.607102036517371
33,4.506274148894681,4.846626197050117
34,3.353625528170737,3.6939775763261733
35,5.3536255281707295,5.693977576326173
36,4.568872018139263,4.909224066294707
37,3.782381182514002,4.1227332306694455
38,3.782381182514002,6.1227332306694455
39,3.782381182514002,8.122733230669446
40,3.782381182514002,10.122733230669446
41,3.782381182514002,12.122733230669446
42,3.782381182514002,14.122733230669446
43,3.782381182514002,14.8
44,3.782381182514002,14.8
45,5.782381182514002,14.8
46,7.782381182514002,14.8
47,7.782381182514002,14.8
48,9.782381182514001,14.8
49,11.782381182514001,14.8
50,11.817118024619285,14.8
51,13.817118024619285,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
98,13.636179374415523,13.636179374415523
99,12.464403401943528,12.464403401943528
100,14.464403401943528,11.246293832686993
101,13.246293832686993,10.034996655069046
102,12.034996655069046,12.034996655069046
103,10.860357405381219,14.034996655069046
104,12.860357405381219,12.860357405381219
105,14.8,14.8
