Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,248.79464272277852
4,247.89473684210526,248.79464272277846
5,247.8947368421053,248.79464272277846
6,247.8947368421053,246.74692470603026
7,245.78947368421055,246.74692470603026
8,244.68975069252076,245.07472835646738
9,244.68975069252076,245.07472835646738
10,244.68975069252076,245.07472835646738
11,244.68975069252076,245.07472835646738
12,244.68975069252076,245.07472835646738
13,242.58448753462602,242.96946519857264
14,242.58448753462602,242.96946519857264
15,242.58448753462602,242.96946519857264
16,242.58448753462602,242.96946519857264
17,242.58448753462602,242.96946519857264
18,240.47922437673128,240.8642020406779
19,238.37396121883654,238.75893888278316
20,238.37396121883654,238.75893888278316
21,238.83710939398355,239.21847056446458
22,239.30025756913057,239.678002246146
23,239.76340574427758,240.13753392782743
24,240.2265539194246,240.59706560950886
25,240.6897020945716,241.0565972911903
26,241.1528502697186,241.5161289728717
27,241.61599844486562,241.97640204559437
28,242.07914662001264,242.43667511831703
29,242.54229479515965,242.89797888770303
30,243.00544297030666,243.35928265708904
31,243.46859114545367,243.82058642647505
32,243.93173932060068,244.28189019586105
33,244.3948874957477,244.74319396524706
34,244.3948874957477,244.74319396524706
35,242.28962433785296,242.63793080735232
36,242.28962433785296,242.63793080735232
37,242.28962433785296,242.63793080735232
38,242.28962433785296,240.53266764945758
39,242.28962433785296,238.42740449156284
40,242.28962433785296,236.6215227094379
41,242.28962433785296,234.6113059611287
42,242.28962433785296,232.50604280323395
43,242.28962433785296,230.6173838509289
44,242.28962433785296,230.6173838509289
45,240.18436117995822,230.6173838509289
46,238.07909802206348,230.6173838509289
47,238.07909802206348,230.6173838509289
48,235.97383486416874,230.6173838509289
49,233.868571706274,230.6173838509289
50,233.83200660932107,230.6173838509289
51,231.72674345142633,230.6173838509289
52,229.6214802935316,230.6173838509289
53,229.6214802935316,230.6173838509289
54,230.0846284686786,231.0786876203149
55,230.5477766438256,231.5399913897009
56,231.01092481897263,232.0012951590869
57,231.47407299411964,232.46259892847291
58,231.93722116926665,232.92390269785892
59,232.40036934441366,233.38520646724493
60,232.86351751956067,233.84651023663093
61,233.32666569470769,234.30781400601694
62,233.7898138698547,234.31567184087604
63,234.2529620450017,234.77697561026204
64,234.71611022014872,235.23827937964802
65,235.17925839529573,235.23827937964802
66,235.64240657044274,235.69958314903403
67,236.10555474558976,236.16088691842003
