Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.458525000000002,13.604775
3,12.289200000000001,12.540225
4,14.289200000000001,11.354599999999959
5,13.048350000000001,10.131974999999985
6,11.907625000000001,11.803699999999985
7,10.838500000000002,10.666049999999984
8,12.805375000000002,12.66605000000001
9,14.790124999999994,14.66605000000001
10,13.598799999999994,13.471050000000009
11,12.402724999999993,12.276050000000009
12,11.207499999999992,11.417025000000008
13,13.207499999999992,10.231400000000008
14,11.926849999999993,10.051700000000007
15,10.592749999999993,8.524800000000008
16,9.520074999999993,7.329575000000008
17,8.455524999999993,6.088725000000008
18,10.455524999999993,6.088725000000008
19,12.455524999999993,6.088725000000008
20,12.455524999999993,6.088725000000008
21,12.455524999999993,6.088725000000008
22,12.455524999999993,6.088725000000008
23,12.455524999999993,6.088725000000008
24,12.455524999999993,7.677093421052633
25,12.455524999999993,9.593495083102495
26,11.260524999999992,8.424170083102494
27,10.065524999999992,7.872995083102494
28,8.716624999999992,9.457664732468292
29,7.775174999999992,8.329739732468292
30,7.775174999999992,7.729339732468292
31,7.1747749999999915,6.515739732468292
32,6.607249999999992,5.815739732468292
33,5.748224999999992,7.4359610667121965
34,4.5939749999999915,6.486161066712197
35,6.5939749999999915,5.137261066712197
36,5.846399999999991,4.072711066712197
37,5.096299999999991,2.9897360667121964
38,6.5461529904306275,3.4215928385940946
39,6.5461529904306275,5.421592838594094
40,6.5461529904306275,7.421592838594094
41,8.546152990430627,9.421592838594094
42,10.546152990430627,11.083074061126627
43,12.546152990430627,13.083074061126627
44,14.546152990430627,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
