Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.328569885385958,Digging,Traveling,0.0,0.0,5.328569885385958,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.378490118906024,Digging,Idle,4.7432314583010164,1.1858078645752541,0.0,Charging,Serving CEV,1.1858078645752541
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,0.0,1.1858078645752541,5.378490118906024,Digging,Idle,-0.8141921354247457
4,08:45,0.0,1.9999999999999998,5.278549842661512,Digging,Idle,0.0,1.1858078645752541,5.278549842661512,Digging,Idle,-0.8141921354247457
5,09:00,0.0,1.9999999999999998,5.258147622549963,Digging,Idle,8.000000000008018,3.1858078645772587,0.0,Charging,Serving CEV,1.185807864577259
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.1858078645772587,3.5729865471146276,Loading/Swinging,Idle,-0.8141921354227413
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,0.0,3.1858078645772587,5.506560554013657,Traveling,Idle,-1.8589289775280284
8,09:45,0.0,5.044736842105287,5.506560554013657,Traveling,Idle,7.99999999999999,5.1858078645772565,0.0,Charging,Serving CEV,0.14107102247196934
9,10:00,0.0,5.044736842105287,3.5729865471146276,Loading/Swinging,Idle,0.0,5.1858078645772565,3.7007499442306773,Loading/Swinging,Traveling,0.14107102247196934
10,10:15,0.0,5.044736842105287,5.278709701279284,Digging,Idle,0.0,5.1858078645772565,5.258147622549963,Digging,Charging (grid),0.14107102247196934
11,10:30,0.0,5.044736842105287,5.265874015638951,Digging,Idle,0.0,5.1858078645772565,5.278709701279284,Digging,Charging (grid),0.14107102247196934
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,0.0,5.1858078645772565,5.265874015638951,Digging,Charging (grid),-1.8589289775280307
13,11:00,0.0,7.044736842105287,5.208376182518275,Digging,Idle,0.0,5.1858078645772565,0.0,Idle,Charging (grid),-1.8589289775280307
14,11:15,0.0,7.044736842105287,5.716584457594605,Traveling,Idle,0.0,5.1858078645772565,5.716584457594605,Traveling,Charging (grid),-1.8589289775280307
15,11:30,0.0,7.044736842105287,5.2920586347139835,Digging,Idle,0.0,5.1858078645772565,5.208376182518275,Digging,Charging (grid),-1.8589289775280307
16,11:45,0.0,7.044736842105287,5.218623882839006,Digging,Idle,0.0,5.1858078645772565,5.2920586347139835,Digging,Charging (grid),-1.8589289775280307
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,0.0,5.1858078645772565,0.0,,Charging (grid),-3.8589289775280307
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,0.0,5.1858078645772565,0.0,,Charging (grid),-5.858928977528031
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,5.1858078645772565,0.0,,Charging (grid),-5.858928977528031
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.1858078645772565,0.0,,Charging (grid),-5.858928977528031
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.1858078645772565,0.0,,Traveling,-5.858928977528031
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),5.5442379455773505,6.571867350971594,0.0,Charging,Serving CEV,-4.472869491133693
23,13:30,0.0,11.044736842105287,0.0,,Charging (grid),7.708198002864352,8.498916851687682,0.0,Charging,Serving CEV,-2.5458199904176055
24,13:45,0.0,11.044736842105287,0.0,,Charging (grid),7.594305368270301,10.397493193755256,0.0,Charging,Serving CEV,-0.647243648350031
25,14:00,0.0,11.044736842105287,5.244114316883,Digging,Charging (grid),0.0,10.397493193755256,5.218623882839006,Digging,Idle,-0.647243648350031
26,14:15,0.0,11.044736842105287,5.4437960883034835,Digging,Charging (grid),0.0,10.397493193755256,3.5937026025518977,Loading/Swinging,Idle,-0.647243648350031
27,14:30,0.0,11.044736842105287,5.729408881847093,Traveling,Charging (grid),8.0,12.397493193755256,0.0,Charging,Serving CEV,1.352756351649969
28,14:45,0.0,11.044736842105287,5.265931432668581,Digging,Charging (grid),0.0,12.397493193755256,5.729408881847093,Traveling,Idle,1.352756351649969
29,15:00,0.0,11.044736842105287,0.0,Idle,Charging (grid),0.0,12.397493193755256,5.244114316883,Digging,Idle,1.352756351649969
30,15:15,0.0,11.044736842105287,3.7007499442306773,Loading/Swinging,Charging (grid),0.0,12.397493193755256,3.6093911736113498,Loading/Swinging,Idle,1.352756351649969
31,15:30,0.0,11.044736842105287,3.5937026025518977,Loading/Swinging,Charging (grid),5.063921672967195,13.663473611997055,0.0,Charging,Serving CEV,2.6187367698917683
32,15:45,0.0,11.044736842105287,3.6093911736113498,Loading/Swinging,Charging (grid),7.733477806685936,15.59684306366854,0.0,Charging,Serving CEV,4.552106221563253
33,16:00,0.0,11.044736842105287,5.678089638792849,Traveling,Traveling,0.0,15.59684306366854,3.62932391761613,Loading/Swinging,Idle,4.552106221563253
34,16:15,7.999999999999972,13.04473684210528,0.0,Charging,Serving CEV,0.0,15.59684306366854,5.4437960883034835,Digging,Idle,2.5521062215632604
35,16:30,0.0,13.04473684210528,3.62932391761613,Loading/Swinging,Idle,0.0,15.59684306366854,5.678089638792849,Traveling,Idle,2.5521062215632604
36,16:45,0.0,13.04473684210528,3.540093402693751,Loading/Swinging,Idle,0.0,15.59684306366854,3.540093402693751,Loading/Swinging,Idle,2.5521062215632604
37,17:00,0.0,13.04473684210528,0.0,,Idle,2.194557007444129,16.145482315529573,0.0,Charging,Serving CEV,3.1007454734242934
38,17:15,0.0,13.04473684210528,0.0,,Idle,7.884496999608203,18.116606565431624,0.0,Charging,Serving CEV,5.071869723326344
39,17:30,0.0,13.04473684210528,0.0,,Idle,7.5850264737048345,20.01286318385783,0.0,Charging,Serving CEV,6.968126341752551
40,17:45,0.0,13.04473684210528,0.0,,Idle,8.0,22.01286318385783,0.0,Charging,Serving CEV,8.968126341752551
41,18:00,0.0,13.04473684210528,0.0,,Idle,8.0,24.01286318385783,0.0,Charging,Serving CEV,10.968126341752551
42,18:15,0.0,13.04473684210528,0.0,,Idle,6.758682817173431,25.70253388815119,0.0,Charging,Serving CEV,12.65779704604591
43,18:30,0.0,13.04473684210528,0.0,,Idle,0.0,25.70253388815119,0.0,,Traveling,12.65779704604591
44,18:45,8.0,15.04473684210528,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,10.65779704604591
45,19:00,8.0,17.04473684210528,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,8.65779704604591
46,19:15,0.0,17.04473684210528,0.0,,Idle,0.0,25.70253388815119,0.0,,Idle,8.65779704604591
47,19:30,8.0,19.04473684210528,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,6.657797046045911
48,19:45,8.0,21.04473684210528,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,4.657797046045911
49,20:00,0.13894736842113645,21.079473684210566,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,4.623060203940625
50,20:15,8.0,23.079473684210566,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,2.623060203940625
51,20:30,7.999999999999958,25.079473684210555,0.0,Charging,Serving CEV,0.0,25.70253388815119,0.0,,Idle,0.6230602039406357
52,20:45,0.0,25.079473684210555,0.0,,Traveling,0.0,25.70253388815119,0.0,,Idle,0.6230602039406357
53,21:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
54,21:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
55,21:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
56,21:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
57,22:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
58,22:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
59,22:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
60,22:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
61,23:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
62,23:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
63,23:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
64,23:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Idle,0.6230602039406357
65,00:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
66,00:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
67,00:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
68,00:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
69,01:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
70,01:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
71,01:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
72,01:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
73,02:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
74,02:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
75,02:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
76,02:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
77,03:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
78,03:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
79,03:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
80,03:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
81,04:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
82,04:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
83,04:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
84,04:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
85,05:00,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
86,05:15,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
87,05:30,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
88,05:45,0.0,25.079473684210555,0.0,,Charging (grid),0.0,25.70253388815119,0.0,,Charging (grid),0.6230602039406357
