Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,248.75178119518395,250.0
4,247.89473684210526,248.75178119518395,250.0
5,247.8947368421053,248.75178119518395,250.0
6,247.8947368421053,246.6465180372871,247.89473684210526
7,245.78947368421055,246.6465180372871,245.78947368421052
8,244.68975069252076,246.6465180372871,244.3369092882262
9,244.68975069252076,244.54125487939237,244.3369092882262
10,244.68975069252076,244.54125487939237,244.77685409754346
11,244.68975069252076,245.03294939119996,245.23035800503007
12,244.68975069252076,245.52703257450918,245.57506454491013
13,242.58448753462602,246.0236569677766,246.03470132719943
14,242.58448753462602,246.5231854667282,246.49623645513645
15,242.58448753462602,247.0028290062904,246.9624697025306
16,242.58448753462602,247.47067516900444,247.44088510714678
17,242.58448753462602,247.97915834335333,247.92166673900192
18,240.47922437673128,248.49078656073118,248.4193307291175
19,238.37396121883654,248.9767435652443,248.91699471923306
20,238.37396121883654,249.48837178262215,249.41465870934863
21,238.83710939398355,250.0,249.9123226994642
22,239.30025756913057,250.0,249.9123226994642
23,239.76340574427758,248.54099001432175,247.80705954156946
24,240.2265539194246,246.51251685567323,245.70179638367472
25,240.6897020945716,244.5140154429705,243.59653322577998
26,241.1528502697186,244.5140154429705,243.59653322577998
27,241.61599844486562,244.5140154429705,243.59653322577998
28,242.07914662001264,242.40875228507576,243.59653322577998
29,242.54229479515965,242.40875228507576,243.59653322577998
30,243.00544297030666,242.40875228507576,241.49127006788524
31,243.46859114545367,242.40875228507576,241.49127006788524
32,243.93173932060068,241.07614131850545,241.49127006788524
33,244.3948874957477,239.0410155799039,239.81720712989727
34,244.3948874957477,239.0410155799039,239.81720712989727
35,242.28962433785296,239.0410155799039,239.81720712989727
36,242.28962433785296,239.0410155799039,239.81720712989727
37,242.28962433785296,239.0410155799039,237.71194397200253
38,242.28962433785296,238.46350057794493,235.6066808141078
39,242.28962433785296,236.38863294646907,233.50141765621305
40,242.28962433785296,234.3925733481257,231.3961544983183
41,242.28962433785296,232.28731019023095,229.29089134042357
42,242.28962433785296,230.18204703233621,228.0186357149767
43,242.28962433785296,228.40344629097478,228.0186357149767
44,242.28962433785296,228.40344629097478,228.0186357149767
45,240.18436117995822,228.40344629097478,228.0186357149767
46,238.07909802206348,228.40344629097478,228.0186357149767
47,238.07909802206348,228.40344629097478,228.0186357149767
48,235.97383486416874,228.40344629097478,228.0186357149767
49,233.868571706274,228.40344629097478,228.0186357149767
50,233.83200660932107,228.40344629097478,228.0186357149767
51,231.72674345142633,228.40344629097478,228.0186357149767
52,229.6214802935316,228.40344629097478,228.0186357149767
53,229.6214802935316,228.40344629097478,228.0186357149767
54,230.0846284686786,228.91507450835263,228.51821217599996
55,230.5477766438256,229.42670272573048,229.01778863702322
56,231.01092481897263,229.93833094310833,229.51736509804647
57,231.47407299411964,230.44995916048617,230.01694155906972
58,231.93722116926665,230.96158737786402,230.51651802009297
59,232.40036934441366,231.47321559524187,231.01609448111623
60,232.86351751956067,231.98484381261972,231.51567094213948
61,233.32666569470769,232.49647202999756,232.01524740316273
62,233.7898138698547,232.6046406091529,232.51482386418598
63,234.2529620450017,233.11626882653076,233.01440032520924
64,234.71611022014872,233.6278970439086,233.5139767862325
65,235.17925839529573,233.6278970439086,234.0135532472558
66,235.64240657044274,234.13952526128645,234.5131297082791
67,236.10555474558976,234.6511534786643,235.01270616930242
68,236.56870292073677,235.16278169604215,235.51228263032573
69,237.03185109588378,235.67440991342,236.01185909134904
70,237.4949992710308,236.18603813079784,236.51143555237235
71,237.9581474461778,236.6976663481757,237.01101201339566
72,238.42129562132482,237.20929456555353,237.51058847441897
73,238.88444379647183,237.72092278293138,238.01016493544228
74,239.34759197161884,238.23255100030923,238.50974139646559
75,239.81074014676585,238.74417921768708,239.0093178574889
76,240.27388832191286,239.25580743506492,239.5088943185122
77,240.73703649705988,239.76743565244277,240.00847077953551
78,241.2001846722069,240.27906386982062,240.50804724055882
79,241.6633328473539,240.79069208719847,241.00762370158213
80,242.1264810225009,241.3023203045763,241.50720016260544
81,242.58962919764792,241.81394852195416,242.00677662362875
82,243.05277737279494,242.325576739332,242.50635308465206
83,243.51592554794195,242.83720495670985,243.00592954567537
84,243.97907372308896,243.3488331740877,243.50550600669868
85,244.44222189823597,243.86046139146555,244.005082467722
86,244.90537007338298,244.3720896088434,244.5046589287453
87,245.36851824853,244.88371782622124,245.0042353897686
88,245.831666423677,245.3953460435991,245.50381185079192
89,246.29481459882402,245.90697426097694,246.00338831181523
90,246.75796277397103,246.41860247835498,246.50296477283683
91,247.22111094911804,246.93023069573172,247.00254123386014
92,247.68425912426505,247.44185891310977,247.50211769488342
93,248.14740729941207,247.95348713048782,248.00169415590673
94,248.61055547455908,248.46511534786586,248.50127061693004
95,249.0737036497061,248.9767435652439,249.00084707795338
96,249.536851824853,249.48837178262195,249.50042353897666
97,250.0,250.0,250.0
