Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,248.8209334862565
4,247.89473684210526,248.8209334862565
5,247.8947368421053,248.8209334862566
6,247.8947368421053,248.8209334862565
7,245.78947368421055,248.8209334862565
8,244.68975069252076,247.55352299820422
9,244.68975069252076,247.55352299820422
10,244.68975069252076,245.44825984030928
11,244.68975069252076,245.44825984030928
12,244.68975069252076,245.44825984030928
13,242.58448753462602,243.3429966824134
14,242.58448753462602,243.3429966824134
15,242.58448753462602,243.3429966824134
16,242.58448753462602,243.3429966824134
17,242.58448753462602,243.3429966824134
18,240.47922437673128,241.23773352451866
19,238.37396121883654,240.56096044535025
20,238.37396121883654,240.56096044535025
21,238.83710939398355,240.98426387105488
22,239.30025756913057,241.4075672967595
23,239.76340574427758,241.83087072246414
24,240.2265539194246,242.25417414816877
25,240.6897020945716,242.6774775738734
26,241.1528502697186,243.10078099957803
27,241.61599844486562,243.52408442528267
28,242.07914662001264,243.9473878509873
29,242.54229479515965,244.37069127669193
30,243.00544297030666,244.79399470239656
31,243.46859114545367,245.2172981281012
32,243.93173932060068,245.64060155380582
33,244.3948874957477,246.06390497951045
34,244.3948874957477,246.06390497951045
35,242.28962433785296,245.3786537867577
36,242.28962433785296,245.3786537867577
37,242.28962433785296,245.3786537867577
38,242.28962433785296,243.27339062886296
39,242.28962433785296,241.16812747096822
40,242.28962433785296,239.06286431307348
41,242.28962433785296,236.95760115517874
42,242.28962433785296,235.56768842579726
43,242.28962433785296,233.53557856944892
44,242.28962433785296,233.53557856944892
45,240.18436117995822,233.53557856944892
46,238.07909802206348,233.53557856944892
47,238.07909802206348,233.53557856944892
48,235.97383486416874,233.53557856944892
49,233.868571706274,233.53557856944892
50,233.83200660932107,233.53557856944892
51,231.72674345142633,233.53557856944892
52,229.6214802935316,233.53557856944892
53,229.6214802935316,233.53557856944892
54,230.0846284686786,233.95888199515355
55,230.5477766438256,234.38218542085818
56,231.01092481897263,234.8054888465628
57,231.47407299411964,235.22879227226744
58,231.93722116926665,235.65209569797207
59,232.40036934441366,236.0753991236767
60,232.86351751956067,236.49870254938133
61,233.32666569470769,236.49870254938133
62,233.7898138698547,236.49870254938133
63,234.2529620450017,236.49870254938133
64,234.71611022014872,236.49870254938133
65,235.17925839529573,236.49870254938133
66,235.64240657044274,236.92200597508597
67,236.10555474558976,237.3453094007906
68,236.56870292073677,237.76861282649523
69,237.03185109588378,238.19191625219986
70,237.4949992710308,238.6152196779045
71,237.9581474461778,239.03852310360912
72,238.42129562132482,239.46182652931375
73,238.88444379647183,239.88512995501839
74,239.34759197161884,240.30843338072302
75,239.81074014676585,240.73173680642765
76,240.27388832191286,241.15504023213228
77,240.73703649705988,241.5783436578369
78,241.2001846722069,242.00164708354154
79,241.6633328473539,242.42495050924617
80,242.1264810225009,242.8482539349508
81,242.58962919764792,243.27155736065544
82,243.05277737279494,243.69486078636007
83,243.51592554794195,244.1181642120647
84,243.97907372308896,244.54146763776933
85,244.44222189823597,244.96477106347396
86,244.90537007338298,245.3880744891786
87,245.36851824853,245.81137791488322
88,245.831666423677,246.23468134058785
89,246.29481459882402,246.6579847662925
90,246.75796277397103,247.03687602006752
91,247.22111094911804,247.46017944577216
92,247.68425912426505,247.88348287147682
93,248.14740729941207,248.30678629718142
94,248.61055547455908,248.73008972288605
95,249.0737036497061,249.1533931485907
96,249.536851824853,249.57669657429534
97,250.0,250.0
