Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.041839770771916,Digging,Traveling,0.0,0.0,5.041839770771916,Digging,Traveling,0.0,0.0,5.041839770771916,Digging,Idle,0.0,0.0
2,08:15,0.0,0.0,5.141680237812048,Digging,Idle,4.580357653441588,1.145089413360397,0.0,Charging,Serving CEV,0.0,0.0,5.141680237812048,Digging,Traveling,1.145089413360397,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,1.911920913986059e-13,1.1450894133604448,5.141680237812048,Digging,Idle,-1.688959454347981e-10,-4.222398635869952e-11,4.941799685323024,Digging,Idle,-0.854910586639555,-2.0000000000422236
4,08:45,0.0,1.9999999999999998,4.941799685323024,Digging,Idle,0.0,1.1450894133604448,4.941799685323024,Digging,Idle,8.0,1.999999999957776,0.0,Charging,Serving CEV,-0.854910586639555,-4.222378002793903e-11
5,09:00,0.0,1.9999999999999998,4.900995245099925,Digging,Idle,7.781328463643183,3.0904215292712403,0.0,Charging,Serving CEV,0.0,1.999999999957776,4.900995245099925,Digging,Idle,1.0904215292712405,-4.222378002793903e-11
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.0904215292712403,4.900995245099925,Digging,Idle,8.0,3.999999999957776,0.0,Charging,Serving CEV,-0.9095784707287597,-4.2224002072543954e-11
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,6.354346128338896,4.679008061355964,0.0,Charging,Serving CEV,0.0,3.999999999957776,4.755021108027313,Traveling,Idle,-0.3657287807493228,-1.0447368421475112
8,09:45,0.0,5.044736842105287,4.755021108027313,Traveling,Idle,0.0,4.679008061355964,4.755021108027313,Traveling,Idle,0.0,3.999999999957776,4.642880597441433,Digging,Idle,-0.3657287807493228,-1.0447368421475112
9,10:00,0.0,5.044736842105287,3.0642269057707443,Loading/Swinging,Idle,0.0,4.679008061355964,4.642880597441433,Digging,Idle,0.0,3.999999999957776,4.6685519687221,Digging,Idle,-0.3657287807493228,-1.0447368421475112
10,10:15,0.0,5.044736842105287,4.642880597441433,Digging,Idle,0.0,4.679008061355964,4.6685519687221,Digging,Idle,-9.331887772026567e-11,3.999999999934446,4.783547634963451,Digging,Idle,-0.3657287807493228,-1.044736842170841
11,10:30,0.0,5.044736842105287,4.6685519687221,Digging,Idle,0.0,4.679008061355964,4.783547634963451,Digging,Idle,8.0,5.999999999934446,0.0,Charging,Serving CEV,-0.3657287807493228,0.955263157829159
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,8.0,6.679008061355964,0.0,Charging,Serving CEV,0.0,5.999999999934446,4.968817269427966,Digging,Idle,-0.3657287807493228,-1.044736842170841
13,11:00,0.0,7.044736842105287,4.783547634963451,Digging,Idle,0.0,6.679008061355964,3.0642269057707443,Loading/Swinging,Idle,0.0,5.999999999934446,4.245131084810789,Traveling,Idle,-0.3657287807493228,-1.044736842170841
14,11:15,0.0,7.044736842105287,4.245131084810789,Traveling,Idle,0.0,6.679008061355964,4.245131084810789,Traveling,Idle,0.0,5.999999999934446,4.7630522343219885,Digging,Idle,-0.3657287807493228,-1.044736842170841
15,11:30,0.0,7.044736842105287,4.968817269427966,Digging,Idle,1.4210854715203412e-13,6.679008061356,4.968817269427966,Digging,Idle,-0.0,5.999999999934446,4.712071366234001,Digging,Idle,-0.3657287807492873,-1.044736842170841
16,11:45,0.0,7.044736842105287,4.7630522343219885,Digging,Idle,0.0,6.679008061356,4.7630522343219885,Digging,Idle,8.0,7.999999999934446,0.0,Charging,Serving CEV,-0.3657287807492873,0.955263157829159
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,7.910538417968028,8.656642665848008,0.0,Charging,Serving CEV,7.3087821332326035,9.827195533242596,0.0,Charging,Serving CEV,-0.3880941762572796,0.7824586911373093
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,7.5836558727375545,10.552556634032396,0.0,Charging,Serving CEV,0.0,9.827195533242596,0.0,,Traveling,-0.49218020807289165,-1.2175413088626907
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,10.552556634032396,0.0,,Traveling,0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),-0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
23,13:30,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
24,13:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,10.552556634032396,0.0,,Charging (grid),0.0,9.827195533242596,0.0,,Charging (grid),-0.49218020807289165,-1.2175413088626907
25,14:00,0.0,11.044736842105287,4.712071366234001,Digging,Charging (grid),0.0,10.552556634032396,4.712071366234001,Digging,Charging (grid),0.0,9.827195533242596,4.312707823393034,Digging,Charging (grid),-0.49218020807289165,-1.2175413088626907
26,14:15,0.0,11.044736842105287,4.312707823393034,Digging,Charging (grid),0.0,10.552556634032396,4.312707823393034,Digging,Charging (grid),0.0,9.827195533242596,3.0642269057707443,Loading/Swinging,Charging (grid),-0.49218020807289165,-1.2175413088626907
27,14:30,0.0,11.044736842105287,5.200717763694187,Traveling,Charging (grid),0.0,10.552556634032396,5.200717763694187,Traveling,Charging (grid),0.0,9.827195533242596,5.200717763694187,Traveling,Charging (grid),-0.49218020807289165,-1.2175413088626907
28,14:45,0.0,11.044736842105287,4.66843713466284,Digging,Charging (grid),0.0,10.552556634032396,2.8087001115386454,Loading/Swinging,Charging (grid),0.0,9.827195533242596,2.8087001115386454,Loading/Swinging,Traveling,-0.49218020807289165,-1.2175413088626907
29,15:00,0.0,11.044736842105287,0.0,Idle,Charging (grid),0.0,10.552556634032396,0.0,Idle,Charging (grid),8.0,11.827195533242596,0.0,Charging,Serving CEV,-0.49218020807289165,0.7824586911373093
30,15:15,0.0,11.044736842105287,2.8087001115386454,Loading/Swinging,Charging (grid),0.0,10.552556634032396,3.2944052051037955,Loading/Swinging,Charging (grid),0.0,11.827195533242596,3.2944052051037955,Loading/Swinging,Idle,-0.49218020807289165,0.7824586911373093
31,15:30,0.0,11.044736842105287,3.2944052051037955,Loading/Swinging,Charging (grid),0.0,10.552556634032396,3.3257823472226997,Loading/Swinging,Charging (grid),0.0,11.827195533242596,4.66843713466284,Digging,Idle,-0.49218020807289165,0.7824586911373093
32,15:45,0.0,11.044736842105287,3.3257823472226997,Loading/Swinging,Charging (grid),0.0,10.552556634032396,2.9515521647677394,Loading/Swinging,Charging (grid),8.0,13.827195533242596,0.0,Charging,Serving CEV,-0.49218020807289165,2.7824586911373093
33,16:00,0.0,11.044736842105287,4.322120722414302,Traveling,Traveling,0.0,10.552556634032396,4.322120722414302,Traveling,Traveling,0.0,13.827195533242596,3.3257823472226997,Loading/Swinging,Idle,-0.49218020807289165,2.7824586911373093
34,16:15,7.999999999999972,13.04473684210528,0.0,Charging,Serving CEV,7.354183906033184,12.391102610540692,0.0,Charging,Serving CEV,0.0,13.827195533242596,4.322120722414302,Traveling,Idle,-0.6536342315645882,0.7824586911373164
35,16:30,0.0,13.04473684210528,2.9515521647677394,Loading/Swinging,Idle,0.0,12.391102610540692,4.66843713466284,Digging,Idle,0.0,13.827195533242596,2.9515521647677394,Loading/Swinging,Idle,-0.6536342315645882,0.7824586911373164
36,16:45,0.0,13.04473684210528,3.1300131946124976,Loading/Swinging,Idle,0.0,12.391102610540692,3.1300131946124976,Loading/Swinging,Idle,0.0,13.827195533242596,3.1300131946124976,Loading/Swinging,Idle,-0.6536342315645882,0.7824586911373164
37,17:00,0.0,13.04473684210528,0.0,,Idle,7.452253825235376,14.254166066849535,0.0,Charging,Serving CEV,8.0,15.827195533242596,0.0,Charging,Serving CEV,1.2094292247442553,2.7824586911373164
38,17:15,0.0,13.04473684210528,0.0,,Idle,8.0,16.254166066849535,0.0,Charging,Serving CEV,8.0,17.827195533242595,0.0,Charging,Serving CEV,3.2094292247442553,4.782458691137315
39,17:30,0.0,13.04473684210528,0.0,,Idle,8.0,18.254166066849535,0.0,Charging,Serving CEV,8.0,19.827195533242595,0.0,Charging,Serving CEV,5.209429224744255,6.782458691137315
