Time_Period,MCS_1_approach0_kWh,MCS_1_shrinking_kWh,MCS_1_receding_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.00000000000165,250.00000000001492
4,250.0,250.00000000000668,247.5000000000128
5,250.0,250.00000000000668,247.5000000000128
6,250.0,247.50000000000668,245.39473684211805
7,250.0,247.50000000000668,245.39473684211805
8,250.0,247.50000000000668,245.39473684211805
9,250.0,247.50000000000668,245.39473684211805
10,250.0,245.39473684211194,245.39473684211805
11,250.0,245.39473684211194,244.86809760934335
12,250.0,245.39473684211194,244.86809760934335
13,250.0,245.39473684211185,244.86809760934335
14,247.5,245.39473684211185,244.86809760934335
15,245.39473684210526,243.2894736842171,244.86809760934335
16,245.39473684210526,243.2894736842171,242.7628344514486
17,243.28947368421055,243.2894736842171,242.7628344514486
18,241.1842105263158,243.2894736842171,242.7628344514486
19,239.07894736842107,241.18421052632237,242.7628344514486
20,236.97368421052636,241.18421052632237,242.2084588641073
21,234.86842105263165,239.6262699223092,242.2084588641073
22,234.56386842105263,237.5210067644145,240.10319570621257
23,234.56386842105263,237.5210067644145,237.99793254831783
24,234.56386842105263,235.41574360651975,235.8926693904231
25,234.56386842105263,233.31048044862504,233.78740623252835
26,234.56386842105263,233.31048044862504,233.78740623252838
27,234.56386842105263,233.31048044862504,233.78740623252838
28,234.56386842105263,233.31048044862504,233.78740623252838
29,234.56386842105263,233.31048044862504,233.78740623252838
30,232.4586052631579,233.31048044862507,232.91712747325005
31,232.4586052631579,233.31048044862507,232.91712747325008
32,232.4586052631579,233.31048044862507,230.8292925794826
33,232.4586052631579,233.31048044862507,230.8292925794826
34,230.35334210526318,233.31048044862507,230.8292925794826
35,230.35334210526318,233.31048044862507,230.8292925794826
36,230.35334210526318,233.31048044862507,230.70260765538802
37,230.35334210526318,233.3104804486251,230.70260765538805
38,228.24807894736844,232.77261085275586,230.66734769486717
39,226.14281578947373,230.66734769486112,228.56208453697243
40,224.037552631579,228.56208453696638,226.4568213790777
41,222.43900000000002,228.56208453696638,226.4568213790777
42,219.93900000000002,226.45682137907164,226.4568213790777
43,219.93900000000002,224.3515582211769,224.35155822118296
44,219.93900000000002,224.3515582211769,224.35155822118296
45,219.93900000000002,222.24629506328216,222.24629506328822
46,219.93900000000002,219.74629506328216,222.2462950632882
47,219.93900000000002,219.74629506328216,222.24629506328816
48,219.93900000000002,219.74629506328216,222.24629506328816
49,219.93900000000002,219.74629506328216,219.74629506328816
50,219.93900000000002,219.74629506328216,219.74629506328816
51,219.93900000000002,219.74629506328216,219.74629506328816
52,219.93900000000002,219.74629506328216,219.74629506328816
53,219.93900000000002,219.74629506328216,219.74629506328816
54,220.62220454545457,220.43387926638937,220.43387926639525
55,221.3054090909091,221.1214634694966,221.12146346950232
56,221.98861363636362,221.8090476726038,221.8090476726094
57,222.67181818181817,222.49663187571105,222.49663187571647
58,223.3550227272727,223.18421607881825,223.18421607882357
59,224.03822727272726,223.8718002819255,223.87180028193063
60,224.72143181818177,224.5593844850327,224.55938448503773
61,225.4046363636363,225.24696868813993,225.2469686881448
62,226.08784090909086,225.93455289124714,225.93455289125188
63,226.7710454545454,226.62213709435437,226.62213709435895
64,227.45424999999994,227.30972129746158,227.30972129746604
65,228.1374545454545,227.9973055005689,227.99730550057322
66,228.82065909090903,228.68488970367625,228.68488970368043
67,229.50386363636358,229.37247390678357,229.37247390678763
68,230.18706818181812,230.0600581098909,230.0600581098948
69,230.87027272727263,230.7476423129982,230.74764231300202
70,231.55347727272718,231.43522651610556,231.43522651610922
71,232.23668181818172,232.12281071921288,232.1228107192164
72,232.91988636363627,232.8103949223202,232.8103949223236
73,233.6030909090908,233.49797912542752,233.49797912543082
74,234.28629545454535,234.18556332853487,234.185563328538
75,234.9694999999999,234.8731475316422,234.8731475316452
76,235.65270454545444,235.5607317347495,235.5607317347524
77,236.33590909090898,236.24831593785683,236.2483159378596
78,237.0191136363635,236.93590014096418,236.9359001409668
79,237.70231818181804,237.6234843440715,237.623484344074
80,238.3855227272726,238.31106854717882,238.31106854718118
81,239.06872727272713,238.99865275028614,238.9986527502884
82,239.75193181818167,239.6862369533935,239.6862369533956
83,240.43513636363622,240.3738211565008,240.37382115650277
84,241.11834090909076,241.06140535960813,241.06140535960998
85,241.8015454545453,241.74898956271545,241.74898956271718
86,242.48474999999985,242.4365737658228,242.43657376582436
87,243.16795454545436,243.12415796893012,243.12415796893157
88,243.8511590909089,243.81174217203744,243.81174217203878
89,244.53436363636345,244.4993263751448,244.49932637514596
90,245.217568181818,245.18691057824873,245.1869105782497
91,245.90077272727254,245.87449478135602,245.87449478135687
92,246.58397727272708,246.5620789844634,246.56207898446405
93,247.26718181818163,247.24966318757055,247.24966318757126
94,247.95038636363617,247.9372473906779,247.93724739067838
95,248.6335909090907,248.62483159378527,248.62483159378561
96,249.31679545454543,249.31241579689262,249.3124157968928
97,250.0,250.0,250.0
