Time_Period,CEV_1_approach0_kWh,CEV_1_shrinking_kWh,CEV_1_receding_kWh
1,14.8,14.8,14.8
2,13.6089840296213,13.6089840296213,13.6089840296213
3,12.361610866904236,12.361610866903707,12.361610866903707
4,11.202558116663901,11.202558116663372,11.202558116663372
5,10.073288072869078,10.07328807286908,10.07328807286908
6,10.07328807286764,12.07328807286908,10.07328807286908
7,8.787650255079026,10.787650255080464,8.787650255080464
8,10.787650255079026,9.703454822748258,7.703454822748259
9,9.703454822746819,8.451563669805845,6.4515636698058465
10,8.451563669804406,7.210574913391854,5.210574913391856
11,7.210574913390415,7.731650000000116,7.210574913391856
12,6.015920965771883,7.731650000000116,6.015920965773324
13,8.015920965771883,6.536996052381584,8.015920965773324
14,6.893356276195456,5.414431362805156,6.893356276196896
15,5.6821257751128105,4.203200861722511,6.131031091600544
16,4.516612301482412,4.203200861722511,4.919800590517899
17,3.2985754002433403,3.0376873880921123,3.7542871168875003
18,5.29857540024334,3.0376873880921123,3.7542871168875003
19,7.29857540024334,3.0376873880921123,3.7542871168875003
20,9.29857540024334,3.0376873880921123,4.800000000000001
21,11.29857540024334,5.037687388092112,6.800000000000001
22,13.29857540024334,7.037687388092106,6.800000000000001
23,14.8,8.28795,6.800000000000001
24,14.8,10.28795,8.8
25,14.8,12.287949999999999,10.8
26,13.49380691267027,11.069913098760928,9.58196309876093
27,12.306223678447562,9.763720011431197,8.394379864538228
28,14.306223678447562,8.576136777208495,7.088186777208497
29,13.543898493851211,8.714349999999985,6.311050257093299
30,12.766761973736013,7.952024815403634,7.2954
31,11.993798438552426,7.1748882952884365,6.522436464816413
32,11.199508015629648,6.4019247601048495,5.728146041893635
33,13.199508015629648,5.607634337182072,4.537171415459637
34,14.732958015629661,5.71645,6.3789500000000015
35,13.541983389195664,4.525475373566003,5.487494428010164
36,12.650527817205827,5.589475,7.487494428010164
37,11.827647677524864,4.698019428010163,6.664614288329202
38,13.827647677524864,4.800000000000012,6.800000000000002
39,14.584097677524856,6.800000000000002,8.8
40,14.584097677524856,8.8,10.8
41,14.584097677524856,8.8,10.8
42,14.584097677524856,10.8,10.8
43,14.584097677524856,12.8,10.8
44,14.584097677524856,12.8,10.8
45,14.584097677524856,14.8,12.8
46,14.584097677524856,14.8,12.8
47,14.584097677524856,14.8,12.8
48,14.584097677524856,14.8,12.8
49,14.584097677524856,14.8,12.8
50,14.584097677524856,14.8,14.8
51,14.584097677524856,14.8,14.8
52,14.584097677524856,14.8,14.8
53,14.584097677524856,14.8,14.8
54,14.584097677524856,14.8,14.8
55,14.584097677524856,14.8,14.8
56,14.584097677524856,14.8,14.8
57,14.584097677524856,14.8,14.8
58,14.584097677524856,14.8,14.8
59,14.584097677524856,14.8,14.8
60,14.584097677524856,14.8,14.8
61,14.584097677524856,14.8,14.8
62,14.584097677524856,14.8,14.8
63,14.584097677524856,14.8,14.8
64,14.584097677524856,14.8,14.8
65,14.584097677524856,14.8,14.8
66,14.584097677524856,14.8,14.8
67,14.584097677524856,14.8,14.8
68,14.584097677524856,14.8,14.8
69,14.584097677524856,14.8,14.8
70,14.584097677524856,14.8,14.8
71,14.584097677524856,14.8,14.8
72,14.584097677524856,14.8,14.8
73,14.584097677524856,14.8,14.8
74,14.584097677524856,14.8,14.8
75,14.584097677524856,14.8,14.8
76,14.584097677524856,14.8,14.8
77,14.584097677524856,14.8,14.8
78,14.584097677524856,14.8,14.8
79,14.584097677524856,14.8,14.8
80,14.584097677524856,14.8,14.8
81,14.584097677524856,14.8,14.8
82,14.584097677524856,14.8,14.8
83,14.584097677524856,14.8,14.8
84,14.584097677524856,14.8,14.8
85,14.584097677524856,14.8,14.8
86,14.584097677524856,14.8,14.8
87,14.584097677524856,14.8,14.8
88,14.584097677524856,14.8,14.8
89,14.584097677524856,14.8,14.8
90,14.584097677524856,14.8,14.8
91,14.584097677524856,14.8,14.8
92,14.584097677524856,14.8,14.8
93,14.584097677524856,14.8,14.8
94,14.584097677524856,14.8,14.8
95,14.584097677524856,14.8,14.8
96,14.584097677524856,14.8,14.8
97,14.584097677524856,14.8,14.8
