Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,D1 08:00,250.0,250.0,50.0
2,D1 08:15,247.5,250.0,50.0
3,D1 08:30,247.5,250.0,50.0
4,D1 08:45,247.5,250.0,50.0
5,D1 09:00,247.5,250.0,50.0
6,D1 09:15,245.444877120976,250.0,50.0
7,D1 09:30,245.444877120976,250.0,50.0
8,D1 09:45,245.444877120976,250.0,50.0
9,D1 10:00,245.444877120976,250.0,50.0
10,D1 10:15,245.444877120976,250.0,50.0
11,D1 10:30,243.64682367623007,250.0,50.0
12,D1 10:45,243.64682367623007,250.0,50.0
13,D1 11:00,241.66795610645582,250.0,50.0
14,D1 11:15,241.66795610645582,250.0,50.0
15,D1 11:30,241.66795610645582,250.0,50.0
16,D1 11:45,241.66795610645582,250.0,50.0
17,D1 12:00,241.66795610645582,250.0,50.0
18,D1 12:15,241.66795610645582,250.0,50.0
19,D1 12:30,241.66795610645582,250.0,50.0
20,D1 12:45,241.66795610645582,250.0,50.0
21,D1 13:00,239.56269294856108,250.0,50.0
22,D1 13:15,237.45742979066634,250.0,50.0
23,D1 13:30,235.65786128247987,250.0,50.0
24,D1 13:45,234.5973349666904,250.0,50.0
25,D1 14:00,232.49207180879566,250.0,50.0
26,D1 14:15,232.49207180879566,250.0,50.0
27,D1 14:30,232.49207180879566,250.0,50.0
28,D1 14:45,232.49207180879566,250.0,50.0
29,D1 15:00,231.10924537018246,250.0,50.0
30,D1 15:15,231.1092453701825,250.0,50.0
31,D1 15:30,231.1092453701825,250.0,50.0
32,D1 15:45,231.1092453701825,250.0,50.0
33,D1 16:00,231.1092453701825,250.0,50.0
34,D1 16:15,229.21810313220655,250.0,50.0
35,D1 16:30,227.1128399743118,250.0,50.0
36,D1 16:45,227.1128399743118,250.0,50.0
37,D1 17:00,227.1128399743118,250.0,50.0
38,D1 17:15,225.00757681641707,250.0,50.0
39,D1 17:30,223.43198381338354,250.0,50.0
40,D1 17:45,220.93198381338354,250.0,50.0
41,D1 18:00,220.93198381338354,250.0,50.0
