Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,D1 08:00,D1 08:15,0.0,0.0,10.0,250.0,247.5,4.79,14.8,13.602500000000001
2,2,D1 08:15,D1 08:30,0.0,0.0,0.0,247.5,247.5,4.79,13.602500000000001,12.405000000000001
3,3,D1 08:30,D1 08:45,0.0,0.0,0.0,247.5,247.5,4.79,12.405000000000001,11.207500000000001
4,4,D1 08:45,D1 09:00,0.0,0.0,0.0,247.5,247.5,4.79,11.207500000000001,10.010000000000002
5,5,D1 09:00,D1 09:15,0.0,8.0,1.2434497875801753e-14,247.5,245.39473684210526,0.0,10.010000000000002,12.010000000000002
6,6,D1 09:15,D1 09:30,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.71,12.010000000000002,10.832500000000001
7,7,D1 09:30,D1 09:45,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.79,10.832500000000001,9.635000000000002
8,8,D1 09:45,D1 10:00,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.79,9.635000000000002,8.437500000000002
9,9,D1 10:00,D1 10:15,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.79,8.437500000000002,7.240000000000002
10,10,D1 10:15,D1 10:30,0.0,8.0,1.2434497875801753e-14,245.39473684210526,243.28947368421052,0.0,7.240000000000002,9.240000000000002
11,11,D1 10:30,D1 10:45,0.0,0.0,-1.1368683772161603e-13,243.28947368421052,243.28947368421055,4.79,9.240000000000002,8.042500000000002
12,12,D1 10:45,D1 11:00,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.71,8.042500000000002,6.865000000000002
13,13,D1 11:00,D1 11:15,0.0,0.0,1.1368683772161603e-13,243.28947368421055,243.28947368421052,4.79,6.865000000000002,5.667500000000002
14,14,D1 11:15,D1 11:30,0.0,0.0,0.0,243.28947368421052,243.28947368421052,4.79,5.667500000000002,4.470000000000002
15,15,D1 11:30,D1 11:45,0.0,0.0,0.0,243.28947368421052,243.28947368421052,0.0,4.470000000000002,4.470000000000002
16,16,D1 11:45,D1 12:00,0.0,0.0,-1.1368683772161603e-13,243.28947368421052,243.28947368421055,4.79,4.470000000000002,3.2725000000000026
17,17,D1 12:00,D1 12:15,0.0,0.0,0.0,243.28947368421055,243.28947368421055,0.0,3.2725000000000026,3.2725000000000026
18,18,D1 12:15,D1 12:30,0.0,6.296414854697694,0.0,243.28947368421055,241.63252240665852,0.0,3.2725000000000026,4.846603713674426
19,19,D1 12:30,D1 12:45,0.0,8.0,-1.0125233984581428e-13,241.63252240665852,239.5272592487638,0.0,4.846603713674426,6.846603713674426
20,20,D1 12:45,D1 13:00,0.0,5.864828487121883,-5.950795411990839e-14,239.5272592487638,237.98388333110017,0.0,6.846603713674426,8.312810835454897
21,21,D1 13:00,D1 13:15,0.0,8.0,0.0,237.98388333110017,235.87862017320543,0.0,8.312810835454897,10.312810835454897
22,22,D1 13:15,D1 13:30,0.0,8.0,0.0,235.87862017320543,233.7733570153107,0.0,10.312810835454897,12.312810835454897
23,23,D1 13:30,D1 13:45,0.0,0.0,0.0,233.7733570153107,233.7733570153107,0.0,12.312810835454897,12.312810835454897
24,24,D1 13:45,D1 14:00,0.0,8.0,0.0,233.7733570153107,231.66809385741595,0.0,12.312810835454897,14.312810835454897
25,25,D1 14:00,D1 14:15,0.0,0.0,0.0,231.66809385741595,231.66809385741595,4.79,14.312810835454897,13.115310835454897
26,26,D1 14:15,D1 14:30,0.0,0.0,10.0,231.66809385741595,229.16809385741595,4.71,13.115310835454897,11.937810835454897
27,27,D1 14:30,D1 14:45,0.0,0.0,0.0,229.16809385741595,229.16809385741595,4.79,11.937810835454897,10.740310835454897
28,28,D1 14:45,D1 15:00,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,10.740310835454897,9.950310835454896
29,29,D1 15:00,D1 15:15,0.0,0.0,0.0,229.16809385741595,229.16809385741595,0.0,9.950310835454896,9.950310835454896
30,30,D1 15:15,D1 15:30,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,9.950310835454896,9.160310835454897
31,31,D1 15:30,D1 15:45,0.0,0.0,0.0,229.16809385741595,229.16809385741595,3.16,9.160310835454897,8.370310835454898
32,32,D1 15:45,D1 16:00,0.0,0.0,0.0,229.16809385741595,229.16809385741595,4.71,8.370310835454898,7.192810835454898
