Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,D1 08:00,D1 08:15,0.0,0.0,0.0,250.0,250.0,4.764695423805596,14.8,13.608826144048601
2,2,D1 08:15,D1 08:30,0.0,0.0,0.0,250.0,250.0,4.990672681651083,13.608826144048601,12.36115797363583
3,3,D1 08:30,D1 08:45,0.0,0.0,9.999999999740453,250.0,247.5000000000649,4.636531465683873,12.36115797363583,11.202025107214862
4,4,D1 08:45,D1 09:00,0.0,0.0,0.0,247.5000000000649,247.5000000000649,4.517110783875901,11.202025107214862,10.072747411245887
5,5,D1 09:00,D1 09:15,0.0,7.97591035501646,0.0,247.5000000000649,245.40107622242897,0.0,10.072747411245887,12.066725000000002
6,6,D1 09:15,D1 09:30,0.0,0.0,-1.1368683772161603e-13,245.40107622242897,245.401076222429,4.691919779649732,12.066725000000002,10.89374505508757
7,7,D1 09:30,D1 09:45,0.0,0.0,0.0,245.401076222429,245.401076222429,4.336373655677556,10.89374505508757,9.80965164116818
8,8,D1 09:45,D1 10:00,0.0,0.0,0.0,245.401076222429,245.401076222429,5.00878861325814,9.80965164116818,8.557454487853645
9,9,D1 10:00,D1 10:15,0.0,0.0,0.0,245.401076222429,245.401076222429,4.965072921095515,8.557454487853645,7.3161862575797665
10,10,D1 10:15,D1 10:30,0.0,8.0,0.0,245.401076222429,243.29581306453426,0.0,7.3161862575797665,9.316186257579766
11,11,D1 10:30,D1 10:45,0.0,0.0,0.0,243.29581306453426,243.29581306453426,4.77928273886944,9.316186257579766,8.121365572862405
12,12,D1 10:45,D1 11:00,0.0,0.0,0.0,243.29581306453426,243.29581306453426,4.528342758967097,8.121365572862405,6.9892798831206315
13,13,D1 11:00,D1 11:15,0.0,0.0,0.0,243.29581306453426,243.29581306453426,0.0,6.9892798831206315,6.9892798831206315
14,14,D1 11:15,D1 11:30,0.0,0.0,0.0,243.29581306453426,243.29581306453426,4.845750281713381,6.9892798831206315,5.777842312692286
15,15,D1 11:30,D1 11:45,0.0,0.0,0.0,243.29581306453426,243.29581306453426,4.662437237330649,5.777842312692286,4.6122330033596235
16,16,D1 11:45,D1 12:00,0.0,0.0,0.0,243.29581306453426,243.29581306453426,4.873042124676374,4.6122330033596235,3.39397247219053
17,17,D1 12:00,D1 12:15,0.0,0.0,0.0,243.29581306453426,243.29581306453426,0.0,3.39397247219053,3.39397247219053
18,18,D1 12:15,D1 12:30,0.0,0.0,0.0,243.29581306453426,243.29581306453426,0.0,3.39397247219053,3.39397247219053
19,19,D1 12:30,D1 12:45,0.0,5.624110111237883,0.0,243.29581306453426,241.81578408789272,0.0,3.39397247219053,4.800000000000001
20,20,D1 12:45,D1 13:00,0.0,8.0,0.0,241.81578408789272,239.71052092999798,0.0,4.800000000000001,6.800000000000001
