replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,13.603,12.405,11.208,10.01,12.01,10.833,9.635,8.438,7.24,9.24,8.043,6.865,5.668,7.668,6.47,5.68,5.68,5.68,5.68,6.8,8.8,10.8,12.8,14.8,13.603,12.425,11.228,10.438,12.438,11.648,10.858,9.68,10.38,9.59,8.8,10.8,12.8,14.8,14.8,14.8
08:15,13.603,12.438,11.24,10.043,12.043,10.865,9.668,8.47,9.965,8.768,7.57,6.392,5.195,7.195,5.998,4.8,4.8,4.8,4.8,6.8,8.8,10.8,12.8,14.8,13.603,12.425,11.635,10.845,12.845,12.055,11.265,10.088,9.298,11.298,10.508,10.8,12.8,14.8,14.8,14.8
08:30,13.603,12.438,11.771,10.574,12.574,11.396,10.199,9.001,7.804,9.804,8.606,7.429,6.231,6.788,5.998,4.8,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,13.603,12.425,11.228,10.438,11.138,10.348,9.558,8.38,7.59,9.59,8.8,10.8,12.8,14.8,14.8,14.8
08:45,13.603,12.438,11.771,10.512,11.538,10.36,9.162,7.965,6.768,8.768,7.57,6.392,5.195,7.195,5.998,4.8,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,13.603,12.425,11.635,10.845,12.845,12.055,11.265,10.088,12.088,14.088,13.298,12.508,14.508,14.8,14.8,14.8
09:00,13.603,12.438,11.771,10.512,12.34,11.163,9.965,8.768,7.57,9.57,8.373,7.195,5.998,4.8,6.8,5.603,7.603,9.603,11.603,13.603,14.8,14.8,14.8,14.8,13.603,12.425,11.635,11.827,11.037,10.247,9.457,8.28,10.28,9.49,8.7,10.7,12.7,14.7,14.7,14.7
09:15,13.603,12.438,11.771,10.512,12.34,11.163,9.965,8.768,7.57,8.768,7.57,6.392,5.195,7.195,5.998,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,14.8,13.603,12.425,11.635,10.845,11.037,10.248,9.458,8.28,7.49,9.49,8.7,10.7,12.7,14.7,14.7,14.7
09:30,13.603,12.438,11.771,10.512,12.34,11.163,10.392,9.195,11.195,9.997,8.8,7.622,6.425,7.195,5.998,4.8,4.8,4.8,4.8,6.8,8.8,10.8,12.8,14.8,14.01,12.832,12.042,10.845,12.845,12.055,14.055,13.265,12.088,11.298,10.508,12.508,14.508,14.7,14.7,14.7
09:45,13.603,12.438,11.771,10.512,12.34,11.163,10.392,8.63,7.433,9.433,8.235,7.058,5.86,7.195,5.998,4.8,4.8,4.8,4.8,6.8,8.8,10.8,12.8,14.8,13.603,12.425,11.635,10.845,12.845,12.055,11.265,10.088,12.088,14.088,13.298,12.508,14.508,14.8,14.8,14.8
10:00,13.603,12.438,11.771,10.512,12.34,11.163,10.392,8.63,7.287,9.287,8.089,6.912,5.714,7.714,6.924,6.134,8.134,10.134,12.134,14.134,14.134,14.8,14.8,14.8,13.603,12.425,11.635,12.652,11.455,10.257,9.467,8.29,10.29,9.5,11.5,10.71,12.71,14.71,14.71,14.71
10:15,13.603,12.438,11.771,10.512,12.34,11.163,10.392,8.63,7.287,8.768,7.57,6.393,5.195,7.195,5.998,4.8,6.8,8.8,10.8,12.8,14.8,14.8,14.8,14.8,14.01,12.832,11.635,10.845,11.06,10.27,9.48,8.302,7.512,9.512,8.722,10.722,12.722,14.722,14.722,14.722
10:30,13.603,12.438,11.771,10.512,12.34,11.163,10.392,8.63,7.287,8.768,7.57,6.393,5.195,7.195,5.998,4.8,4.8,4.8,4.8,6.8,8.8,10.8,12.8,14.8,14.01,12.833,11.635,10.845,11.138,10.348,9.558,8.38,7.59,9.59,8.8,10.8,12.8,14.8,14.8,14.8
