replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,247.5,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,244.993,244.993,244.993,244.993,244.993,244.12,244.12,244.12,244.12,244.12,244.113,244.106,244.099,241.994,239.889,239.889,239.889,239.889,239.441,239.441,239.441,239.441,237.547,235.442,233.336,231.231,229.126,227.021,227.021,224.521,250.0
08:15,247.5,247.5,247.5,247.5,245.395,245.395,245.395,245.395,245.395,243.289,243.289,243.289,243.289,243.289,243.289,243.289,241.184,239.079,236.974,234.868,232.763,232.763,232.763,231.604,231.604,231.604,231.604,231.604,231.604,231.604,231.604,231.149,229.043,226.938,226.938,226.938,226.938,226.938,224.438,250.0
08:30,247.5,247.5,247.5,247.5,246.197,246.197,246.197,246.197,246.197,246.197,246.197,246.197,246.197,244.103,244.103,244.103,244.096,244.09,244.076,244.076,244.069,244.062,243.213,241.108,241.108,241.108,241.108,241.101,239.523,239.523,237.418,237.418,235.313,235.313,233.208,231.102,228.997,226.892,224.392,250.0
08:45,247.5,247.5,247.5,247.5,247.5,247.5,247.5,247.5,247.5,246.179,246.179,246.179,246.179,244.085,244.085,244.085,244.078,244.071,244.064,242.089,239.984,237.878,235.773,233.668,231.563,231.563,231.563,229.457,229.457,228.605,228.605,228.605,228.605,226.965,226.965,226.965,226.965,226.965,224.465,250.0
09:00,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,243.577,243.577,243.577,243.577,243.577,241.471,241.471,241.471,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,239.366,237.472,237.472,235.367,233.262,231.157,229.051,226.946,224.446,250.0
09:15,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,243.577,243.577,243.577,243.577,241.471,241.471,241.471,241.471,241.471,241.471,239.976,237.87,235.765,233.66,231.555,231.555,231.555,231.555,231.555,229.86,227.755,227.748,227.748,226.953,224.453,224.453,224.453,224.453,224.453,224.453,250.0
09:30,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,243.577,243.577,243.577,243.577,243.577,241.471,241.471,241.471,240.0,237.895,235.789,233.684,231.579,231.579,231.568,231.568,231.568,229.463,229.463,228.611,228.604,228.604,227.752,227.752,227.752,227.752,226.963,226.963,226.963,224.463,250.0
09:45,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,245.682,245.682,245.682,245.682,244.461,244.461,244.461,244.455,244.448,244.441,244.434,244.427,244.42,244.413,243.164,243.164,241.062,241.062,241.062,240.21,240.21,239.358,239.358,237.471,235.366,233.261,231.155,229.05,226.945,224.445,250.0
10:00,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,244.843,244.843,244.843,244.843,244.843,243.992,243.992,243.986,243.98,243.973,243.967,243.961,243.955,242.246,240.141,240.141,240.141,240.141,240.141,239.283,239.283,239.283,239.277,237.396,235.29,233.185,231.08,228.975,226.869,224.369,250.0
10:15,247.5,247.5,247.5,247.5,245.682,245.682,245.682,245.682,245.682,245.682,245.682,245.682,245.682,243.703,241.597,241.597,241.597,241.597,241.597,241.597,239.492,237.387,235.282,233.176,233.176,233.176,231.071,231.071,231.071,231.071,231.071,231.071,228.966,226.861,224.361,224.361,224.361,224.361,224.361,250.0
