Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Site_3_Work_Power_kW,Total_Work_Power_kW
1,D1 08:00,D1 08:15,4.463084581580557,6.730655462575827,11.193740044156385
2,D1 08:15,D1 08:30,5.560061561413022,4.7217414706466085,10.281803032059631
3,D1 08:30,D1 08:45,0.0,6.396004765613969,6.396004765613969
4,D1 08:45,D1 09:00,0.0,0.0,0.0
5,D1 09:00,D1 09:15,3.840929445067345,5.750734059853668,9.591663504921012
6,D1 09:15,D1 09:30,3.2612173974558285,3.39447590734203,6.655693304797858
7,D1 09:30,D1 09:45,4.432272455912212,0.0,4.432272455912212
8,D1 09:45,D1 10:00,2.3838526974638614,0.0,2.3838526974638614
9,D1 10:00,D1 10:15,0.0,3.4058916530572403,3.4058916530572403
10,D1 10:15,D1 10:30,5.648002976981263,5.542563430232826,11.190566407214089
11,D1 10:30,D1 10:45,5.435790879104439,4.0345825108512905,9.470373389955729
12,D1 10:45,D1 11:00,4.500101007455269,0.0,4.500101007455269
13,D1 11:00,D1 11:15,3.7874221772684464,4.617006397625632,8.404428574894078
14,D1 11:15,D1 11:30,0.0,0.0,0.0
15,D1 11:30,D1 11:45,3.128389950303602,4.069521764871064,7.197911715174666
16,D1 11:45,D1 12:00,4.5338967906283445,3.553223959567704,8.087120750196048
17,D1 12:00,D1 12:15,0.0,0.0,0.0
18,D1 12:15,D1 12:30,0.0,0.0,0.0
19,D1 12:30,D1 12:45,0.0,0.0,0.0
20,D1 12:45,D1 13:00,0.0,0.0,0.0
21,D1 13:00,D1 13:15,0.0,0.0,0.0
22,D1 13:15,D1 13:30,0.0,0.0,0.0
23,D1 13:30,D1 13:45,0.0,0.0,0.0
24,D1 13:45,D1 14:00,0.0,0.0,0.0
25,D1 14:00,D1 14:15,4.856554765598935,0.0,4.856554765598935
26,D1 14:15,D1 14:30,2.3519952296185265,0.0,2.3519952296185265
27,D1 14:30,D1 14:45,7.058428353557018,0.0,7.058428353557018
28,D1 14:45,D1 15:00,4.2763497995813635,0.0,4.2763497995813635
29,D1 15:00,D1 15:15,0.0,0.0,0.0
30,D1 15:15,D1 15:30,2.3619368037677217,0.0,2.3619368037677217
31,D1 15:30,D1 15:45,0.0,0.0,0.0
32,D1 15:45,D1 16:00,3.966685618109947,0.0,3.966685618109947
33,D1 16:00,D1 16:15,4.983190470280855,0.0,4.983190470280855
34,D1 16:15,D1 16:30,0.0,0.0,0.0
35,D1 16:30,D1 16:45,0.0,0.0,0.0
36,D1 16:45,D1 17:00,0.0,0.0,0.0
37,D1 17:00,D1 17:15,0.0,0.0,0.0
38,D1 17:15,D1 17:30,0.0,0.0,0.0
39,D1 17:30,D1 17:45,0.0,0.0,0.0
40,D1 17:45,D1 18:00,0.0,0.0,0.0
41,D1 18:00,D1 18:15,0.0,0.0,0.0
42,D1 18:15,D1 18:30,0.0,0.0,0.0
43,D1 18:30,D1 18:45,0.0,0.0,0.0
44,D1 18:45,D1 19:00,0.0,0.0,0.0
45,D1 19:00,D1 19:15,0.0,0.0,0.0
46,D1 19:15,D1 19:30,0.0,0.0,0.0
47,D1 19:30,D1 19:45,0.0,0.0,0.0
48,D1 19:45,D1 20:00,0.0,0.0,0.0
49,D1 20:00,D1 20:15,0.0,0.0,0.0
50,D1 20:15,D1 20:30,0.0,0.0,0.0
51,D1 20:30,D1 20:45,0.0,0.0,0.0
52,D1 20:45,D1 21:00,0.0,0.0,0.0
53,D1 21:00,D1 21:15,0.0,0.0,0.0
54,D1 21:15,D1 21:30,0.0,0.0,0.0
55,D1 21:30,D1 21:45,0.0,0.0,0.0
56,D1 21:45,D1 22:00,0.0,0.0,0.0
57,D1 22:00,D1 22:15,0.0,0.0,0.0
58,D1 22:15,D1 22:30,0.0,0.0,0.0
59,D1 22:30,D1 22:45,0.0,0.0,0.0
60,D1 22:45,D1 23:00,0.0,0.0,0.0
61,D1 23:00,D1 23:15,0.0,0.0,0.0
62,D1 23:15,D1 23:30,0.0,0.0,0.0
63,D1 23:30,D1 23:45,0.0,0.0,0.0
64,D1 23:45,D1 00:00,0.0,0.0,0.0
65,D1 00:00,D1 00:15,0.0,0.0,0.0
66,D1 00:15,D1 00:30,0.0,0.0,0.0
67,D1 00:30,D1 00:45,0.0,0.0,0.0
68,D1 00:45,D1 01:00,0.0,0.0,0.0
69,D1 01:00,D1 01:15,0.0,0.0,0.0
70,D1 01:15,D1 01:30,0.0,0.0,0.0
71,D1 01:30,D1 01:45,0.0,0.0,0.0
72,D1 01:45,D1 02:00,0.0,0.0,0.0
73,D1 02:00,D1 02:15,0.0,0.0,0.0
74,D1 02:15,D1 02:30,0.0,0.0,0.0
75,D1 02:30,D1 02:45,0.0,0.0,0.0
76,D1 02:45,D1 03:00,0.0,0.0,0.0
77,D1 03:00,D1 03:15,0.0,0.0,0.0
78,D1 03:15,D1 03:30,0.0,0.0,0.0
79,D1 03:30,D1 03:45,0.0,0.0,0.0
80,D1 03:45,D1 04:00,0.0,0.0,0.0
81,D1 04:00,D1 04:15,0.0,0.0,0.0
82,D1 04:15,D1 04:30,0.0,0.0,0.0
83,D1 04:30,D1 04:45,0.0,0.0,0.0
84,D1 04:45,D1 05:00,0.0,0.0,0.0
85,D1 05:00,D1 05:15,0.0,0.0,0.0
86,D1 05:15,D1 05:30,0.0,0.0,0.0
87,D1 05:30,D1 05:45,0.0,0.0,0.0
88,D1 05:45,D1 06:00,0.0,0.0,0.0
89,D1 06:00,D1 06:15,0.0,0.0,0.0
90,D1 06:15,D1 06:30,0.0,0.0,0.0
91,D1 06:30,D1 06:45,0.0,0.0,0.0
92,D1 06:45,D1 07:00,0.0,0.0,0.0
93,D1 07:00,D1 07:15,0.0,0.0,0.0
94,D1 07:15,D1 07:30,0.0,0.0,0.0
95,D1 07:30,D1 07:45,0.0,0.0,0.0
96,D1 07:45,D1 08:00,0.0,0.0,0.0
