Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,D1 08:00,250.0,250.0,50.0
2,D1 08:15,249.5,250.0,50.0
3,D1 08:30,249.0,250.0,50.0
4,D1 08:45,248.5,250.0,50.0
5,D1 09:00,248.5,250.0,50.0
6,D1 09:15,244.22980317436458,250.0,50.0
7,D1 09:30,244.22980317436458,250.0,50.0
8,D1 09:45,244.22980317436458,250.0,50.0
9,D1 10:00,244.22980317436458,250.0,50.0
10,D1 10:15,236.33506633225932,250.0,50.0
11,D1 10:30,235.83506633225932,250.0,50.0
12,D1 10:45,235.33506633225932,250.0,50.0
13,D1 11:00,223.49296106910143,250.0,50.0
14,D1 11:15,223.49296106910143,250.0,50.0
15,D1 11:30,214.77724755613394,250.0,50.0
16,D1 11:45,214.77724755613394,250.0,50.0
17,D1 12:00,214.77724755613394,250.0,50.0
18,D1 12:15,214.77724755613394,250.0,50.0
19,D1 12:30,214.77724755613394,250.0,50.0
20,D1 12:45,214.77724755613394,250.0,50.0
21,D1 13:00,214.77724755613394,250.0,50.0
22,D1 13:15,213.2603699204706,250.0,50.0
23,D1 13:30,213.2603699204706,250.0,50.0
24,D1 13:45,213.2603699204706,250.0,50.0
25,D1 14:00,213.2603699204706,250.0,50.0
26,D1 14:15,213.2603699204706,250.0,50.0
27,D1 14:30,213.2603699204706,250.0,50.0
28,D1 14:45,213.2603699204706,250.0,50.0
29,D1 15:00,213.2603699204706,250.0,50.0
30,D1 15:15,213.2603699204706,250.0,50.0
31,D1 15:30,212.7603699204706,250.0,50.0
32,D1 15:45,212.2603699204706,250.0,50.0
33,D1 16:00,204.43023049055213,250.0,50.0
34,D1 16:15,203.93023049055213,250.0,50.0
35,D1 16:30,203.43023049055213,250.0,50.0
36,D1 16:45,202.93023049055213,250.0,50.0
37,D1 17:00,202.93023049055213,250.0,50.0
38,D1 17:15,202.93023049055213,250.0,50.0
39,D1 17:30,202.93023049055213,250.0,50.0
40,D1 17:45,202.93023049055213,250.0,50.0
41,D1 18:00,202.93023049055213,250.0,50.0
