Time_Period,Time_Start_Label,Time_End_Label,MCS_1_Location,MCS_1_Location_Type
1,D1 08:00,D1 08:15,0,Travel
2,D1 08:15,D1 08:30,0,Travel
3,D1 08:30,D1 08:45,0,Travel
4,D1 08:45,D1 09:00,3,Construction
5,D1 09:00,D1 09:15,3,Construction
6,D1 09:15,D1 09:30,3,Construction
7,D1 09:30,D1 09:45,3,Construction
8,D1 09:45,D1 10:00,3,Construction
9,D1 10:00,D1 10:15,3,Construction
10,D1 10:15,D1 10:30,0,Travel
11,D1 10:30,D1 10:45,0,Travel
12,D1 10:45,D1 11:00,2,Construction
13,D1 11:00,D1 11:15,2,Construction
14,D1 11:15,D1 11:30,2,Construction
15,D1 11:30,D1 11:45,2,Construction
16,D1 11:45,D1 12:00,2,Construction
17,D1 12:00,D1 12:15,2,Construction
18,D1 12:15,D1 12:30,2,Construction
19,D1 12:30,D1 12:45,2,Construction
20,D1 12:45,D1 13:00,2,Construction
21,D1 13:00,D1 13:15,2,Construction
22,D1 13:15,D1 13:30,2,Construction
23,D1 13:30,D1 13:45,2,Construction
24,D1 13:45,D1 14:00,2,Construction
25,D1 14:00,D1 14:15,2,Construction
26,D1 14:15,D1 14:30,2,Construction
27,D1 14:30,D1 14:45,2,Construction
28,D1 14:45,D1 15:00,2,Construction
29,D1 15:00,D1 15:15,2,Construction
30,D1 15:15,D1 15:30,0,Travel
31,D1 15:30,D1 15:45,0,Travel
32,D1 15:45,D1 16:00,3,Construction
33,D1 16:00,D1 16:15,0,Travel
34,D1 16:15,D1 16:30,0,Travel
35,D1 16:30,D1 16:45,0,Travel
36,D1 16:45,D1 17:00,1,Grid
37,D1 17:00,D1 17:15,1,Grid
38,D1 17:15,D1 17:30,1,Grid
39,D1 17:30,D1 17:45,1,Grid
40,D1 17:45,D1 18:00,1,Grid
