Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Working_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,D1 08:00,D1 08:15,4.786814219857525e-13,0.0,1.9999999999998863,250.0,249.50000000000014,4.463084581580557,72.0,70.88422885460486,6.730655462575827,48.0,46.31733613435604
2,2,D1 08:15,D1 08:30,0.0,0.0,2.0,249.50000000000014,249.00000000000014,5.560061561413022,70.88422885460486,69.4942134642516,4.7217414706466085,46.31733613435604,45.13690076669439
3,3,D1 08:30,D1 08:45,0.0,35.12314614299356,-2.842170943040401e-14,249.00000000000014,239.75706680447553,0.0,69.4942134642516,78.27499999999999,6.396004765613969,45.13690076669439,43.53789957529089
4,4,D1 08:45,D1 09:00,0.0,45.0,-1.4210854715202004e-14,239.75706680447553,227.91496154131764,0.0,78.27499999999999,89.52499999999999,0.0,43.53789957529089,43.53789957529089
5,5,D1 09:00,D1 09:15,0.0,0.0,2.0,227.91496154131764,227.41496154131764,3.840929445067345,89.52499999999999,88.56476763873316,5.750734059853668,43.53789957529089,42.100216060327476
6,6,D1 09:15,D1 09:30,0.0,0.0,2.0,227.41496154131764,226.91496154131764,3.2612173974558285,88.56476763873316,87.7494632893692,3.39447590734203,42.100216060327476,41.251597083491966
7,7,D1 09:30,D1 09:45,0.0,23.893611666032143,-3.552713678800501e-14,226.91496154131764,220.62716899762498,4.432272455912212,87.7494632893692,86.64139517539115,0.0,41.251597083491966,47.225
8,8,D1 09:45,D1 10:00,0.0,30.0,-1.0658141036401503e-14,220.62716899762498,212.73243215551972,2.3838526974638614,86.64139517539115,86.04543200102519,0.0,47.225,54.725
9,9,D1 10:00,D1 10:15,0.0,0.0,2.0,212.73243215551972,212.23243215551972,0.0,86.04543200102519,86.04543200102519,3.4058916530572403,54.725,53.87352708673569
10,10,D1 10:15,D1 10:30,0.0,0.0,2.0,212.23243215551972,211.73243215551972,5.648002976981263,86.04543200102519,84.63343125677987,5.542563430232826,53.87352708673569,52.487886229177484
11,11,D1 10:30,D1 10:45,0.0,0.0,2.0,211.73243215551972,211.23243215551972,5.435790879104439,84.63343125677987,83.27448353700376,4.0345825108512905,52.487886229177484,51.47924060146466
12,12,D1 10:45,D1 11:00,2.51125945551289,0.0,2.886579864025407e-14,211.23243215551972,211.82885627620402,4.500101007455269,83.27448353700376,82.14945828513994,0.0,51.47924060146466,51.47924060146466
13,13,D1 11:00,D1 11:15,2.51125945551289,0.0,2.886579864025407e-14,211.82885627620402,212.42528039688833,3.7874221772684464,82.14945828513994,81.20260274082283,4.617006397625632,51.47924060146466,50.32498900205825
14,14,D1 11:15,D1 11:30,2.5112594555128918,0.0,3.019806626980426e-14,212.42528039688833,213.02170451757263,0.0,81.20260274082283,81.20260274082283,0.0,50.32498900205825,50.32498900205825
15,15,D1 11:30,D1 11:45,2.5112594555128918,0.0,3.019806626980426e-14,213.02170451757263,213.61812863825693,3.128389950303602,81.20260274082283,80.42050525324693,4.069521764871064,50.32498900205825,49.307608560840485
16,16,D1 11:45,D1 12:00,2.5112594555128918,0.0,3.019806626980426e-14,213.61812863825693,214.21455275894124,4.5338967906283445,80.42050525324693,79.28703105558985,3.553223959567704,49.307608560840485,48.41930257094856
17,17,D1 12:00,D1 12:15,2.511259455514982,0.0,-3.019806626980426e-14,214.21455275894124,214.81097687962605,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
18,18,D1 12:15,D1 12:30,2.51125945551286,0.0,0.0,214.81097687962605,215.40740100031036,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
19,19,D1 12:30,D1 12:45,2.511259455512857,0.0,-2.6645352591003757e-15,215.40740100031036,216.00382512099466,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
20,20,D1 12:45,D1 13:00,2.5112594553931893,0.0,0.0,216.00382512099466,216.60024924165054,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
21,21,D1 13:00,D1 13:15,2.511259455515713,0.0,-1.7763568394002505e-14,216.60024924165054,217.19667336233553,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
22,22,D1 13:15,D1 13:30,2.5112594555149816,0.0,-3.064215547965432e-14,217.19667336233553,217.79309748302035,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
23,23,D1 13:30,D1 13:45,2.511259455514809,0.0,-8.08242361927114e-14,217.79309748302035,218.38952160370513,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
24,24,D1 13:45,D1 14:00,2.5112594554780356,0.0,0.0,218.38952160370513,218.98594572438117,0.0,79.28703105558985,79.28703105558985,0.0,48.41930257094856,48.41930257094856
25,25,D1 14:00,D1 14:15,2.5112594555146286,0.0,-2.4868995751603507e-14,218.98594572438117,219.5823698450659,4.856554765598935,79.28703105558985,78.07289236419011,0.0,48.41930257094856,48.41930257094856
26,26,D1 14:15,D1 14:30,2.511259455514894,0.0,0.0,219.5823698450659,220.17879396575069,2.3519952296185265,78.07289236419011,77.48489355678548,0.0,48.41930257094856,48.41930257094856
27,27,D1 14:30,D1 14:45,2.5112594555165133,0.0,-5.3290705182007514e-14,220.17879396575069,220.77521808643587,7.058428353557018,77.48489355678548,75.72028646839622,0.0,48.41930257094856,48.41930257094856
28,28,D1 14:45,D1 15:00,2.511259455474685,0.0,0.0,220.77521808643587,221.3716422071111,4.2763497995813635,75.72028646839622,74.65119901850089,0.0,48.41930257094856,48.41930257094856
29,29,D1 15:00,D1 15:15,2.5112594555165684,0.0,-1.3322676295501878e-15,221.3716422071111,221.9680663277963,0.0,74.65119901850089,74.65119901850089,0.0,48.41930257094856,48.41930257094856
30,30,D1 15:15,D1 15:30,2.5112594555165804,0.0,1.021405182655144e-14,221.9680663277963,222.56449044848148,2.3619368037677217,74.65119901850089,74.06071481755896,0.0,48.41930257094856,48.41930257094856
31,31,D1 15:30,D1 15:45,2.5112594555165697,0.0,0.0,222.56449044848148,223.16091456916666,0.0,74.06071481755896,74.06071481755896,0.0,48.41930257094856,48.41930257094856
32,32,D1 15:45,D1 16:00,2.5112594555160577,0.0,-3.1530333899354446e-14,223.16091456916666,223.75733868985174,3.966685618109947,74.06071481755896,73.06904341303148,0.0,48.41930257094856,48.41930257094856
33,33,D1 16:00,D1 16:15,0.0,0.0,0.0,223.75733868985174,223.75733868985174,4.983190470280855,73.06904341303148,71.82324579546126,0.0,48.41930257094856,48.41930257094856
34,34,D1 16:15,D1 16:30,1.6454191204449855e-12,0.0,1.9999999999999716,223.75733868985174,223.25733868985213,0.0,71.82324579546126,71.82324579546126,0.0,48.41930257094856,48.41930257094856
35,35,D1 16:30,D1 16:45,0.0,0.0,2.0,223.25733868985213,222.75733868985213,0.0,71.82324579546126,71.82324579546126,0.0,48.41930257094856,48.41930257094856
36,36,D1 16:45,D1 17:00,0.0,0.0,0.0,222.75733868985213,222.75733868985213,0.0,71.82324579546126,71.82324579546126,0.0,48.41930257094856,48.41930257094856
37,37,D1 17:00,D1 17:15,0.0,0.0,0.0,222.75733868985213,222.75733868985213,0.0,71.82324579546126,71.82324579546126,0.0,48.41930257094856,48.41930257094856
38,38,D1 17:15,D1 17:30,0.0,0.0,0.0,222.75733868985213,222.75733868985213,0.0,71.82324579546126,71.82324579546126,0.0,48.41930257094856,48.41930257094856
39,39,D1 17:30,D1 17:45,0.0,0.7070168181549548,-4.785061236134425e-14,222.75733868985213,222.57128163244295,0.0,71.82324579546126,72.0,0.0,48.41930257094856,48.41930257094856
40,40,D1 17:45,D1 18:00,0.0,0.0,2.0,222.57128163244295,222.07128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
41,41,D1 18:00,D1 18:15,0.0,0.0,2.0,222.07128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
42,42,D1 18:15,D1 18:30,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
43,43,D1 18:30,D1 18:45,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
44,44,D1 18:45,D1 19:00,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
45,45,D1 19:00,D1 19:15,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
46,46,D1 19:15,D1 19:30,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
47,47,D1 19:30,D1 19:45,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
48,48,D1 19:45,D1 20:00,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
49,49,D1 20:00,D1 20:15,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
50,50,D1 20:15,D1 20:30,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
51,51,D1 20:30,D1 20:45,-0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
52,52,D1 20:45,D1 21:00,0.0,0.0,0.0,221.57128163244295,221.57128163244295,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
53,53,D1 21:00,D1 21:15,2.7204515184265117,0.0,3.019806626980426e-14,221.57128163244295,222.21738886806924,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
54,54,D1 21:15,D1 21:30,2.7204515184265117,0.0,-8.348877145181177e-14,222.21738886806924,222.86349610369555,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
55,55,D1 21:30,D1 21:45,2.7204515184265117,0.0,3.019806626980426e-14,222.86349610369555,223.50960333932184,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
56,56,D1 21:45,D1 22:00,2.7204515184265117,0.0,3.019806626980426e-14,223.50960333932184,224.15571057494813,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
57,57,D1 22:00,D1 22:15,2.7204515184265117,0.0,3.019806626980426e-14,224.15571057494813,224.80181781057442,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
58,58,D1 22:15,D1 22:30,2.7204515184265117,0.0,3.019806626980426e-14,224.80181781057442,225.4479250462007,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
59,59,D1 22:30,D1 22:45,2.7204515184265117,0.0,3.019806626980426e-14,225.4479250462007,226.094032281827,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
60,60,D1 22:45,D1 23:00,2.7204515184265117,0.0,3.019806626980426e-14,226.094032281827,226.7401395174533,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
61,61,D1 23:00,D1 23:15,2.7204515184265117,0.0,3.019806626980426e-14,226.7401395174533,227.38624675307958,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
62,62,D1 23:15,D1 23:30,2.7204515184265117,0.0,-8.348877145181177e-14,227.38624675307958,228.0323539887059,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
63,63,D1 23:30,D1 23:45,2.7204515184265117,0.0,3.019806626980426e-14,228.0323539887059,228.67846122433218,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
64,64,D1 23:45,D1 00:00,2.7204515184265117,0.0,3.019806626980426e-14,228.67846122433218,229.32456845995847,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
65,65,D1 00:00,D1 00:15,2.7204515184265117,0.0,3.019806626980426e-14,229.32456845995847,229.97067569558476,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
66,66,D1 00:15,D1 00:30,2.7204515184265117,0.0,3.019806626980426e-14,229.97067569558476,230.61678293121105,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
67,67,D1 00:30,D1 00:45,2.7204515184265117,0.0,3.019806626980426e-14,230.61678293121105,231.26289016683734,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
68,68,D1 00:45,D1 01:00,2.7204515184265117,0.0,-8.348877145181177e-14,231.26289016683734,231.90899740246365,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
69,69,D1 01:00,D1 01:15,2.7204515184265117,0.0,3.019806626980426e-14,231.90899740246365,232.55510463808994,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
70,70,D1 01:15,D1 01:30,2.7204515184265117,0.0,3.019806626980426e-14,232.55510463808994,233.20121187371623,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
71,71,D1 01:30,D1 01:45,2.7204515184265117,0.0,3.019806626980426e-14,233.20121187371623,233.84731910934252,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
72,72,D1 01:45,D1 02:00,2.7204515184265117,0.0,3.019806626980426e-14,233.84731910934252,234.4934263449688,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
73,73,D1 02:00,D1 02:15,2.7204515184265117,0.0,-8.348877145181177e-14,234.4934263449688,235.13953358059513,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
74,74,D1 02:15,D1 02:30,2.7204515184265117,0.0,-8.348877145181177e-14,235.13953358059513,235.78564081622144,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
75,75,D1 02:30,D1 02:45,2.7204515184265117,0.0,3.019806626980426e-14,235.78564081622144,236.43174805184773,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
76,76,D1 02:45,D1 03:00,2.7204515184265117,0.0,3.019806626980426e-14,236.43174805184773,237.07785528747402,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
77,77,D1 03:00,D1 03:15,2.7204515184265117,0.0,3.019806626980426e-14,237.07785528747402,237.7239625231003,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
78,78,D1 03:15,D1 03:30,2.7204515184265117,0.0,3.019806626980426e-14,237.7239625231003,238.3700697587266,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
79,79,D1 03:30,D1 03:45,2.7204515184265117,0.0,3.019806626980426e-14,238.3700697587266,239.0161769943529,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
80,80,D1 03:45,D1 04:00,2.7204515184265117,0.0,3.019806626980426e-14,239.0161769943529,239.66228422997918,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
81,81,D1 04:00,D1 04:15,2.7204515184265117,0.0,3.019806626980426e-14,239.66228422997918,240.30839146560547,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
82,82,D1 04:15,D1 04:30,2.7204515184265117,0.0,-8.348877145181177e-14,240.30839146560547,240.95449870123178,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
83,83,D1 04:30,D1 04:45,2.7204515184265117,0.0,3.019806626980426e-14,240.95449870123178,241.60060593685807,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
84,84,D1 04:45,D1 05:00,2.7204515184265117,0.0,3.019806626980426e-14,241.60060593685807,242.24671317248436,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
85,85,D1 05:00,D1 05:15,2.7204515184265117,0.0,3.019806626980426e-14,242.24671317248436,242.89282040811065,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
86,86,D1 05:15,D1 05:30,2.7204515184265117,0.0,3.019806626980426e-14,242.89282040811065,243.53892764373694,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
87,87,D1 05:30,D1 05:45,2.7204515184265117,0.0,3.019806626980426e-14,243.53892764373694,244.18503487936323,0.0,72.0,72.0,0.0,48.41930257094856,48.41930257094856
