day,gstep,k,clock,price,co2,grid_kW,dch_kW,work_kW,soe_mcs,soe_cev1,soe_cev2,mcs_node,est_dig,est_load,est_trv,est_idle,unc_dig,unc_load,unc_trv,unc_idle,n_obs
1,1,1,D1 08:00,0.18,0.375,0.0,0.0,10.4,250.0,70.7,46.7,1,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,2
1,2,2,D1 08:15,0.18,0.3833355349529403,0.0,0.0,10.4,249.5,69.4,45.400000000000006,0,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,4
1,3,3,D1 08:30,0.18,0.3913142143513081,0.0,0.0,10.4,249.0,68.10000000000001,44.10000000000001,0,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,6
1,4,4,D1 08:45,0.18,0.3989018722650103,0.0,0.0,10.4,248.5,66.80000000000001,42.80000000000001,0,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,8
1,5,5,D1 09:00,0.18,0.4060660171779821,0.0,-5.684341886080802e-15,1.2,248.5,66.65,42.65000000000001,3,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,10
1,6,6,D1 09:15,0.18,0.4127759711218466,0.0,0.0,10.0,248.5,65.4,41.40000000000001,3,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,12
1,7,7,D1 09:30,0.18,0.41900300104368526,0.0,0.0,8.0,248.5,64.10000000000001,40.70000000000001,3,4.6,3.3,4.5,0.5,1.0,1.0,1.5,0.3,14
1,8,8,D1 09:45,0.18,0.42472044184538177,0.0,0.0,10.4,248.5,62.80000000000001,39.40000000000001,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,16
1,9,9,D1 10:00,0.18,0.4299038105676658,0.0,0.0,10.4,248.5,61.500000000000014,38.100000000000016,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,18
1,10,10,D1 10:15,0.18,0.4345309112299032,0.0,0.0,1.2,248.5,61.350000000000016,37.95000000000002,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,20
1,11,11,D1 10:30,0.18,0.438581929876693,0.0,0.0,5.6,248.5,60.65000000000001,37.250000000000014,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,22
1,12,12,D1 10:45,0.18,0.4420395194242658,0.0,0.0,10.0,248.5,59.40000000000001,36.000000000000014,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,24
1,13,13,D1 11:00,0.18,0.44488887394336024,0.0,0.0,8.0,248.5,58.100000000000016,35.30000000000001,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,26
1,14,14,D1 11:15,0.18,0.4471177920604845,0.0,0.0,8.0,248.5,56.80000000000002,34.60000000000001,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,28
1,15,15,D1 11:30,0.18,0.44871672920607153,0.0,0.0,1.2,248.5,56.65000000000002,34.45000000000001,3,5.101175724818061,3.31872008166575,5.252003920015555,0.5405028637840961,0.0841599043740564,0.275191183083753,0.18720690496790746,0.15463848023679844,30
1,16,16,D1 11:45,0.18,0.4496788384857905,0.0,0.0,3.4,248.5,55.95000000000002,34.30000000000001,3,5.156815121566383,2.8000017534473867,4.937151653524184,0.5548382931800799,0.08326048803317586,0.11576342631970973,0.15645751241751013,0.10638409332236635,32
1,17,17,D1 12:00,0.18,0.44999999999999996,0.0,0.0,1.2,248.5,55.80000000000002,34.15000000000001,3,5.156815121566383,2.8000017534473867,4.937151653524184,0.5548382931800799,0.08326048803317586,0.11576342631970973,0.15645751241751013,0.10638409332236635,34
1,18,18,D1 12:15,0.18,0.4496788384857905,0.0,0.0,1.2,248.5,55.65000000000002,34.000000000000014,3,5.156815121566383,2.8000017534473867,4.937151653524184,0.5548382931800799,0.08326048803317586,0.11576342631970973,0.15645751241751013,0.10638409332236635,36
1,19,19,D1 12:30,0.18,0.44871672920607153,0.0,0.0,1.2,248.5,55.50000000000002,33.850000000000016,3,5.156815121566383,2.8000017534473867,4.937151653524184,0.5548382931800799,0.08326048803317586,0.11576342631970973,0.15645751241751013,0.10638409332236635,38
