Time_Period,Time_Start_Label,Time_End_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
1,D1 08:00,D1 08:15,4.786814219857525e-13,0.0,4.786814219857525e-13
2,D1 08:15,D1 08:30,0.0,0.0,0.0
3,D1 08:30,D1 08:45,0.0,34.41963934717952,-34.41963934717952
4,D1 08:45,D1 09:00,0.0,45.0,-45.0
5,D1 09:00,D1 09:15,0.0,0.0,0.0
6,D1 09:15,D1 09:30,0.0,0.0,0.0
7,D1 09:30,D1 09:45,0.0,17.484200654400894,-17.484200654400894
8,D1 09:45,D1 10:00,0.0,29.99999999999998,-29.99999999999998
9,D1 10:00,D1 10:15,0.0,0.0,0.0
10,D1 10:15,D1 10:30,0.0,0.0,0.0
11,D1 10:30,D1 10:45,0.0,4.922970728228279,-4.922970728228279
12,D1 10:45,D1 11:00,0.0,0.0,0.0
13,D1 11:00,D1 11:15,0.0,0.0,0.0
14,D1 11:15,D1 11:30,2.585882438197388,0.0,2.585882438197388
15,D1 11:30,D1 11:45,2.585882438197388,0.0,2.585882438197388
16,D1 11:45,D1 12:00,2.585882438197388,0.0,2.585882438197388
17,D1 12:00,D1 12:15,2.585882438197703,0.0,2.585882438197703
18,D1 12:15,D1 12:30,2.5858824381789662,0.0,2.5858824381789662
19,D1 12:30,D1 12:45,2.5858824381977064,0.0,2.5858824381977064
20,D1 12:45,D1 13:00,2.5858824381977064,0.0,2.5858824381977064
21,D1 13:00,D1 13:15,2.5858824381977064,0.0,2.5858824381977064
22,D1 13:15,D1 13:30,2.5858824381977064,0.0,2.5858824381977064
23,D1 13:30,D1 13:45,2.5858824381977064,0.0,2.5858824381977064
24,D1 13:45,D1 14:00,2.5858824381977064,0.0,2.5858824381977064
25,D1 14:00,D1 14:15,2.5858824381977064,0.0,2.5858824381977064
26,D1 14:15,D1 14:30,2.5858824381977064,0.0,2.5858824381977064
27,D1 14:30,D1 14:45,2.5858824381977064,0.0,2.5858824381977064
28,D1 14:45,D1 15:00,2.5858824381976504,0.0,2.5858824381976504
29,D1 15:00,D1 15:15,2.5858824381971317,0.0,2.5858824381971317
30,D1 15:15,D1 15:30,2.5858824381982886,0.0,2.5858824381982886
31,D1 15:30,D1 15:45,2.5858824381977055,0.0,2.5858824381977055
32,D1 15:45,D1 16:00,2.585882438173712,0.0,2.585882438173712
33,D1 16:00,D1 16:15,-0.0,0.0,-0.0
34,D1 16:15,D1 16:30,-0.0,0.0,-0.0
35,D1 16:30,D1 16:45,0.0,0.0,0.0
36,D1 16:45,D1 17:00,0.0,0.0,0.0
37,D1 17:00,D1 17:15,0.0,0.0,0.0
38,D1 17:15,D1 17:30,0.0,0.0,0.0
39,D1 17:30,D1 17:45,0.0,0.0,0.0
40,D1 17:45,D1 18:00,0.0,0.0,0.0
41,D1 18:00,D1 18:15,0.0,0.0,0.0
42,D1 18:15,D1 18:30,0.0,0.0,0.0
43,D1 18:30,D1 18:45,0.0,0.0,0.0
44,D1 18:45,D1 19:00,0.0,0.0,0.0
45,D1 19:00,D1 19:15,0.0,0.0,0.0
46,D1 19:15,D1 19:30,0.0,0.0,0.0
47,D1 19:30,D1 19:45,0.0,0.0,0.0
48,D1 19:45,D1 20:00,0.0,0.0,0.0
49,D1 20:00,D1 20:15,0.0,0.0,0.0
50,D1 20:15,D1 20:30,0.0,0.0,0.0
51,D1 20:30,D1 20:45,0.0,0.0,0.0
52,D1 20:45,D1 21:00,0.0,0.0,0.0
53,D1 21:00,D1 21:15,2.5858824381982886,0.0,2.5858824381982886
54,D1 21:15,D1 21:30,2.5858824381982886,0.0,2.5858824381982886
55,D1 21:30,D1 21:45,2.5858824381982886,0.0,2.5858824381982886
56,D1 21:45,D1 22:00,2.5858824381982886,0.0,2.5858824381982886
