replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Digging,Charging,Digging,Idle,Charging,Traveling,Digging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Charging,Loading/Swinging,Loading/Swinging,Traveling,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Charging,Digging,Idle,Charging,Idle,Idle,Idle,Idle
08:15,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Digging,Idle,Idle,Idle,Idle,Charging,Digging,Traveling,Idle,Idle,Charging,Idle,Charging,Idle,Idle,Idle,Digging,Loading/Swinging,Loading/Swinging,Loading/Swinging,Charging,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Digging,Idle,Idle,Idle,Idle,Idle
08:30,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Digging,Idle,Charging,Idle,Digging,Traveling,Digging,Digging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Loading/Swinging,Loading/Swinging,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle
08:45,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Charging,Idle,Loading/Swinging,Loading/Swinging,Traveling,Charging,Digging,Loading/Swinging,Loading/Swinging,Charging,Charging,Loading/Swinging,Traveling,Idle,Idle,Idle,Idle
09:00,Digging,Digging,Digging,Digging,Idle,Traveling,Idle,Idle,Digging,Idle,Digging,Idle,Charging,Digging,Digging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Charging,Digging,Loading/Swinging,Loading/Swinging,Charging,Loading/Swinging,Traveling,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Charging,Charging,Idle,Idle,Idle
09:15,Digging,Digging,Digging,Digging,Idle,Traveling,Loading/Swinging,Idle,Digging,Idle,Digging,Charging,Digging,Traveling,Digging,Digging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Loading/Swinging,Loading/Swinging,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Idle,Digging,Traveling,Idle,Idle,Idle,Idle
09:30,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Idle,Idle,Digging,Idle,Charging,Charging,Digging,Traveling,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Loading/Swinging,Idle,Idle,Traveling,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Idle,Idle,Idle
09:45,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Digging,Idle,Idle,Idle,Idle,Charging,Digging,Traveling,Charging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Loading/Swinging,Idle,Idle,Traveling,Loading/Swinging,Idle,Idle,Loading/Swinging,Digging,Idle,Idle,Idle,Idle
10:00,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Loading/Swinging,Idle,Idle,Charging,Digging,Traveling,Digging,Loading/Swinging,Charging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Traveling,Loading/Swinging,Idle,Idle,Loading/Swinging,Loading/Swinging,Idle,Idle,Loading/Swinging,Traveling,Idle,Idle,Idle,Idle
10:15,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Loading/Swinging,Idle,Idle,Charging,Digging,Traveling,Digging,Digging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Loading/Swinging,Digging,Traveling,Loading/Swinging,Idle,Loading/Swinging,Loading/Swinging,Loading/Swinging,Traveling,Idle,Idle,Idle,Idle,Idle,Idle,Idle
10:30,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Loading/Swinging,Idle,Idle,Charging,Digging,Traveling,Digging,Charging,Charging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Digging,Digging,Loading/Swinging,Traveling,Idle,Loading/Swinging,Loading/Swinging,Idle,Loading/Swinging,Idle,Idle,Loading/Swinging,Idle,Idle,Idle,Idle
10:45,Digging,Digging,Digging,Digging,Idle,Traveling,Digging,Digging,Loading/Swinging,Idle,Idle,Charging,Digging,Traveling,Digging,Digging,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Idle,Loading/Swinging,Digging,Traveling,Loading/Swinging,Charging,Loading/Swinging,Loading/Swinging,Loading/Swinging,Traveling,Charging,Idle,Idle,Idle,Idle,Idle,Idle
