replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,70.85,69.7,80.95,89.525,88.375,87.225,86.1,84.95,84.95,83.8,82.65,81.5,80.375,80.375,79.225,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,77.25,76.425,75.3,74.475,74.475,73.65,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
08:15,70.85,69.734,80.984,89.525,88.375,87.225,87.225,86.1,84.95,83.8,82.65,82.65,82.65,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,80.375,79.55,78.725,77.9,77.9,77.075,75.95,75.125,73.975,73.975,73.15,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
08:30,70.85,69.734,78.275,89.525,88.375,87.225,86.1,84.95,84.95,83.8,82.65,81.5,81.5,80.375,79.55,78.725,78.725,78.725,78.725,78.725,78.725,78.725,78.725,78.725,77.575,76.75,75.625,74.8,74.8,73.975,73.15,73.15,73.15,73.15,73.15,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
08:45,70.85,69.734,78.275,89.525,88.375,87.55,86.425,85.6,85.6,84.45,83.625,82.475,82.475,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,80.525,79.375,78.55,77.4,77.4,77.4,76.275,75.125,75.125,73.975,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
09:00,70.85,69.734,78.275,89.525,88.375,88.375,87.225,86.1,85.275,84.45,84.45,83.3,83.3,82.475,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,81.35,80.525,79.375,79.375,79.375,78.225,77.4,76.275,76.275,75.45,74.3,73.15,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
09:15,70.85,69.734,78.275,89.525,88.375,86.988,85.863,84.713,84.713,83.563,82.413,82.65,81.825,80.7,79.55,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,77.25,76.425,75.3,75.3,74.475,73.65,73.65,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
09:30,70.85,69.734,78.275,89.525,88.375,86.988,85.563,84.413,84.413,83.263,83.8,82.65,81.5,80.375,80.375,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,78.075,77.25,76.425,75.3,75.3,74.475,73.65,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
09:45,70.85,69.734,78.275,89.525,88.375,86.988,85.563,84.23,84.23,83.405,84.125,82.975,81.825,80.7,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,79.55,78.4,77.575,76.75,76.75,75.625,74.8,73.975,73.15,73.15,73.15,73.15,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
10:00,70.85,69.734,78.275,89.525,88.375,86.988,85.563,84.23,83.821,82.671,83.8,82.65,81.5,80.375,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,78.075,77.25,76.425,75.3,75.3,74.475,73.65,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
10:15,70.85,69.734,78.275,89.525,88.375,86.988,85.563,84.23,83.821,82.671,83.8,82.65,81.5,80.375,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,79.225,78.4,77.575,76.425,75.3,75.3,74.475,73.65,72.825,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
