replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,249.5,249.0,237.158,228.132,227.632,227.132,219.237,214.026,213.526,213.026,212.526,213.103,213.679,214.256,214.832,215.409,215.985,216.562,217.138,217.715,218.291,218.868,219.445,220.021,220.598,221.174,221.751,222.327,222.904,223.48,224.057,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,224.633,225.21,225.786,226.363,226.939,227.516,228.092,228.669,229.245,229.822,230.398,230.975,231.551,232.128,232.704,233.281,233.857,234.434,235.011,235.587,236.164,236.74,237.317,237.893,238.47,239.046,239.623,240.199,240.776,241.352,241.929,242.505,243.082,243.658,244.235,244.811,245.388,245.964,246.541,247.117,247.694,248.27,248.847,249.423,250.0
08:15,249.5,249.0,240.01,228.168,227.668,227.168,221.396,213.502,213.002,212.502,212.002,212.586,213.171,213.755,214.34,214.925,215.509,216.094,216.678,217.263,217.848,218.432,219.017,219.601,220.186,220.77,221.355,221.94,222.524,223.109,223.693,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.278,224.863,225.447,226.032,226.616,227.201,227.786,228.37,228.955,229.539,230.124,230.709,231.293,231.878,232.462,233.047,233.631,234.216,234.801,235.385,235.97,236.554,237.139,237.724,238.308,238.893,239.477,240.062,240.647,241.231,241.816,242.4,242.985,243.57,244.154,244.739,245.323,245.908,246.492,247.077,247.662,248.246,248.831,249.415,250.0
08:30,249.5,249.0,239.757,227.915,227.415,226.915,221.112,213.217,212.717,212.217,211.717,212.306,212.895,213.484,214.073,214.662,215.251,215.84,216.429,217.018,217.607,218.196,218.785,219.374,219.963,220.552,221.14,221.729,222.318,222.907,223.496,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.085,224.674,225.263,225.852,226.441,227.03,227.619,228.208,228.797,229.386,229.975,230.564,231.153,231.742,232.331,232.92,233.509,234.098,234.687,235.276,235.865,236.454,237.043,237.632,238.221,238.81,239.399,239.988,240.576,241.165,241.754,242.343,242.932,243.521,244.11,244.699,245.288,245.877,246.466,247.055,247.644,248.233,248.822,249.411,250.0
08:45,249.5,249.0,239.757,227.915,227.415,226.915,220.639,212.744,212.244,211.744,211.244,211.841,212.437,213.033,213.629,214.226,214.822,215.418,216.014,216.61,217.207,217.803,218.399,218.995,219.592,220.188,220.784,221.38,221.977,222.573,223.169,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,224.362,224.958,225.554,226.15,226.747,227.343,227.939,228.535,229.132,229.728,230.324,230.92,231.517,232.113,232.709,233.305,233.901,234.498,235.094,235.69,236.286,236.883,237.479,238.075,238.671,239.268,239.864,240.46,241.056,241.653,242.249,242.845,243.441,244.038,244.634,245.23,245.826,246.423,247.019,247.615,248.211,248.808,249.404,250.0
09:00,249.5,249.0,239.757,227.915,227.415,226.915,220.639,212.744,212.244,211.744,211.244,211.841,212.437,213.033,213.629,214.226,214.822,215.418,216.014,216.61,217.207,217.803,218.399,218.995,219.592,220.188,220.784,221.38,221.977,222.573,223.169,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,223.765,224.362,224.958,225.554,226.15,226.747,227.343,227.939,228.535,229.132,229.728,230.324,230.92,231.517,232.113,232.709,233.305,233.901,234.498,235.094,235.69,236.286,236.883,237.479,238.075,238.671,239.268,239.864,240.46,241.056,241.653,242.249,242.845,243.441,244.038,244.634,245.23,245.826,246.423,247.019,247.615,248.211,248.808,249.404,250.0
09:15,249.5,249.0,239.757,227.915,227.415,226.915,220.336,212.442,211.942,211.442,210.942,211.542,212.143,212.744,213.345,213.946,214.547,215.148,215.749,216.35,216.951,217.551,218.152,218.753,219.354,219.955,220.556,221.157,221.758,222.359,222.96,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,223.56,224.161,224.762,225.363,225.964,226.565,227.166,227.767,228.368,228.969,229.569,230.17,230.771,231.372,231.973,232.574,233.175,233.776,234.377,234.978,235.578,236.179,236.78,237.381,237.982,238.583,239.184,239.785,240.386,240.987,241.587,242.188,242.789,243.39,243.991,244.592,245.193,245.794,246.395,246.996,247.596,248.197,248.798,249.399,250.0
09:30,249.5,249.0,239.757,227.915,227.415,226.915,220.627,212.732,212.232,211.732,211.232,211.829,212.425,213.022,213.618,214.215,214.811,215.407,216.004,216.6,217.197,217.793,218.39,218.986,219.582,220.179,220.775,221.372,221.968,222.564,223.161,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,224.354,224.95,225.547,226.143,226.739,227.336,227.932,228.529,229.125,229.722,230.318,230.914,231.511,232.107,232.704,233.3,233.897,234.493,235.089,235.686,236.282,236.879,237.475,238.072,238.668,239.264,239.861,240.457,241.054,241.65,242.246,242.843,243.439,244.036,244.632,245.229,245.825,246.421,247.018,247.614,248.211,248.807,249.404,250.0
09:45,249.5,249.0,239.757,227.915,227.415,226.915,220.627,212.732,212.232,211.732,211.232,211.829,212.425,213.022,213.618,214.215,214.811,215.407,216.004,216.6,217.197,217.793,218.39,218.986,219.582,220.179,220.775,221.372,221.968,222.564,223.161,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,224.354,224.95,225.547,226.143,226.739,227.336,227.932,228.529,229.125,229.722,230.318,230.914,231.511,232.107,232.704,233.3,233.897,234.493,235.089,235.686,236.282,236.879,237.475,238.072,238.668,239.264,239.861,240.457,241.054,241.65,242.246,242.843,243.439,244.036,244.632,245.229,245.825,246.421,247.018,247.614,248.211,248.807,249.404,250.0
10:00,249.5,249.0,239.757,227.915,227.415,226.915,220.627,212.732,212.232,211.732,211.232,211.829,212.425,213.022,213.618,214.215,214.811,215.407,216.004,216.6,217.197,217.793,218.39,218.986,219.582,220.179,220.775,221.372,221.968,222.564,223.161,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,224.354,224.95,225.547,226.143,226.739,227.336,227.932,228.529,229.125,229.722,230.318,230.914,231.511,232.107,232.704,233.3,233.897,234.493,235.089,235.686,236.282,236.879,237.475,238.072,238.668,239.264,239.861,240.457,241.054,241.65,242.246,242.843,243.439,244.036,244.632,245.229,245.825,246.421,247.018,247.614,248.211,248.807,249.404,250.0
10:15,249.5,249.0,239.757,227.915,227.415,226.915,220.627,212.732,212.232,211.732,211.232,211.829,212.425,213.022,213.618,214.215,214.811,215.407,216.004,216.6,217.197,217.793,218.39,218.986,219.582,220.179,220.775,221.372,221.968,222.564,223.161,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,223.757,224.354,224.95,225.547,226.143,226.739,227.336,227.932,228.529,229.125,229.722,230.318,230.914,231.511,232.107,232.704,233.3,233.897,234.493,235.089,235.686,236.282,236.879,237.475,238.072,238.668,239.264,239.861,240.457,241.054,241.65,242.246,242.843,243.439,244.036,244.632,245.229,245.825,246.421,247.018,247.614,248.211,248.807,249.404,250.0
