replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45
08:00,22.561,21.272,20.581,20.427,19.138,17.896,16.607,15.318,15.164,15.01,14.319,14.165,14.011,13.857,13.703,13.549,13.395,13.241,13.086,12.932,20.278,27.624,34.97,42.316,49.662,57.008,60.0,58.711,57.469,59.544,58.255,56.966,55.677,54.986,54.832,54.678,54.524,54.37,54.216,54.062
08:15,22.561,21.261,19.972,18.683,26.029,33.375,40.721,48.067,46.825,54.171,59.603,59.449,59.295,58.604,57.913,57.759,57.605,57.451,57.297,57.143,56.989,56.835,56.68,56.526,56.372,56.218,56.064,55.91,55.756,55.602,55.448,55.294,55.14,54.986,54.832,54.678,54.524,54.37,54.216,54.062
08:30,22.561,21.261,19.961,18.672,18.518,17.276,17.122,15.833,23.179,29.02,27.731,26.442,25.153,32.499,31.256,29.967,29.813,37.159,44.505,51.851,59.197,59.043,58.889,58.735,58.581,57.292,56.601,56.447,56.293,56.139,55.448,55.294,55.14,54.986,54.832,54.678,54.524,54.37,54.216,54.062
08:45,22.561,21.261,19.961,18.661,19.795,18.552,17.263,15.974,14.685,14.531,13.242,12.0,19.346,18.057,16.768,15.479,15.325,22.671,22.517,23.27,30.616,37.962,45.308,52.654,60.0,59.846,59.692,59.538,59.384,59.23,59.076,57.787,56.544,55.854,55.163,55.009,54.854,54.7,54.546,54.392
09:00,22.561,21.261,19.961,18.661,18.496,17.254,15.965,14.676,17.109,15.82,14.531,13.289,12.0,14.732,13.443,12.154,12.0,12.0,12.0,12.0,17.367,17.213,24.559,31.905,39.251,46.597,45.308,52.654,60.0,58.758,58.067,57.913,57.759,57.605,56.914,56.76,56.606,56.452,56.298,56.143
09:15,22.561,21.261,19.961,18.661,18.496,17.258,15.969,14.68,14.578,13.289,12.0,12.0,15.82,14.578,13.289,12.0,12.0,12.0,15.924,23.27,30.616,37.962,45.308,52.654,60.0,59.846,59.692,59.538,59.384,59.23,59.076,57.787,57.633,56.942,55.699,55.009,54.854,54.7,54.546,54.392
09:30,22.561,21.261,19.961,18.661,18.496,17.258,15.961,14.672,13.383,20.729,19.44,18.198,25.544,24.255,22.966,21.677,29.023,36.369,43.715,51.061,58.407,60.0,60.0,60.0,59.309,58.067,57.913,57.759,57.605,57.451,57.297,56.606,56.452,56.298,56.143,55.989,55.835,55.681,55.527,55.373
09:45,22.561,21.261,19.961,18.661,18.496,17.258,15.961,14.661,13.372,15.974,14.685,14.531,13.289,12.0,13.597,12.308,12.154,12.0,15.924,23.27,30.616,37.962,45.308,52.654,60.0,59.846,59.692,59.538,58.847,58.693,58.539,58.385,58.231,57.54,57.386,57.232,57.078,56.924,56.77,56.616
10:00,22.561,21.261,19.961,18.661,18.496,17.258,15.961,14.661,13.358,20.705,19.413,18.168,16.876,16.175,23.522,23.369,30.716,38.062,45.409,52.756,52.653,60.0,60.0,60.0,59.847,58.555,60.0,58.708,58.555,57.31,57.156,57.003,56.85,56.149,55.996,55.843,55.689,55.536,55.383,55.23
10:15,22.561,21.261,19.961,18.661,18.496,17.258,15.961,14.661,13.358,14.537,13.245,12.0,13.292,12.0,13.292,12.0,12.0,15.919,23.266,30.613,37.96,45.306,52.653,60.0,59.847,59.694,59.54,59.387,59.234,58.533,58.38,58.226,58.073,57.92,57.767,57.066,56.913,56.759,56.606,56.453
