Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.00000000000006,250.0,50.0
4,08:45,250.00000000000006,250.0,50.0
5,09:00,247.5,250.0,50.0
6,09:15,247.0552731719049,250.0,50.0
7,09:30,247.0552731719049,250.0,50.0
8,09:45,247.05527317190493,250.0,50.0
9,10:00,247.05527317190493,250.0,50.0
10,10:15,247.05527317190493,250.0,50.0
11,10:30,244.9500100140102,250.0,50.0
12,10:45,244.95001001401022,250.0,50.0
13,11:00,244.95001001401022,250.0,50.0
14,11:15,244.95001001401022,250.0,50.0
15,11:30,244.95001001401022,250.0,50.0
16,11:45,244.12208552275644,250.0,50.0
17,12:00,244.12208552275644,250.0,50.0
18,12:15,244.12208552275644,250.0,50.0
19,12:30,244.12208552275644,250.0,50.0
20,12:45,242.2190590722526,250.0,50.0
21,13:00,240.56482223014734,250.0,50.0
22,13:15,240.56482223014734,250.0,50.0
23,13:30,238.4595590722526,250.0,50.0
24,13:45,238.4595590722526,250.0,50.0
25,14:00,236.35429591435786,250.0,50.0
26,14:15,236.35429591435786,250.0,50.0
27,14:30,236.3542959143579,250.0,50.0
28,14:45,236.3542959143579,250.0,50.0
29,15:00,236.3542959143579,250.0,50.0
30,15:15,235.08789280987622,250.0,50.0
31,15:30,235.08789280987622,250.0,50.0
32,15:45,235.08789280987622,250.0,50.0
33,16:00,235.08789280987622,250.0,50.0
34,16:15,233.06783324592766,250.0,50.0
35,16:30,233.0678332459277,250.0,50.0
36,16:45,233.06783324592772,250.0,50.0
37,17:00,233.0678332459277,250.0,50.0
38,17:15,230.96257008803295,250.0,50.0
39,17:30,230.8726857022889,250.0,50.0
40,17:45,228.76742254439415,250.0,50.0
41,18:00,228.76742254439415,250.0,50.0
42,18:15,226.6621593864994,250.0,50.0
43,18:30,224.55689622860467,250.0,50.0
44,18:45,224.55689622860467,250.0,50.0
45,19:00,222.45163307070993,250.0,50.0
46,19:15,219.9516330707099,250.0,50.0
47,19:30,219.9516330707099,250.0,50.0
48,19:45,219.9516330707099,250.0,50.0
49,20:00,219.9516330707099,250.0,50.0
50,20:15,219.9516330707099,250.0,50.0
51,20:30,219.9516330707099,250.0,50.0
52,20:45,219.9516330707099,250.0,50.0
53,21:00,219.9516330707099,250.0,50.0
54,21:15,220.63455050092105,250.0,50.0
55,21:30,221.31746793113217,250.0,50.0
56,21:45,222.00038536134332,250.0,50.0
57,22:00,222.68330279155444,250.0,50.0
58,22:15,223.3662202217656,250.0,50.0
59,22:30,224.0491376519767,250.0,50.0
60,22:45,224.73205508218786,250.0,50.0
61,23:00,225.41497251239898,250.0,50.0
62,23:15,226.09788994261012,250.0,50.0
63,23:30,226.78080737282124,250.0,50.0
64,23:45,227.4637248030324,250.0,50.0
65,00:00,228.14664223324368,250.0,50.0
66,00:15,228.829559663455,250.0,50.0
67,00:30,229.51247709366632,250.0,50.0
68,00:45,230.19539452387764,250.0,50.0
69,01:00,230.87831195408893,250.0,50.0
70,01:15,231.56122938430025,250.0,50.0
71,01:30,232.24414681451157,250.0,50.0
72,01:45,232.92706424472289,250.0,50.0
73,02:00,233.60998167493418,250.0,50.0
74,02:15,234.2928991051455,250.0,50.0
75,02:30,234.9758165353568,250.0,50.0
76,02:45,235.65873396556813,250.0,50.0
77,03:00,236.34165139577942,250.0,50.0
78,03:15,237.02456882599074,250.0,50.0
79,03:30,237.70748625620206,250.0,50.0
80,03:45,238.39040368641338,250.0,50.0
81,04:00,239.07332111662467,250.0,50.0
82,04:15,239.756238546836,250.0,50.0
83,04:30,240.4391559770473,250.0,50.0
84,04:45,241.12207340725863,250.0,50.0
85,05:00,241.80499083746992,250.0,50.0
86,05:15,242.48790826768123,250.0,50.0
87,05:30,243.17082569789255,250.0,50.0
88,05:45,243.85374312810387,250.0,50.0
89,06:00,244.5366605583152,250.0,50.0
90,06:15,245.2195779885208,250.0,50.0
91,06:30,245.90249541873212,250.0,50.0
92,06:45,246.58541284894343,250.0,50.0
93,07:00,247.26833027915475,250.0,50.0
94,07:15,247.95124770936604,250.0,50.0
95,07:30,248.63416513957736,250.0,50.0
96,07:45,249.31708256978868,250.0,50.0
97,08:00,250.0,250.0,50.0
